strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,5425.133000000001,5701.9255,179,20180101,1400,5535.85,20180101.0,1515.0,5524.7,INTRA
strategy1,SELL,5551.707,5279.5645,-183,20180102,1125,5442.85,20180102.0,1515.0,5440.0,INTRA
strategy1,SELL,5528.451,5257.4485,-184,20180104,1400,5420.05,20180104.0,1515.0,5430.0,INTRA
strategy1,SELL,5503.92,5234.12,-185,20180105,1210,5396.0,20180105.0,1515.0,5391.45,INTRA
strategy1,SELL,5458.02,5190.47,-186,20180108,1015,5351.0,20180108.0,1515.0,5343.0,INTRA
strategy1,SELL,5416.2,5150.7,-188,20180109,1120,5310.0,20180109.0,1515.0,5300.0,INTRA
strategy1,SELL,5395.8,5131.3,-189,20180110,1110,5290.0,20180110.0,1515.0,5278.2,INTRA
strategy1,SELL,5351.94,5089.59,-190,20180111,1005,5247.0,20180111.0,1050.0,5269.95,Reversal to Long
strategy1,BUY,5154.8,5417.8,189,20180111,1050,5260.0,20180111.0,1250.0,5417.8,LT
strategy1,BUY,5273.38,5542.43,185,20180111,1255,5381.0,20180111.0,1515.0,5392.0,INTRA
strategy1,BUY,5359.62,5633.07,180,20180112,1210,5469.0,20180112.0,1515.0,5449.25,INTRA
strategy1,SELL,5556.6539999999995,5284.269,-183,20180115,1200,5447.7,20180115.0,1515.0,5414.2,INTRA
strategy1,SELL,5528.4,5257.4,-184,20180116,1005,5420.0,20180116.0,1515.0,5400.0,INTRA
strategy1,BUY,5330.22,5602.17,180,20180117,1450,5439.0,20180117.0,1515.0,5477.35,INTRA
strategy1,BUY,5388.8730000000005,5663.815500000001,181,20180118,1005,5498.85,20180118.0,1455.0,5440.05,Reversal to Short
strategy1,SELL,5548.851000000001,5276.8485,-183,20180118,1455,5440.05,20180118.0,1515.0,5466.2,INTRA
strategy1,BUY,5378.73,5653.155,181,20180122,1005,5488.5,20180122.0,1515.0,5539.7,INTRA
strategy1,SELL,5594.7,5320.45,-182,20180123,1200,5485.0,20180123.0,1515.0,5500.0,INTRA
strategy1,SELL,5613.111,5337.958500000001,-181,20180125,1005,5503.05,20180125.0,1505.0,5549.85,Reversal to Long
strategy1,BUY,5403.475,5679.1625,180,20180125,1505,5513.75,20180125.0,1515.0,5539.95,INTRA
strategy1,SELL,5584.551,5310.7985,-182,20180130,1040,5475.05,20180130.0,1515.0,5514.0,INTRA
strategy1,SELL,5566.395,5293.5325,-183,20180131,1025,5457.25,20180131.0,1320.0,5554.95,Reversal to Long
strategy1,BUY,5439.0,5716.5,180,20180131,1320,5550.0,20180131.0,1515.0,5635.0,INTRA
strategy1,SELL,5610.0,5335.0,-181,20180202,1105,5500.0,20180202.0,1515.0,5535.0,INTRA
strategy1,SELL,5508.0,5238.0,-185,20180205,1105,5400.0,20180205.0,1515.0,5385.9,INTRA
strategy1,SELL,5385.6,5121.6,-189,20180206,1030,5280.0,20180206.0,1515.0,5250.0,INTRA
strategy1,BUY,5231.191,5498.0885,187,20180207,1110,5337.95,20180207.0,1515.0,5361.45,INTRA
strategy1,BUY,5390.0,5665.0,181,20180208,1340,5500.0,20180208.0,1515.0,5437.45,INTRA
strategy1,BUY,5620.3,5907.05,172,20180212,1025,5735.0,20180212.0,1040.0,5907.05,LT
strategy1,BUY,5742.8,6035.8,170,20180212,1045,5860.0,20180212.0,1515.0,5899.0,INTRA
strategy1,BUY,5896.611,6197.4585,165,20180214,1015,6016.95,20180214.0,1345.0,5793.65,Reversal to Short
strategy1,SELL,5909.522999999999,5619.840499999999,-172,20180214,1345,5793.65,20180214.0,1515.0,5755.55,INTRA
strategy1,BUY,5723.2,6015.2,170,20180215,1005,5840.0,20180215.0,1205.0,5723.2,LSL
strategy1,SELL,5773.71,5490.685,-176,20180216,1050,5660.5,20180216.0,1505.0,5490.685,ST
strategy1,SELL,5610.0,5335.0,-181,20180216,1510,5500.0,20180216.0,1515.0,5550.0,INTRA
strategy1,SELL,5752.8,5470.8,-177,20180220,1335,5640.0,20180220.0,1515.0,5603.3,INTRA
strategy1,BUY,5569.34,5853.49,173,20180221,1030,5683.0,20180221.0,1515.0,5637.9,INTRA
strategy1,BUY,5588.156,5873.266,174,20180222,1030,5702.2,20180222.0,1515.0,5748.0,INTRA
strategy1,BUY,5674.2,5963.7,172,20180223,1510,5790.0,20180223.0,1515.0,5825.05,INTRA
