strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1376.9,1447.15,709,20180101,1055,1405.0,20180101,1515,1400.0,INTRA
strategy1,SELL,1423.7669999999998,1353.9744999999998,-716,20180102,1005,1395.85,20180102,1050,1423.05,Reversal to Long
strategy1,BUY,1377.9289999999999,1448.2314999999999,702,20180102,1050,1406.05,20180102,1455,1397.0,Reversal to Short
strategy1,SELL,1424.94,1355.09,-715,20180102,1455,1397.0,20180102,1515,1396.15,INTRA
strategy1,BUY,1416.1979999999999,1488.453,690,20180104,1025,1445.1,20180104,1515,1431.0,INTRA
strategy1,BUY,1415.7079999999999,1487.9379999999999,689,20180105,1020,1444.6,20180105,1515,1440.0,INTRA
strategy1,SELL,1465.383,1393.5505,-696,20180108,1005,1436.65,20180108,1515,1436.95,INTRA
strategy1,SELL,1458.855,1387.3425,-699,20180109,1220,1430.25,20180109,1515,1428.4,INTRA
strategy1,SELL,1448.91,1377.885,-703,20180110,1010,1420.5,20180110,1515,1419.0,INTRA
strategy1,SELL,1431.7740000000001,1361.589,-712,20180111,1035,1403.7,20180111,1515,1398.2,INTRA
strategy1,BUY,1381.8,1452.3,707,20180112,1055,1410.0,20180112,1435,1452.3,LT
strategy1,BUY,1447.46,1521.31,668,20180112,1440,1477.0,20180112,1515,1474.9,INTRA
strategy1,BUY,1474.116,1549.326,663,20180115,1235,1504.2,20180115,1515,1516.0,INTRA
strategy1,SELL,1539.4859999999999,1464.021,-662,20180116,1020,1509.3,20180116,1515,1508.4,INTRA
strategy1,BUY,1486.7579999999998,1562.6129999999998,650,20180117,1330,1517.1,20180117,1515,1550.6,INTRA
strategy1,SELL,1562.079,1485.5065,-652,20180118,1005,1531.45,20180118,1515,1550.1,INTRA
strategy1,SELL,1555.5,1479.25,-655,20180119,1120,1525.0,20180119,1505,1554.5,Reversal to Long
strategy1,BUY,1505.77,1582.595,643,20180119,1505,1536.5,20180119,1515,1579.2,INTRA
strategy1,SELL,1613.742,1534.637,-632,20180122,1005,1582.1,20180122,1515,1604.7,INTRA
strategy1,SELL,1618.74,1539.39,-630,20180123,1310,1587.0,20180123,1435,1623.0,Reversal to Long
strategy1,BUY,1579.9560000000001,1660.566,616,20180123,1435,1612.2,20180123,1515,1637.65,INTRA
strategy1,BUY,1614.158,1696.513,603,20180124,1100,1647.1,20180124,1515,1672.35,INTRA
strategy1,BUY,1588.629,1669.6815,613,20180130,1040,1621.05,20180130,1515,1609.0,INTRA
strategy1,SELL,1628.7359999999999,1548.896,-626,20180131,1045,1596.8,20180131,1230,1617.5,Reversal to Long
strategy1,BUY,1577.8,1658.3,618,20180131,1230,1610.0,20180131,1515,1652.9,INTRA
strategy1,SELL,1689.63,1606.805,-603,20180201,1250,1656.5,20180201,1505,1710.35,Reversal to Long
strategy1,BUY,1623.4679999999998,1706.298,584,20180201,1505,1656.6,20180201,1505,1706.298,LT
strategy1,BUY,1646.4,1730.4,583,20180201,1510,1680.0,20180201,1515,1709.0,INTRA
strategy1,SELL,1686.315,1603.6525,-604,20180202,1030,1653.25,20180202,1205,1686.315,SSL
strategy1,BUY,1657.131,1741.6785,587,20180202,1250,1690.95,20180202,1515,1683.0,INTRA
strategy1,BUY,1611.757,1693.9895000000001,604,20180205,1005,1644.65,20180205,1345,1620.0,Reversal to Short
strategy1,SELL,1652.4,1571.4,-617,20180205,1345,1620.0,20180205,1515,1625.0,INTRA
strategy1,BUY,1552.663,1631.8805,627,20180206,1415,1584.35,20180206,1515,1615.15,INTRA
strategy1,SELL,1628.532,1548.702,-626,20180208,1120,1596.6,20180208,1515,1587.9,INTRA
strategy1,BUY,1571.675,1651.8625,619,20180212,1240,1603.75,20180212,1515,1616.95,INTRA
strategy1,SELL,1626.951,1547.1985,-626,20180214,1045,1595.05,20180214,1515,1575.0,INTRA
strategy1,SELL,1604.562,1525.907,-635,20180215,1015,1573.1,20180215,1515,1549.25,INTRA
strategy1,SELL,1567.74,1490.89,-650,20180216,1010,1537.0,20180216,1515,1513.2,INTRA
strategy1,SELL,1504.5,1430.75,-677,20180219,1005,1475.0,20180219,1515,1481.6,INTRA
strategy1,BUY,1484.7,1560.45,655,20180220,1040,1515.0,20180220,1515,1507.0,INTRA
strategy1,SELL,1540.2,1464.7,-662,20180221,1500,1510.0,20180221,1515,1510.0,INTRA
strategy1,SELL,1533.6719999999998,1458.492,-665,20180222,1110,1503.6,20180222,1410,1522.2,Reversal to Long
strategy1,BUY,1487.934,1563.849,656,20180222,1410,1518.3,20180222,1515,1515.6,INTRA
strategy1,BUY,1489.6,1565.6,653,20180223,1030,1520.0,20180223,1515,1521.85,INTRA
strategy1,SELL,1556.01,1479.735,-655,20180226,1130,1525.5,20180226,1515,1518.0,INTRA
