strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,181.59400000000002,190.859,5344,20180101,1010,185.3,20180101,1515,186.7,INTRA
strategy1,SELL,188.598,179.353,-5408,20180102,1005,184.9,20180102,1515,185.25,INTRA
strategy1,SELL,188.19,178.965,-5420,20180103,1215,184.5,20180103,1515,184.25,INTRA
strategy1,SELL,187.98600000000002,178.77100000000002,-5425,20180104,1100,184.3,20180104,1515,183.9,INTRA
strategy1,SELL,188.7,179.45,-5405,20180105,1050,185.0,20180105,1515,184.9,INTRA
strategy1,SELL,188.445,179.2075,-5412,20180108,1030,184.75,20180108,1515,183.0,INTRA
strategy1,BUY,181.986,191.271,5346,20180109,1005,185.7,20180109,1515,183.75,INTRA
strategy1,SELL,187.68,178.48,-5434,20180110,1145,184.0,20180110,1515,183.3,INTRA
strategy1,BUY,179.83,189.005,5428,20180111,1020,183.5,20180111,1515,185.0,INTRA
strategy1,BUY,182.231,191.52849999999998,5361,20180112,1150,185.95,20180112,1235,184.65,Reversal to Short
strategy1,SELL,188.34300000000002,179.1105,-5415,20180112,1235,184.65,20180112,1515,184.05,INTRA
strategy1,BUY,182.13299999999998,191.4255,5376,20180115,1035,185.85,20180115,1310,184.25,Reversal to Short
strategy1,SELL,187.935,178.7225,-5427,20180115,1310,184.25,20180115,1515,184.8,INTRA
strategy1,SELL,187.323,178.1405,-5445,20180116,1005,183.65,20180116,1515,180.9,INTRA
strategy1,BUY,176.93900000000002,185.96650000000002,5514,20180117,1035,180.55,20180117,1515,181.7,INTRA
strategy1,SELL,185.436,176.346,-5500,20180118,1010,181.8,20180118,1515,176.45,INTRA
strategy1,SELL,180.23399999999998,171.399,-5659,20180119,1235,176.7,20180119,1515,177.15,INTRA
strategy1,SELL,180.23399999999998,171.399,-5659,20180122,1050,176.7,20180122,1240,178.7,Reversal to Long
strategy1,BUY,173.95,182.825,5595,20180122,1240,177.5,20180122,1515,178.2,INTRA
strategy1,SELL,181.662,172.757,-5614,20180123,1220,178.1,20180123,1515,175.7,INTRA
strategy1,SELL,179.97899999999998,171.1565,-5667,20180124,1155,176.45,20180124,1515,176.65,INTRA
strategy1,BUY,173.166,182.00099999999998,5599,20180125,1045,176.7,20180125,1515,176.1,INTRA
strategy1,SELL,178.857,170.0895,-5702,20180129,1005,175.35,20180129,1515,173.7,INTRA
strategy1,SELL,175.746,167.131,-5803,20180130,1015,172.3,20180130,1515,169.85,INTRA
strategy1,BUY,169.05,177.675,5782,20180201,1030,172.5,20180201,1245,170.3,Reversal to Short
strategy1,SELL,173.70600000000002,165.191,-5871,20180201,1245,170.3,20180201,1310,172.9,Reversal to Long
strategy1,BUY,168.07,176.645,5783,20180201,1310,171.5,20180201,1515,173.8,INTRA
strategy1,SELL,173.808,165.288,-5868,20180202,1015,170.4,20180202,1035,165.288,ST
strategy1,SELL,170.34,161.99,-5988,20180202,1040,167.0,20180202,1245,170.34,SSL
strategy1,SELL,173.91,165.385,-5865,20180202,1250,170.5,20180202,1515,167.95,INTRA
strategy1,BUY,160.965,169.1775,6067,20180205,1100,164.25,20180205,1515,165.4,INTRA
strategy1,SELL,160.548,152.678,-6353,20180206,1225,157.4,20180206,1515,158.9,INTRA
strategy1,BUY,160.23,168.405,6082,20180207,1020,163.5,20180207,1515,163.7,INTRA
strategy1,BUY,163.905,172.2675,5955,20180208,1035,167.25,20180208,1515,168.3,INTRA
strategy1,BUY,163.023,171.3405,5947,20180209,1005,166.35,20180209,1030,171.3405,LT
strategy1,BUY,167.139,175.6665,5861,20180209,1035,170.55,20180209,1355,167.139,LSL
strategy1,BUY,162.28799999999998,170.56799999999998,5970,20180209,1440,165.6,20180209,1515,167.4,INTRA
strategy1,SELL,173.196,164.70600000000002,-5889,20180214,1110,169.8,20180214,1515,167.75,INTRA
strategy1,SELL,170.79899999999998,162.42649999999998,-5971,20180215,1055,167.45,20180215,1515,166.35,INTRA
strategy1,SELL,168.045,159.8075,-6069,20180216,1010,164.75,20180216,1515,164.4,INTRA
strategy1,SELL,165.29100000000003,157.1885,-6170,20180219,1025,162.05,20180219,1515,162.15,INTRA
strategy1,BUY,159.838,167.993,6086,20180220,1250,163.1,20180220,1515,164.6,INTRA
strategy1,BUY,161.798,170.053,6020,20180221,1140,165.1,20180221,1515,165.25,INTRA
strategy1,BUY,162.386,170.671,6007,20180222,1010,165.7,20180222,1515,165.05,INTRA
strategy1,BUY,162.87599999999998,171.18599999999998,5991,20180223,1015,166.2,20180223,1145,166.0,Reversal to Short
strategy1,SELL,169.32,161.02,-6024,20180223,1145,166.0,20180223,1515,164.1,INTRA
strategy1,SELL,167.586,159.371,-6086,20180226,1030,164.3,20180226,1515,163.7,INTRA
strategy1,BUY,161.455,169.6925,6038,20180227,1220,164.75,20180227,1335,169.6925,LT
strategy1,BUY,165.865,174.3275,5896,20180227,1340,169.25,20180227,1515,167.3,INTRA
strategy1,BUY,163.954,172.31900000000002,5957,20180228,1035,167.3,20180228,1515,166.35,INTRA
strategy1,SELL,168.3,160.05,-6060,20180301,1035,165.0,20180301,1515,162.6,INTRA
strategy1,SELL,167.28,159.08,-6097,20180305,1005,164.0,20180305,1515,160.95,INTRA
strategy1,SELL,164.577,156.5095,-6197,20180306,1015,161.35,20180306,1515,158.15,INTRA
strategy1,SELL,156.927,149.2345,-6499,20180307,1135,153.85,20180307,1515,154.35,INTRA
strategy1,SELL,157.335,149.6225,-6482,20180308,1025,154.25,20180308,1515,154.85,INTRA
strategy1,SELL,157.029,149.33149999999998,-6495,20180309,1015,153.95,20180309,1515,153.45,INTRA
strategy1,SELL,156.774,149.089,-6506,20180312,1035,153.7,20180312,1515,153.1,INTRA
strategy1,SELL,155.652,148.022,-6553,20180313,1405,152.6,20180313,1515,153.25,INTRA
strategy1,SELL,155.397,147.77949999999998,-6563,20180314,1125,152.35,20180314,1515,151.7,INTRA
strategy1,SELL,153.45899999999997,145.9365,-6646,20180315,1005,150.45,20180315,1515,150.4,INTRA
strategy1,SELL,151.572,144.142,-6729,20180316,1505,148.6,20180316,1515,147.05,INTRA
strategy1,SELL,149.277,141.9595,-6832,20180319,1250,146.35,20180319,1515,146.5,INTRA
strategy1,BUY,143.766,151.101,6809,20180320,1035,146.7,20180320,1515,146.0,INTRA
strategy1,SELL,149.53199999999998,142.202,-6821,20180321,1200,146.6,20180321,1515,145.65,INTRA
strategy1,SELL,149.124,141.814,-6839,20180322,1025,146.2,20180322,1200,147.0,Reversal to Long
strategy1,BUY,143.619,150.94650000000001,6802,20180322,1200,146.55,20180322,1515,147.15,INTRA
strategy1,SELL,148.767,141.4745,-6856,20180326,1020,145.85,20180326,1515,146.8,INTRA
strategy1,SELL,149.838,142.493,-6807,20180328,1325,146.9,20180328,1515,146.0,INTRA
strategy1,BUY,147.0,154.5,6615,20180402,1040,150.0,20180402,1515,151.8,INTRA
strategy1,BUY,149.25400000000002,156.869,6525,20180403,1010,152.3,20180403,1515,151.7,INTRA
strategy1,SELL,155.754,148.119,-6548,20180404,1345,152.7,20180404,1515,151.6,INTRA
strategy1,BUY,153.321,161.1435,6369,20180405,1010,156.45,20180405,1515,155.6,INTRA
strategy1,BUY,153.37,161.195,6369,20180406,1155,156.5,20180406,1515,157.0,INTRA
strategy1,BUY,155.918,163.873,6269,20180409,1010,159.1,20180409,1515,159.4,INTRA
strategy1,SELL,162.48600000000002,154.52100000000002,-6277,20180410,1035,159.3,20180410,1515,160.0,INTRA
strategy1,BUY,156.359,164.3365,6106,20180411,1050,159.55,20180411,1515,161.35,INTRA
strategy1,SELL,163.659,155.63649999999998,-6232,20180412,1355,160.45,20180412,1515,160.15,INTRA
strategy1,SELL,161.67,153.745,-6309,20180413,1320,158.5,20180413,1515,159.25,INTRA
strategy1,BUY,155.232,163.15200000000002,6253,20180416,1025,158.4,20180416,1515,159.85,INTRA
strategy1,SELL,162.435,154.4725,-6279,20180417,1025,159.25,20180417,1515,158.35,INTRA
strategy1,SELL,160.446,152.58100000000002,-6357,20180418,1425,157.3,20180418,1515,157.3,INTRA
strategy1,BUY,154.644,162.53400000000002,6295,20180419,1300,157.8,20180419,1515,156.7,INTRA
strategy1,BUY,154.301,162.1735,6339,20180420,1110,157.45,20180420,1300,156.2,Reversal to Short
strategy1,SELL,159.32399999999998,151.51399999999998,-6402,20180420,1300,156.2,20180420,1515,156.25,INTRA
strategy1,BUY,154.448,162.328,6297,20180423,1505,157.6,20180423,1515,159.0,INTRA
strategy1,SELL,160.85399999999998,152.969,-6341,20180424,1245,157.7,20180424,1515,156.0,INTRA
strategy1,SELL,157.89600000000002,150.156,-6459,20180425,1245,154.8,20180425,1515,154.0,INTRA
strategy1,BUY,151.459,159.18650000000002,6462,20180426,1400,154.55,20180426,1515,156.8,INTRA
strategy1,BUY,153.762,161.607,6357,20180427,1015,156.9,20180427,1515,156.15,INTRA
strategy1,BUY,154.644,162.53400000000002,6283,20180430,1025,157.8,20180430,1515,159.75,INTRA
strategy1,SELL,162.89399999999998,154.909,-6261,20180502,1420,159.7,20180502,1515,159.5,INTRA
strategy1,SELL,160.85399999999998,152.969,-6341,20180503,1110,157.7,20180503,1515,158.8,INTRA
strategy1,SELL,162.384,154.42399999999998,-6281,20180507,1005,159.2,20180507,1515,157.75,INTRA
