strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,167.87400000000002,176.43900000000002,5763,20180101,1050,171.3,20180101,1515,170.45,INTRA
strategy1,SELL,171.92100000000002,163.4935,-5932,20180102,1015,168.55,20180102,1445,170.95,Reversal to Long
strategy1,BUY,167.09,175.615,5849,20180102,1445,170.5,20180102,1515,171.0,INTRA
strategy1,BUY,168.56,177.16,5755,20180103,1345,172.0,20180103,1350,177.16,LT
strategy1,BUY,175.077,184.0095,5586,20180103,1355,178.65,20180103,1445,175.077,LSL
strategy1,BUY,171.059,179.78650000000002,5714,20180103,1450,174.55,20180103,1515,172.0,INTRA
strategy1,SELL,174.42,165.87,-5847,20180104,1115,171.0,20180104,1335,173.0,Reversal to Long
strategy1,BUY,168.119,176.69650000000001,5780,20180104,1335,171.55,20180104,1515,171.15,INTRA
strategy1,SELL,174.675,166.1125,-5839,20180105,1005,171.25,20180105,1055,173.0,Reversal to Long
strategy1,BUY,168.217,176.7995,5780,20180105,1055,171.65,20180105,1210,176.7995,LT
strategy1,BUY,173.264,182.104,5649,20180105,1215,176.8,20180105,1515,177.7,INTRA
strategy1,BUY,175.959,184.93650000000002,5503,20180108,1105,179.55,20180108,1515,179.2,INTRA
strategy1,SELL,179.82600000000002,171.01100000000002,-5672,20180109,1120,176.3,20180109,1515,178.0,INTRA
strategy1,SELL,181.458,172.56300000000002,-5621,20180110,1035,177.9,20180110,1515,174.75,INTRA
strategy1,SELL,177.939,169.2165,-5732,20180112,1005,174.45,20180112,1500,176.0,Reversal to Long
strategy1,BUY,171.99,180.765,5681,20180112,1500,175.5,20180112,1515,176.0,INTRA
strategy1,SELL,176.76600000000002,168.101,-5770,20180115,1200,173.3,20180115,1515,171.4,INTRA
strategy1,SELL,174.11399999999998,165.57899999999998,-5858,20180116,1005,170.7,20180116,1515,169.0,INTRA
strategy1,SELL,169.26899999999998,160.9715,-6025,20180117,1235,165.95,20180117,1515,168.0,INTRA
strategy1,BUY,165.91400000000002,174.37900000000002,5899,20180118,1025,169.3,20180118,1430,167.75,Reversal to Short
strategy1,SELL,171.105,162.7175,-5961,20180118,1430,167.75,20180118,1515,165.3,INTRA
strategy1,BUY,163.12099999999998,171.4435,5952,20180119,1030,166.45,20180119,1245,164.55,Reversal to Short
strategy1,SELL,167.841,159.61350000000002,-6077,20180119,1245,164.55,20180119,1440,166.8,Reversal to Long
strategy1,BUY,163.17,171.495,5995,20180119,1440,166.5,20180119,1515,167.95,INTRA
strategy1,SELL,168.708,160.43800000000002,-6045,20180122,1005,165.4,20180122,1515,166.0,INTRA
strategy1,SELL,169.779,161.45649999999998,-6007,20180124,1025,166.45,20180124,1515,165.3,INTRA
strategy1,SELL,167.892,159.662,-6075,20180125,1145,164.6,20180125,1510,167.6,Reversal to Long
strategy1,BUY,162.925,171.2375,5966,20180125,1510,166.25,20180125,1515,167.25,INTRA
strategy1,SELL,169.116,160.82600000000002,-6031,20180129,1015,165.8,20180129,1515,162.0,INTRA
strategy1,BUY,158.662,166.757,6136,20180130,1025,161.9,20180130,1120,161.4,Reversal to Short
