strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,115.98299999999999,121.9005,8210,20180102,1155,118.35,20180102,1205,121.9005,LT
strategy1,BUY,119.462,125.557,8136,20180102,1210,121.9,20180102,1515,123.0,INTRA
strategy1,SELL,127.143,120.9105,-8022,20180103,1050,124.65,20180103,1515,124.5,INTRA
strategy1,SELL,126.429,120.2315,-8067,20180104,1015,123.95,20180104,1310,126.15,Reversal to Long
strategy1,BUY,122.84299999999999,129.1105,7927,20180104,1310,125.35,20180104,1515,126.85,INTRA
strategy1,SELL,128.62199999999999,122.317,-7930,20180105,1205,126.1,20180105,1515,127.6,INTRA
strategy1,SELL,130.254,123.869,-7830,20180108,1005,127.7,20180108,1515,128.6,INTRA
strategy1,SELL,132.702,126.19699999999999,-7686,20180109,1320,130.1,20180109,1515,130.6,INTRA
strategy1,SELL,131.223,124.79050000000001,-7773,20180110,1050,128.65,20180110,1515,127.7,INTRA
strategy1,BUY,124.411,130.7585,7836,20180111,1005,126.95,20180111,1515,127.05,INTRA
strategy1,SELL,129.642,123.28699999999999,-7867,20180112,1035,127.1,20180112,1445,128.3,Reversal to Long
strategy1,BUY,125.587,131.99450000000002,7794,20180112,1445,128.15,20180112,1515,128.5,INTRA
strategy1,SELL,130.40699999999998,124.0145,-7821,20180115,1015,127.85,20180115,1515,126.3,INTRA
strategy1,SELL,127.39800000000001,121.153,-8006,20180116,1025,124.9,20180116,1515,122.15,INTRA
strategy1,BUY,119.805,125.9175,8080,20180117,1010,122.25,20180117,1515,124.35,INTRA
strategy1,SELL,126.07199999999999,119.892,-8090,20180118,1020,123.6,20180118,1515,120.9,INTRA
strategy1,BUY,117.992,124.012,8244,20180119,1015,120.4,20180119,1250,119.1,Reversal to Short
strategy1,SELL,121.482,115.52699999999999,-8396,20180119,1250,119.1,20180119,1510,121.05,Reversal to Long
strategy1,BUY,118.43299999999999,124.4755,8261,20180119,1510,120.85,20180119,1515,121.1,INTRA
strategy1,SELL,122.55300000000001,116.5455,-8322,20180122,1010,120.15,20180122,1515,120.75,INTRA
strategy1,BUY,119.95200000000001,126.072,8116,20180123,1005,122.4,20180123,1515,124.1,INTRA
strategy1,SELL,124.899,118.7765,-8166,20180124,1245,122.45,20180124,1405,124.85,Reversal to Long
strategy1,BUY,120.344,126.484,8009,20180124,1405,122.8,20180124,1515,123.3,INTRA
strategy1,SELL,125.154,119.019,-8149,20180125,1505,122.7,20180125,1515,122.1,INTRA
strategy1,BUY,122.206,128.441,8000,20180129,1150,124.7,20180129,1515,125.4,INTRA
strategy1,SELL,127.092,120.862,-8025,20180130,1005,124.6,20180130,1515,125.95,INTRA
strategy1,BUY,123.039,129.3165,7933,20180131,1505,125.55,20180131,1515,126.3,INTRA
strategy1,SELL,127.39800000000001,121.153,-8006,20180201,1220,124.9,20180201,1245,121.153,ST
strategy1,SELL,124.644,118.534,-8183,20180201,1250,122.2,20180201,1300,124.644,SSL
strategy1,SELL,126.07199999999999,119.892,-8090,20180201,1305,123.6,20180201,1515,123.3,INTRA
strategy1,SELL,124.44,118.34,-8196,20180202,1025,122.0,20180202,1155,124.44,SSL
strategy1,BUY,122.402,128.64700000000002,7939,20180202,1200,124.9,20180202,1455,122.55,Reversal to Short
strategy1,SELL,125.00099999999999,118.87349999999999,-8159,20180202,1455,122.55,20180202,1515,122.15,INTRA
strategy1,BUY,120.344,126.484,8097,20180205,1010,122.8,20180205,1420,126.484,LT
strategy1,BUY,124.509,130.8615,7849,20180205,1425,127.05,20180205,1515,129.45,INTRA
strategy1,BUY,122.5,128.75,7917,20180206,1135,125.0,20180206,1515,126.9,INTRA
strategy1,SELL,131.58,125.13,-7751,20180207,1210,129.0,20180207,1500,131.7,Reversal to Long
strategy1,BUY,127.89,134.415,7593,20180207,1500,130.5,20180207,1515,133.0,INTRA
strategy1,BUY,132.692,139.46200000000002,7358,20180208,1005,135.4,20180208,1515,134.15,INTRA
strategy1,BUY,130.683,137.35049999999998,7446,20180209,1005,133.35,20180209,1515,134.2,INTRA
strategy1,SELL,136.578,129.883,-7468,20180212,1045,133.9,20180212,1515,133.15,INTRA
strategy1,BUY,132.59400000000002,139.359,7352,20180214,1020,135.3,20180214,1515,137.4,INTRA
strategy1,SELL,140.40300000000002,133.5205,-7264,20180215,1040,137.65,20180215,1515,137.55,INTRA
strategy1,SELL,139.23,132.405,-7326,20180216,1005,136.5,20180216,1515,133.85,INTRA
strategy1,SELL,135.099,128.4765,-7550,20180219,1025,132.45,20180219,1515,132.2,INTRA
strategy1,BUY,130.487,137.1445,7465,20180220,1235,133.15,20180220,1515,133.15,INTRA
strategy1,SELL,135.507,128.8645,-7527,20180221,1310,132.85,20180221,1515,132.2,INTRA
strategy1,BUY,129.997,136.6295,7518,20180222,1025,132.65,20180222,1515,132.35,INTRA
strategy1,BUY,130.63400000000001,137.299,7462,20180223,1005,133.3,20180223,1515,134.4,INTRA
strategy1,SELL,139.84199999999998,132.987,-7293,20180227,1025,137.1,20180227,1515,137.75,INTRA
strategy1,BUY,136.514,143.479,7137,20180228,1035,139.3,20180228,1515,141.5,INTRA
strategy1,SELL,144.789,137.6915,-7044,20180301,1100,141.95,20180301,1515,141.2,INTRA
strategy1,BUY,136.71,143.685,7137,20180305,1040,139.5,20180305,1515,140.2,INTRA
strategy1,BUY,138.327,145.3845,7037,20180306,1005,141.15,20180306,1450,140.35,Reversal to Short
strategy1,SELL,143.15699999999998,136.1395,-7125,20180306,1450,140.35,20180306,1515,140.15,INTRA
strategy1,BUY,138.18,145.23,7054,20180307,1020,141.0,20180307,1515,141.2,INTRA
strategy1,SELL,146.268,139.098,-6973,20180308,1035,143.4,20180308,1140,144.45,Reversal to Long
strategy1,BUY,141.12,148.32,6922,20180308,1140,144.0,20180308,1515,144.05,INTRA
strategy1,SELL,147.849,140.6015,-6898,20180309,1115,144.95,20180309,1420,147.2,Reversal to Long
strategy1,BUY,143.668,150.998,6793,20180309,1420,146.6,20180309,1515,147.1,INTRA
strategy1,SELL,149.73600000000002,142.39600000000002,-6811,20180312,1015,146.8,20180312,1515,145.5,INTRA
strategy1,BUY,142.541,149.81349999999998,6835,20180313,1130,145.45,20180313,1510,149.81349999999998,LT
strategy1,BUY,146.51,153.985,6655,20180313,1515,149.5,20180313,1515,150.25,INTRA
strategy1,SELL,151.827,144.3845,-6718,20180314,1105,148.85,20180314,1515,149.75,INTRA
strategy1,BUY,147.78400000000002,155.324,6624,20180315,1120,150.8,20180315,1515,150.55,INTRA
strategy1,SELL,152.286,144.821,-6697,20180316,1020,149.3,20180316,1515,147.2,INTRA
strategy1,SELL,147.594,140.35899999999998,-6910,20180319,1005,144.7,20180319,1515,145.5,INTRA
strategy1,BUY,144.648,152.028,6761,20180321,1010,147.6,20180321,1515,147.55,INTRA
strategy1,SELL,149.48100000000002,142.1535,-6823,20180322,1005,146.55,20180322,1450,142.1535,ST
