strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,2695.0,2832.5,362,20180101,1025,2750.0,20180101,1515,2760.0,INTRA
strategy1,SELL,2778.48,2642.28,-367,20180103,1045,2724.0,20180103,1245,2745.0,Reversal to Long
strategy1,BUY,2685.2,2822.2,364,20180103,1245,2740.0,20180103,1515,2732.05,INTRA
strategy1,BUY,2687.16,2824.26,364,20180104,1010,2742.0,20180104,1145,2824.26,LT
strategy1,BUY,2759.68,2900.48,355,20180104,1150,2816.0,20180104,1515,2832.45,INTRA
strategy1,SELL,2851.818,2712.023,-357,20180105,1505,2795.9,20180105,1515,2810.05,INTRA
strategy1,SELL,2889.7110000000002,2748.0585,-352,20180108,1310,2833.05,20180108,1515,2821.15,INTRA
strategy1,BUY,2792.951,2935.4485,349,20180109,1010,2849.95,20180109,1410,2935.4485,LT
strategy1,BUY,2861.6,3007.6,341,20180109,1415,2920.0,20180109,1515,2895.5,INTRA
strategy1,BUY,2856.994,3002.759,339,20180110,1030,2915.3,20180110,1510,3002.759,LT
strategy1,BUY,2930.2,3079.7,334,20180110,1515,2990.0,20180110,1515,2990.0,INTRA
strategy1,SELL,3010.0710000000004,2862.5185,-338,20180111,1045,2951.05,20180111,1515,2965.0,INTRA
strategy1,SELL,3105.9,2953.65,-328,20180116,1050,3045.0,20180116,1515,2970.0,INTRA
strategy1,BUY,2939.02,3088.97,332,20180117,1045,2999.0,20180117,1320,2939.02,LSL
strategy1,SELL,2966.16,2820.76,-343,20180117,1500,2908.0,20180117,1515,2921.0,INTRA
strategy1,SELL,3003.9,2856.65,-339,20180119,1035,2945.0,20180119,1400,2856.65,ST
strategy1,SELL,2914.854,2771.969,-349,20180119,1405,2857.7,20180119,1515,2896.0,INTRA
strategy1,SELL,2915.2110000000002,2772.3085,-349,20180123,1125,2858.05,20180123,1515,2872.4,INTRA
strategy1,SELL,2907.0510000000004,2764.5485000000003,-350,20180125,1010,2850.05,20180125,1515,2853.8,INTRA
strategy1,SELL,2871.3,2730.55,-355,20180129,1300,2815.0,20180129,1515,2817.0,INTRA
strategy1,SELL,2817.24,2679.14,-362,20180130,1010,2762.0,20180130,1515,2801.4,INTRA
strategy1,SELL,2822.34,2683.99,-361,20180131,1025,2767.0,20180131,1515,2714.95,INTRA
strategy1,SELL,2744.82,2610.27,-371,20180201,1250,2691.0,20180201,1515,2724.95,INTRA
strategy1,SELL,2733.396,2599.406,-373,20180202,1020,2679.8,20180202,1515,2683.8,INTRA
strategy1,BUY,2582.3,2714.05,374,20180205,1255,2635.0,20180205,1310,2714.05,LT
strategy1,BUY,2653.938,2789.343,367,20180205,1315,2708.1,20180205,1405,2653.938,LSL
strategy1,BUY,2597.147,2729.6545,377,20180205,1410,2650.15,20180205,1515,2669.4,INTRA
