strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1317.872,1355.07,752,20190101,1045,1328.5,20190102.0,915.0,1315.35,LSL
strategy1,BUY,1318.4671999999998,1355.682,752,20190102,1215,1329.1,20190102.0,1545.0,1315.9,LSL
strategy1,BUY,1316.384,1353.54,753,20190103,945,1327.0,20190103.0,1415.0,1313.85,LSL
strategy1,BUY,1300.1648,1336.863,762,20190107,1115,1310.65,20190107.0,1545.0,1300.0,LSL
strategy1,BUY,1299.52,1336.2,763,20190109,945,1310.0,20190111.0,1045.0,1339.0,LT
strategy1,BUY,1320.1535999999999,1357.416,751,20190111,1245,1330.8,20190114.0,1015.0,1317.05,LSL
strategy1,BUY,1289.6,1326.0,769,20190121,945,1300.0,20190121.0,1515.0,1284.15,LSL
strategy1,BUY,1291.8816,1328.346,767,20190122,1315,1302.3,20190123.0,1545.0,1290.0,LSL
strategy1,BUY,1231.4191999999998,1266.177,805,20190129,1015,1241.35,20190130.0,1015.0,1273.0,LT
strategy1,BUY,1256.864,1292.34,789,20190130,1315,1267.0,20190201.0,1145.0,1293.7,LT
strategy1,BUY,1282.2592,1318.452,773,20190201,1315,1292.6,20190201.0,1415.0,1282.0,LSL
strategy1,BUY,1276.0095999999999,1312.0259999999998,777,20190205,945,1286.3,20190205.0,1015.0,1271.4,LSL
strategy1,BUY,1272.8352,1308.762,779,20190207,1015,1283.1,20190207.0,1515.0,1261.0,LSL
strategy1,BUY,1231.4191999999998,1266.177,805,20190212,1245,1241.35,20190214.0,1045.0,1267.3,LT
strategy1,BUY,1232.3616,1267.146,804,20190219,1145,1242.3,20190227.0,1045.0,1231.1,LSL
strategy1,BUY,1238.3136,1273.2659999999998,801,20190301,945,1248.3,20190305.0,915.0,1236.0,LSL
strategy1,BUY,1230.1791999999998,1264.9019999999998,806,20190306,1515,1240.1,20190307.0,1045.0,1286.0,LT
strategy1,BUY,1263.808,1299.48,784,20190311,945,1274.0,20190312.0,1215.0,1263.5,LSL
strategy1,BUY,1259.8896,1295.451,787,20190313,1145,1270.05,20190313.0,1315.0,1296.5,LT
