strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,7479.68,7690.8,132,20190101,1245,7540.0,20190103,1115,7446.1,LSL
strategy1,BUY,7464.8,7675.5,132,20190104,1245,7525.0,20190108,1415,7680.0,LT
strategy1,BUY,7647.328,7863.18,129,20190108,1445,7709.0,20190109,1045,7923.95,LT
strategy1,BUY,7835.4608,8056.623,126,20190109,1215,7898.65,20190109,1315,8086.9,LT
strategy1,BUY,8059.008,8286.48,123,20190110,1015,8124.0,20190110,1345,8056.0,LSL
strategy1,BUY,8066.944,8294.64,122,20190110,1515,8132.0,20190111,915,8040.95,LSL
strategy1,BUY,8035.1503999999995,8261.949,123,20190111,1415,8099.95,20190114,1015,8027.45,LSL
strategy1,BUY,8005.4896,8231.451000000001,123,20190115,1015,8070.05,20190123,1045,8235.0,LT
strategy1,BUY,8184.0,8415.0,121,20190124,1215,8250.0,20190124,1345,8174.95,LSL
strategy1,BUY,8174.1792000000005,8404.902,121,20190124,1445,8240.1,20190128,945,8049.0,LSL
strategy1,BUY,8084.552,8312.745,122,20190129,1045,8149.75,20190129,1115,8084.1,LSL
strategy1,BUY,8008.8128,8234.868,123,20190131,945,8073.4,20190204,1315,7999.9,LSL
strategy1,BUY,8023.2464,8249.708999999999,123,20190205,1145,8087.95,20190207,1045,8282.0,LT
strategy1,BUY,8154.488,8384.655,121,20190207,1245,8220.25,20190208,1515,8030.0,LSL
strategy1,BUY,7698.3664,7915.659,128,20190213,945,7760.45,20190213,1515,7639.95,LSL
strategy1,BUY,7249.734399999999,7454.364,136,20190220,945,7308.2,20190221,1015,7245.05,LSL
strategy1,BUY,7201.92,7405.2,137,20190222,1015,7260.0,20190222,1415,7182.75,LSL
strategy1,BUY,7236.5904,7440.849,137,20190225,1045,7294.95,20190228,1215,7449.95,LT
strategy1,BUY,7414.456,7623.735,133,20190228,1245,7474.25,20190228,1545,7379.95,LSL
strategy1,BUY,7321.0096,7527.651,135,20190307,945,7380.05,20190307,1245,7310.0,LSL
strategy1,BUY,7310.048,7516.38,135,20190308,1315,7369.0,20190313,1045,7303.05,LSL
strategy1,BUY,7310.9904,7517.349,135,20190315,1015,7369.95,20190315,1515,7290.5,LSL
strategy1,BUY,7320.7616,7527.396000000001,135,20190319,1045,7379.8,20190322,915,7301.0,LSL
strategy1,BUY,7345.76,7553.1,135,20190322,1115,7405.0,20190325,915,7317.5,LSL
