strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,199.3424,204.969,4976,20190101,1015,200.95,20190101.0,1315.0,199.1,LSL
strategy1,BUY,200.0864,205.73399999999998,4957,20190102,945,201.7,20190102.0,1315.0,199.8,LSL
strategy1,BUY,199.6896,205.32600000000002,4967,20190102,1515,201.3,20190104.0,945.0,197.75,LSL
strategy1,BUY,201.32639999999998,207.009,4927,20190107,945,202.95,20190107.0,1415.0,200.5,LSL
strategy1,BUY,202.368,208.08,4901,20190108,1315,204.0,20190110.0,1015.0,211.4,LT
strategy1,BUY,211.1968,217.15800000000002,4697,20190110,1445,212.9,20190111.0,915.0,218.5,LT
strategy1,BUY,225.3328,231.693,4402,20190114,1045,227.15,20190114.0,1145.0,225.05,LSL
strategy1,BUY,222.7536,229.04100000000003,4453,20190115,945,224.55,20190115.0,1345.0,221.55,LSL
strategy1,BUY,220.72,226.95,4494,20190116,1445,222.5,20190117.0,915.0,228.35,LT
strategy1,BUY,207.77439999999999,213.63899999999998,4774,20190125,1515,209.45,20190125.0,1545.0,206.5,LSL
strategy1,BUY,212.3376,218.33100000000002,4671,20190128,1345,214.05,20190128.0,1445.0,210.75,LSL
strategy1,BUY,214.768,220.83,4618,20190130,1315,216.5,20190130.0,1415.0,212.0,LSL
strategy1,BUY,213.776,219.81,4640,20190131,945,215.5,20190131.0,1015.0,213.7,LSL
strategy1,BUY,213.6272,219.65699999999998,4643,20190131,1415,215.35,20190131.0,1545.0,212.75,LSL
strategy1,BUY,213.1808,219.198,4653,20190201,1045,214.9,20190212.0,1515.0,210.8,LSL
strategy1,BUY,214.272,220.32,4629,20190214,1415,216.0,20190215.0,915.0,214.15,LSL
strategy1,BUY,214.272,220.32,4629,20190215,945,216.0,20190215.0,1245.0,213.9,LSL
strategy1,BUY,214.47039999999998,220.524,4625,20190218,1045,216.2,20190218.0,1415.0,221.65,LT
strategy1,BUY,217.248,223.38,4566,20190219,1045,219.0,20190220.0,1445.0,216.8,LSL
strategy1,BUY,196.76319999999998,202.317,5041,20190228,1215,198.35,20190228.0,1515.0,204.75,LT
strategy1,BUY,207.9232,213.792,4770,20190305,1415,209.6,20190306.0,1215.0,215.75,LT
strategy1,BUY,207.0304,212.874,4791,20190308,1315,208.7,20190308.0,1515.0,205.9,LSL
strategy1,BUY,209.7088,215.62800000000001,4730,20190311,1015,211.4,20190312.0,915.0,216.05,LT
strategy1,BUY,215.1648,221.238,4610,20190312,1145,216.9,20190312.0,1315.0,214.85,LSL
strategy1,BUY,216.4544,222.564,4582,20190313,945,218.2,20190313.0,1015.0,216.0,LSL
strategy1,BUY,210.60160000000002,216.54600000000002,4710,20190315,1245,212.3,20190315.0,1445.0,229.45,LT
strategy1,BUY,223.2,229.5,4444,20190320,945,225.0,20190320.0,1245.0,222.25,LSL
strategy1,BUY,223.0512,229.34699999999998,4447,20190320,1515,224.85,20190325.0,915.0,220.8,LSL
strategy1,BUY,215.95839999999998,222.054,4593,20190327,945,217.7,20190327.0,1145.0,215.3,LSL
strategy1,BUY,215.3136,221.39100000000002,4607,20190328,1415,217.05,20190329.0,1115.0,224.8,LT
strategy1,BUY,219.7776,225.98100000000002,4513,20190401,945,221.55,20190401.0,1515.0,219.6,LSL
strategy1,BUY,220.968,227.205,4489,20190402,1515,222.75,20190403.0,1415.0,220.6,LSL
strategy1,BUY,220.224,226.44,4504,20190404,1515,222.0,20190405.0,1145.0,220.0,LSL
strategy1,BUY,217.6944,223.839,4556,20190409,1045,219.45,20190410.0,1445.0,217.55,LSL
strategy1,BUY,218.1408,224.298,4547,20190412,1045,219.9,20190415.0,945.0,224.7,LT
strategy1,BUY,221.3648,227.613,4481,20190415,1245,223.15,20190416.0,1215.0,227.9,LT
strategy1,BUY,228.50719999999998,234.957,4341,20190416,1445,230.35,20190418.0,945.0,223.9,LSL
strategy1,BUY,226.672,233.07,4376,20190418,1215,228.5,20190418.0,1445.0,226.15,LSL
strategy1,BUY,218.5376,224.70600000000002,4539,20190424,1445,220.3,20190425.0,945.0,228.5,LT
strategy1,BUY,223.448,229.755,4439,20190425,1245,225.25,20190425.0,1445.0,221.1,LSL
strategy1,BUY,218.4384,224.60399999999998,4541,20190430,1445,220.2,20190430.0,1515.0,217.2,LSL
strategy1,BUY,217.6448,223.788,4557,20190502,1015,219.4,20190502.0,1215.0,216.65,LSL
strategy1,BUY,216.8512,222.97199999999998,4574,20190503,1315,218.6,20190503.0,1415.0,216.6,LSL
strategy1,BUY,215.5616,221.64600000000002,4601,20190507,945,217.3,20190507.0,1315.0,215.2,LSL
strategy1,BUY,207.1296,212.976,4789,20190510,1015,208.8,20190514.0,945.0,205.05,LSL
strategy1,BUY,209.6096,215.526,4732,20190514,1415,211.3,20190516.0,1015.0,208.95,LSL
strategy1,BUY,224.14239999999998,230.469,4425,20190520,1515,225.95,20190520.0,1545.0,222.65,LSL
strategy1,BUY,225.68,232.05,4395,20190521,945,227.5,20190521.0,1245.0,224.55,LSL
strategy1,BUY,227.56480000000002,233.988,4359,20190522,945,229.4,20190523.0,915.0,241.0,LT
strategy1,BUY,242.296,249.135,4094,20190528,1515,244.25,20190529.0,1245.0,241.85,LSL
strategy1,BUY,234.26080000000002,240.87300000000002,4234,20190531,945,236.15,20190603.0,945.0,232.75,LSL
strategy1,BUY,235.5008,242.148,4212,20190604,945,237.4,20190604.0,1045.0,234.0,LSL
strategy1,BUY,226.1264,232.509,4386,20190611,1045,227.95,20190612.0,1315.0,225.7,LSL
strategy1,BUY,229.648,236.13,4319,20190613,1445,231.5,20190614.0,915.0,237.35,LT
strategy1,BUY,233.864,240.465,4241,20190617,945,235.75,20190617.0,1145.0,233.25,LSL
strategy1,BUY,211.9408,217.923,4680,20190621,945,213.65,20190621.0,1415.0,211.8,LSL
strategy1,BUY,225.23360000000002,231.591,4404,20190624,1215,227.05,20190624.0,1315.0,224.6,LSL
strategy1,BUY,226.0272,232.40699999999998,4388,20190624,1445,227.85,20190624.0,1515.0,225.6,LSL
strategy1,BUY,224.0928,230.418,4426,20190626,1045,225.9,20190626.0,1545.0,222.35,LSL
strategy1,BUY,221.712,227.97,4474,20190628,1345,223.5,20190701.0,1345.0,229.0,LT
strategy1,BUY,234.3104,240.92399999999998,4233,20190702,945,236.2,20190702.0,1045.0,233.85,LSL
strategy1,BUY,221.712,227.97,4474,20190709,1145,223.5,20190709.0,1515.0,221.0,LSL
strategy1,BUY,224.78719999999998,231.132,4413,20190710,945,226.6,20190710.0,1015.0,224.4,LSL
strategy1,BUY,223.2,229.5,4444,20190710,1145,225.0,20190712.0,1215.0,223.2,LSL
strategy1,BUY,223.2,229.5,4444,20190716,1415,225.0,20190716.0,1445.0,222.2,LSL
strategy1,BUY,212.23839999999998,218.22899999999998,4673,20190722,1145,213.95,20190723.0,1215.0,211.9,LSL
strategy1,BUY,209.21280000000002,215.118,4741,20190725,1045,210.9,20190725.0,1545.0,216.75,LT
strategy1,BUY,213.28,219.3,4651,20190726,945,215.0,20190729.0,1015.0,210.75,LSL
strategy1,BUY,204.2528,210.018,4856,20190802,1345,205.9,20190805.0,945.0,198.9,LSL
strategy1,BUY,205.49280000000002,211.293,4827,20190806,1315,207.15,20190808.0,945.0,211.5,LT
strategy1,BUY,212.18880000000001,218.178,4675,20190808,1515,213.9,20190809.0,915.0,218.55,LT
strategy1,BUY,212.1392,218.12699999999998,4676,20190816,1215,213.85,20190816.0,1545.0,211.0,LSL
strategy1,BUY,211.74239999999998,217.719,4684,20190819,1015,213.45,20190819.0,1515.0,217.8,LT
strategy1,BUY,218.8352,225.012,4533,20190820,945,220.6,20190820.0,1545.0,217.95,LSL
strategy1,BUY,222.4064,228.684,4460,20190823,1045,224.2,20190826.0,1245.0,228.85,LT
strategy1,BUY,227.912,234.345,4352,20190826,1515,229.75,20190827.0,1515.0,234.85,LT
strategy1,BUY,235.64960000000002,242.30100000000002,4209,20190828,1115,237.55,20190828.0,1215.0,233.35,LSL
strategy1,BUY,233.2192,239.802,4253,20190829,1215,235.1,20190830.0,1145.0,232.75,LSL
strategy1,BUY,235.0544,241.689,4220,20190903,1015,236.95,20190903.0,1115.0,233.95,LSL
strategy1,BUY,234.608,241.23,4228,20190903,1145,236.5,20190904.0,945.0,234.5,LSL
strategy1,BUY,236.096,242.76,4201,20190904,1115,238.0,20190904.0,1545.0,235.4,LSL
strategy1,BUY,236.79039999999998,243.474,4189,20190905,1015,238.7,20190906.0,1345.0,236.1,LSL
strategy1,BUY,235.8976,242.556,4205,20190911,1215,237.8,20190911.0,1445.0,235.5,LSL
strategy1,BUY,236.9888,243.678,4185,20190912,945,238.9,20190912.0,1315.0,236.0,LSL
strategy1,BUY,232.9216,239.496,4258,20190917,1115,234.8,20190917.0,1215.0,231.5,LSL
strategy1,BUY,225.23360000000002,231.591,4404,20190923,1215,227.05,20190923.0,1345.0,231.95,LT
strategy1,BUY,234.55839999999998,241.179,4229,20190924,945,236.45,20190924.0,1015.0,234.3,LSL
strategy1,BUY,239.6672,246.432,4139,20190925,945,241.6,20190925.0,1245.0,237.6,LSL
strategy1,BUY,235.0544,241.689,4220,20190927,1245,236.95,20190927.0,1415.0,234.8,LSL
strategy1,BUY,226.37439999999998,232.76399999999998,4382,20191004,1245,228.2,20191004.0,1515.0,226.35,LSL
strategy1,BUY,227.8128,234.243,4354,20191007,1115,229.65,20191007.0,1315.0,227.45,LSL
strategy1,BUY,225.5808,231.948,4397,20191010,1115,227.4,20191010.0,1145.0,225.0,LSL
