strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,151.8256,156.11100000000002,6533,20190107,1015,153.05,20190107,1145,151.65,LSL
strategy1,BUY,150.93280000000001,155.193,6572,20190108,1315,152.15,20190109,1045,150.8,LSL
strategy1,BUY,149.0976,153.306,6653,20190110,1115,150.3,20190114,1015,147.95,LSL
strategy1,BUY,147.808,151.98,6711,20190115,1115,149.0,20190115,1345,147.8,LSL
strategy1,BUY,147.51039999999998,151.67399999999998,6724,20190115,1515,148.7,20190117,1415,147.2,LSL
strategy1,BUY,143.5424,147.594,6910,20190125,1015,144.7,20190125,1145,142.05,LSL
strategy1,BUY,139.4752,143.412,7112,20190129,1515,140.6,20190130,945,139.15,LSL
strategy1,BUY,139.2768,143.208,7122,20190131,1445,140.4,20190131,1515,136.5,LSL
strategy1,BUY,122.36319999999999,125.817,8107,20190207,1015,123.35,20190207,1245,122.25,LSL
strategy1,BUY,118.544,121.89,8368,20190213,1115,119.5,20190213,1215,122.85,LT
strategy1,BUY,117.60159999999999,120.92099999999999,8435,20190215,945,118.55,20190215,1215,117.15,LSL
strategy1,BUY,118.94080000000001,122.298,8340,20190215,1515,119.9,20190215,1545,118.2,LSL
strategy1,BUY,117.304,120.615,8456,20190219,1115,118.25,20190219,1545,117.1,LSL
strategy1,BUY,119.08959999999999,122.451,8329,20190220,945,120.05,20190220,1015,118.9,LSL
strategy1,BUY,118.6928,122.043,8357,20190220,1345,119.65,20190222,945,122.2,LT
strategy1,BUY,121.91680000000001,125.358,8136,20190222,1245,122.9,20190222,1445,128.3,LT
strategy1,BUY,128.3648,131.988,7727,20190225,1245,129.4,20190225,1515,132.4,LT
strategy1,BUY,130.5472,134.232,7598,20190226,1145,131.6,20190227,945,135.4,LT
strategy1,BUY,132.63039999999998,136.374,7479,20190301,1415,133.7,20190305,1215,138.35,LT
strategy1,BUY,139.128,143.055,7130,20190307,1045,140.25,20190307,1115,138.65,LSL
strategy1,BUY,138.2352,142.137,7176,20190311,945,139.35,20190312,1045,142.85,LT
strategy1,BUY,147.85760000000002,152.031,6709,20190313,945,149.05,20190313,1015,146.85,LSL
strategy1,BUY,146.4192,150.552,6775,20190315,1015,147.6,20190315,1115,146.2,LSL
strategy1,BUY,142.6992,146.727,6951,20190318,1515,143.85,20190319,1015,142.25,LSL
strategy1,BUY,141.16160000000002,145.14600000000002,7027,20190320,1045,142.3,20190320,1115,140.8,LSL
strategy1,BUY,135.408,139.23,7326,20190326,1115,136.5,20190326,1315,139.8,LT
strategy1,BUY,138.2352,142.137,7176,20190326,1445,139.35,20190326,1545,138.0,LSL
strategy1,BUY,138.5328,142.443,7160,20190327,945,139.65,20190327,1415,138.0,LSL
strategy1,BUY,139.67360000000002,143.616,7102,20190328,1215,140.8,20190328,1515,136.5,LSL
strategy1,BUY,142.94719999999998,146.982,6939,20190329,945,144.1,20190329,1045,148.7,LT
strategy1,BUY,147.4608,151.62300000000002,6727,20190329,1415,148.65,20190329,1515,145.7,LSL
strategy1,BUY,147.7584,151.929,6713,20190401,1215,148.95,20190401,1345,147.4,LSL
strategy1,BUY,149.49439999999998,153.714,6635,20190401,1515,150.7,20190402,1415,148.85,LSL
strategy1,BUY,141.7568,145.758,6997,20190412,1015,142.9,20190412,1115,141.75,LSL
strategy1,BUY,140.864,144.84,7042,20190415,1215,142.0,20190418,945,140.65,LSL
strategy1,BUY,133.72160000000002,137.496,7418,20190424,1415,134.8,20190426,945,133.1,LSL
strategy1,BUY,126.728,130.305,7827,20190503,1415,127.75,20190506,915,126.5,LSL
strategy1,BUY,120.1808,123.57300000000001,8254,20190510,1015,121.15,20190510,1345,120.05,LSL
strategy1,BUY,117.9488,121.278,8410,20190516,1515,118.9,20190517,915,117.65,LSL
strategy1,BUY,118.8416,122.196,8347,20190517,1145,119.8,20190517,1245,118.1,LSL
strategy1,BUY,154.70239999999998,159.069,6412,20190522,945,155.95,20190522,1115,154.15,LSL
strategy1,BUY,154.9504,159.32399999999998,6402,20190522,1215,156.2,20190523,915,166.2,LT
strategy1,BUY,157.0336,161.466,6317,20190527,1015,158.3,20190527,1245,156.75,LSL
strategy1,BUY,157.1824,161.619,6311,20190528,945,158.45,20190528,1245,156.65,LSL
strategy1,BUY,155.6448,160.038,6373,20190530,1045,156.9,20190531,1115,155.25,LSL
strategy1,BUY,153.5616,157.89600000000002,6459,20190603,1215,154.8,20190603,1415,158.2,LT
strategy1,BUY,155.6448,160.038,6373,20190604,1345,156.9,20190606,945,153.85,LSL
strategy1,BUY,150.48639999999997,154.73399999999998,6591,20190611,1115,151.7,20190611,1245,150.4,LSL
strategy1,BUY,151.28,155.55,6557,20190611,1315,152.5,20190612,1015,157.95,LT
strategy1,BUY,152.768,157.08,6493,20190614,1045,154.0,20190614,1515,152.5,LSL
strategy1,BUY,146.6176,150.756,6765,20190620,1445,147.8,20190621,1115,151.3,LT
strategy1,BUY,146.816,150.96,6756,20190624,1015,148.0,20190624,1115,145.6,LSL
strategy1,BUY,146.51839999999999,150.654,6770,20190624,1515,147.7,20190625,915,146.0,LSL
strategy1,BUY,146.9648,151.113,6749,20190625,1345,148.15,20190626,1315,151.3,LT
strategy1,BUY,150.48639999999997,154.73399999999998,6591,20190626,1445,151.7,20190628,945,155.1,LT
strategy1,BUY,153.8592,158.202,6447,20190628,1045,155.1,20190628,1415,152.6,LSL
strategy1,BUY,153.1648,157.488,6476,20190701,1515,154.4,20190702,1045,153.05,LSL
strategy1,BUY,153.5616,157.89600000000002,6459,20190702,1515,154.8,20190704,915,158.8,LT
strategy1,BUY,156.6368,161.058,6333,20190704,1145,157.9,20190704,1415,154.8,LSL
strategy1,BUY,138.58239999999998,142.494,7158,20190711,1345,139.7,20190712,1345,143.3,LT
strategy1,BUY,137.888,141.78,7194,20190716,1045,139.0,20190717,1315,137.35,LSL
strategy1,BUY,132.7792,136.527,7471,20190722,1115,133.85,20190722,1215,131.8,LSL
strategy1,BUY,132.3824,136.119,7493,20190723,945,133.45,20190724,945,131.5,LSL
strategy1,BUY,130.6464,134.33399999999997,7593,20190726,1045,131.7,20190729,945,128.95,LSL
strategy1,BUY,128.76160000000002,132.39600000000002,7704,20190730,945,129.8,20190730,1015,128.65,LSL
strategy1,BUY,127.67039999999999,131.274,7770,20190731,1315,128.7,20190801,915,127.6,LSL
strategy1,BUY,124.992,128.52,7936,20190802,1115,126.0,20190802,1345,129.55,LT
strategy1,BUY,124.9424,128.469,7939,20190806,1145,125.95,20190806,1315,128.75,LT
strategy1,BUY,125.7856,129.33599999999998,7886,20190808,1445,126.8,20190808,1515,130.1,LT
strategy1,BUY,132.5808,136.323,7482,20190813,1045,133.65,20190813,1115,132.3,LSL
strategy1,BUY,130.448,134.13,7604,20190816,1145,131.5,20190819,1245,134.35,LT
strategy1,BUY,134.86239999999998,138.66899999999998,7355,20190819,1515,135.95,20190820,945,133.1,LSL
strategy1,BUY,134.5152,138.31199999999998,7374,20190820,1345,135.6,20190820,1545,134.35,LSL
strategy1,BUY,130.74560000000002,134.436,7587,20190823,1515,131.8,20190826,945,129.65,LSL
strategy1,BUY,131.8368,135.558,7524,20190826,1215,132.9,20190827,1015,136.5,LT
strategy1,BUY,135.8544,139.689,7301,20190827,1515,136.95,20190828,915,135.85,LSL
strategy1,BUY,134.168,137.955,7393,20190830,1245,135.25,20190903,1545,133.25,LSL
strategy1,BUY,135.8544,139.689,7301,20190905,1015,136.95,20190905,1115,134.65,LSL
strategy1,BUY,134.5152,138.31199999999998,7374,20190905,1515,135.6,20190909,1015,138.8,LT
strategy1,BUY,138.92960000000002,142.851,7140,20190909,1215,140.05,20190911,1445,143.0,LT
strategy1,BUY,142.64960000000002,146.67600000000002,6954,20190911,1515,143.8,20190912,1115,142.3,LSL
strategy1,BUY,142.8976,146.931,6942,20190913,1345,144.05,20190918,945,142.8,LSL
strategy1,BUY,142.20319999999998,146.21699999999998,6975,20190920,1045,143.35,20190920,1115,148.0,LT
strategy1,BUY,149.44480000000001,153.663,6637,20190923,1315,150.65,20190924,1215,148.5,LSL
strategy1,BUY,149.8912,154.12199999999999,6618,20190926,1015,151.1,20190926,1345,154.15,LT
strategy1,BUY,152.768,157.08,6493,20190926,1445,154.0,20190926,1545,151.9,LSL
strategy1,BUY,143.69119999999998,147.74699999999999,6903,20191003,1215,144.85,20191003,1245,143.35,LSL
strategy1,BUY,137.144,141.015,7233,20191009,1445,138.25,20191010,945,136.6,LSL
strategy1,BUY,137.3424,141.219,7222,20191011,945,138.45,20191011,1045,136.25,LSL
strategy1,BUY,149.1968,153.40800000000002,6648,20191015,1045,150.4,20191015,1315,154.7,LT
strategy1,BUY,153.512,157.845,6462,20191015,1515,154.75,20191016,1245,158.5,LT
strategy1,BUY,157.6288,162.078,6293,20191016,1345,158.9,20191017,1415,162.9,LT
strategy1,BUY,161.696,166.26,6134,20191017,1515,163.0,20191018,915,169.1,LT
