strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,384.49920000000003,395.35200000000003,2579,20190102,1015,387.6,20190102.0,1245.0,381.8,LSL
strategy1,BUY,377.7536,388.416,2626,20190104,1145,380.8,20190108.0,1145.0,376.0,LSL
strategy1,BUY,376.6624,387.294,2633,20190110,1045,379.7,20190111.0,1145.0,376.55,LSL
strategy1,BUY,374.7776,385.356,2646,20190115,945,377.8,20190116.0,915.0,385.5,LT
strategy1,BUY,380.2336,390.966,2608,20190116,1245,383.3,20190117.0,1245.0,391.4,LT
strategy1,BUY,389.26079999999996,400.248,2548,20190117,1415,392.4,20190121.0,1015.0,400.4,LT
strategy1,BUY,395.312,406.47,2509,20190121,1145,398.5,20190121.0,1345.0,392.3,LSL
strategy1,BUY,344.8192,354.552,2876,20190129,1515,347.6,20190130.0,945.0,344.55,LSL
strategy1,BUY,336.9824,346.49399999999997,2943,20190201,1115,339.7,20190201.0,1445.0,336.3,LSL
strategy1,BUY,337.3792,346.90200000000004,2940,20190205,1515,340.1,20190206.0,945.0,336.55,LSL
strategy1,BUY,331.17920000000004,340.52700000000004,2995,20190207,1445,333.85,20190208.0,915.0,330.9,LSL
strategy1,BUY,329.84,339.15,3007,20190213,945,332.5,20190213.0,1045.0,341.1,LT
strategy1,BUY,341.4464,351.084,2905,20190213,1315,344.2,20190215.0,1015.0,351.9,LT
strategy1,BUY,347.9936,357.81600000000003,2850,20190215,1245,350.8,20190218.0,1345.0,347.85,LSL
strategy1,BUY,344.52160000000003,354.24600000000004,2879,20190220,1145,347.3,20190220.0,1445.0,354.95,LT
strategy1,BUY,353.9456,363.93600000000004,2802,20190221,945,356.8,20190221.0,1015.0,353.9,LSL
strategy1,BUY,353.54879999999997,363.52799999999996,2805,20190221,1415,356.4,20190222.0,1345.0,352.75,LSL
strategy1,BUY,324.1856,333.336,3059,20190228,1245,326.8,20190301.0,1045.0,333.85,LT
strategy1,BUY,331.328,340.68,2994,20190301,1215,334.0,20190306.0,915.0,343.3,LT
strategy1,BUY,338.56960000000004,348.12600000000003,2929,20190307,1215,341.3,20190311.0,1015.0,348.45,LT
strategy1,BUY,345.5632,355.317,2870,20190311,1215,348.35,20190312.0,1015.0,355.65,LT
strategy1,BUY,356.376,366.435,2783,20190312,1115,359.25,20190314.0,1545.0,366.8,LT
strategy1,BUY,364.4112,374.697,2722,20190315,945,367.35,20190315.0,1115.0,363.35,LSL
strategy1,BUY,370.512,380.97,2677,20190318,945,373.5,20190318.0,1145.0,370.5,LSL
strategy1,BUY,357.0704,367.149,2778,20190325,1415,359.95,20190326.0,1315.0,367.2,LT
strategy1,BUY,364.9568,375.258,2718,20190326,1345,367.9,20190328.0,1045.0,376.4,LT
strategy1,BUY,375.0256,385.611,2645,20190328,1245,378.05,20190405.0,1215.0,386.25,LT
strategy1,BUY,385.2432,396.117,2574,20190405,1315,388.35,20190408.0,945.0,381.5,LSL
strategy1,BUY,376.8608,387.498,2632,20190410,945,379.9,20190415.0,1545.0,387.5,LT
strategy1,BUY,386.6816,397.596,2565,20190416,1115,389.8,20190422.0,915.0,386.15,LSL
strategy1,BUY,388.368,399.33,2554,20190423,1345,391.5,20190424.0,1015.0,387.85,LSL
strategy1,BUY,387.57439999999997,398.514,2559,20190425,945,390.7,20190426.0,915.0,387.3,LSL
strategy1,BUY,390.0048,401.013,2543,20190426,1415,393.15,20190430.0,1015.0,386.9,LSL
strategy1,BUY,389.6576,400.656,2545,20190430,1515,392.8,20190503.0,1515.0,387.4,LSL
strategy1,BUY,364.21279999999996,374.493,2723,20190510,1015,367.15,20190510.0,1215.0,376.5,LT
strategy1,BUY,371.3552,381.83700000000005,2671,20190510,1415,374.35,20190510.0,1545.0,370.45,LSL
strategy1,BUY,369.024,379.44,2688,20190514,1315,372.0,20190515.0,1215.0,368.75,LSL
strategy1,BUY,365.8992,376.22700000000003,2711,20190516,1345,368.85,20190517.0,1015.0,365.5,LSL
strategy1,BUY,395.7088,406.878,2506,20190520,1515,398.9,20190520.0,1545.0,407.45,LT
strategy1,BUY,413.8624,425.544,2396,20190523,1245,417.2,20190523.0,1345.0,412.05,LSL
strategy1,BUY,406.7696,418.25100000000003,2438,20190524,1515,410.05,20190528.0,945.0,419.0,LT
strategy1,BUY,403.54560000000004,414.93600000000004,2458,20190530,1215,406.8,20190531.0,1015.0,416.65,LT
strategy1,BUY,413.06879999999995,424.72799999999995,2401,20190531,1515,416.4,20190604.0,1345.0,425.85,LT
strategy1,BUY,422.0464,433.959,2350,20190604,1515,425.45,20190607.0,1115.0,420.65,LSL
strategy1,BUY,421.50079999999997,433.39799999999997,2353,20190607,1445,424.9,20190618.0,1115.0,420.3,LSL
strategy1,BUY,400.4704,411.774,2477,20190621,1245,403.7,20190624.0,945.0,400.4,LSL
strategy1,BUY,402.1568,413.508,2466,20190624,1045,405.4,20190626.0,1215.0,416.7,LT
strategy1,BUY,412.7216,424.37100000000004,2403,20190626,1345,416.05,20190627.0,945.0,412.0,LSL
strategy1,BUY,408.952,420.495,2425,20190628,1345,412.25,20190705.0,1415.0,406.25,LSL
strategy1,BUY,400.024,411.315,2479,20190709,1445,403.25,20190711.0,1345.0,411.4,LT
strategy1,BUY,409.84479999999996,421.41299999999995,2420,20190711,1445,413.15,20190715.0,1515.0,408.8,LSL
strategy1,BUY,410.2416,421.821,2418,20190716,1245,413.55,20190719.0,1315.0,408.8,LSL
strategy1,BUY,403.744,415.14,2457,20190722,1415,407.0,20190723.0,945.0,401.15,LSL
strategy1,BUY,379.3408,390.048,2615,20190726,1245,382.4,20190729.0,1015.0,377.25,LSL
strategy1,BUY,373.9344,384.489,2652,20190731,1115,376.95,20190801.0,1015.0,372.6,LSL
strategy1,BUY,371.05760000000004,381.531,2673,20190802,1215,374.05,20190805.0,915.0,368.7,LSL
strategy1,BUY,367.3376,377.706,2700,20190806,945,370.3,20190808.0,915.0,378.75,LT
strategy1,BUY,369.2224,379.644,2686,20190808,1445,372.2,20190809.0,1315.0,379.8,LT
strategy1,BUY,374.8272,385.40700000000004,2646,20190809,1515,377.85,20190813.0,915.0,374.55,LSL
strategy1,BUY,357.8144,367.914,2772,20190819,1115,360.7,20190819.0,1445.0,357.2,LSL
strategy1,BUY,346.8528,356.643,2860,20190823,1045,349.65,20190826.0,915.0,358.85,LT
strategy1,BUY,355.6816,365.721,2789,20190826,1115,358.55,20190826.0,1315.0,367.5,LT
