strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1924.4304,1978.749,515,20190101,1045,1939.95,20190109.0,1315.0,1989.0,LT
strategy1,BUY,1959.6464,2014.959,506,20190110,1215,1975.45,20190110.0,1445.0,1956.35,LSL
strategy1,BUY,1922.496,1976.76,515,20190115,1145,1938.0,20190115.0,1445.0,1913.0,LSL
strategy1,BUY,1886.784,1940.04,525,20190117,1445,1902.0,20190118.0,945.0,1883.05,LSL
strategy1,BUY,1920.264,1974.465,516,20190118,1215,1935.75,20190118.0,1315.0,1905.0,LSL
strategy1,BUY,1908.1616,1962.021,519,20190118,1415,1923.55,20190118.0,1515.0,1895.7,LSL
strategy1,BUY,1889.3632,1942.692,525,20190121,1515,1904.6,20190122.0,1445.0,1882.1,LSL
strategy1,BUY,1884.8,1938.0,526,20190123,1045,1900.0,20190123.0,1515.0,1874.75,LSL
strategy1,BUY,1886.6848,1939.938,525,20190124,1015,1901.9,20190125.0,1145.0,1882.1,LSL
strategy1,BUY,1874.8304,1927.749,529,20190129,945,1889.95,20190129.0,1315.0,1871.15,LSL
strategy1,BUY,1880.6832,1933.7669999999998,527,20190129,1415,1895.85,20190130.0,1045.0,1878.9,LSL
strategy1,BUY,1872.5984,1925.454,529,20190131,1145,1887.7,20190211.0,915.0,1870.85,LSL
strategy1,BUY,1890.0575999999999,1943.406,524,20190211,1015,1905.3,20190211.0,1115.0,1890.05,LSL
strategy1,BUY,1817.6912,1868.9969999999998,545,20190214,1145,1832.35,20190214.0,1315.0,1817.15,LSL
strategy1,BUY,1815.4592,1866.702,546,20190218,945,1830.1,20190221.0,915.0,1799.1,LSL
strategy1,BUY,1749.888,1799.28,566,20190301,1115,1764.0,20190305.0,1515.0,1749.2,LSL
strategy1,BUY,1736.0,1785.0,571,20190307,1215,1750.0,20190312.0,1545.0,1732.0,LSL
strategy1,BUY,1734.76,1783.725,571,20190313,1145,1748.75,20190313.0,1545.0,1733.0,LSL
strategy1,BUY,1738.976,1788.06,570,20190315,945,1753.0,20190315.0,1545.0,1730.0,LSL
strategy1,BUY,1752.616,1802.085,566,20190318,1045,1766.75,20190319.0,1045.0,1812.0,LT
strategy1,BUY,1714.424,1762.815,578,20190326,1415,1728.25,20190326.0,1515.0,1774.65,LT
strategy1,BUY,1757.7248000000002,1807.3380000000002,564,20190327,1245,1771.9,20190327.0,1415.0,1750.05,LSL
strategy1,BUY,1743.936,1793.16,568,20190329,1515,1758.0,20190402.0,1045.0,1740.0,LSL
