strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,215.016,221.085,4613,20190104,1515,216.75,20190109.0,1345.0,213.8,LSL
strategy1,BUY,211.544,217.515,4689,20190111,1515,213.25,20190116.0,945.0,218.75,LT
strategy1,BUY,218.24,224.4,4545,20190116,1015,220.0,20190116.0,1115.0,216.8,LSL
strategy1,BUY,215.264,221.34,4608,20190116,1515,217.0,20190117.0,1245.0,215.1,LSL
strategy1,BUY,211.8416,217.821,4682,20190122,1415,213.55,20190124.0,945.0,211.55,LSL
strategy1,BUY,202.616,208.335,4895,20190129,1215,204.25,20190129.0,1315.0,202.1,LSL
strategy1,BUY,201.02880000000002,206.703,4934,20190130,1415,202.65,20190131.0,1045.0,207.2,LT
strategy1,BUY,207.328,213.18,4784,20190131,1315,209.0,20190201.0,945.0,213.55,LT
strategy1,BUY,212.48639999999997,218.48399999999998,4668,20190201,1145,214.2,20190201.0,1345.0,211.8,LSL
strategy1,BUY,211.048,217.005,4700,20190205,945,212.75,20190205.0,1415.0,206.7,LSL
strategy1,BUY,211.296,217.26,4694,20190206,1345,213.0,20190207.0,1045.0,217.9,LT
strategy1,BUY,216.1072,222.207,4590,20190207,1145,217.85,20190207.0,1345.0,215.15,LSL
strategy1,BUY,215.1152,221.18699999999998,4611,20190208,945,216.85,20190208.0,1045.0,213.75,LSL
strategy1,BUY,203.7072,209.457,4869,20190215,1515,205.35,20190218.0,915.0,202.55,LSL
strategy1,BUY,198.152,203.745,5006,20190219,1515,199.75,20190220.0,1215.0,204.05,LT
strategy1,BUY,202.9632,208.692,4887,20190220,1245,204.6,20190221.0,1145.0,209.2,LT
strategy1,BUY,207.77439999999999,213.63899999999998,4774,20190221,1245,209.45,20190227.0,945.0,215.0,LT
strategy1,BUY,213.4784,219.504,4646,20190301,945,215.2,20190305.0,945.0,220.0,LT
strategy1,BUY,219.2816,225.471,4523,20190305,1315,221.05,20190306.0,945.0,225.55,LT
strategy1,BUY,221.8608,228.12300000000002,4471,20190308,1145,223.65,20190311.0,1015.0,228.2,LT
strategy1,BUY,227.3168,233.733,4363,20190311,1045,229.15,20190312.0,915.0,234.85,LT
strategy1,BUY,233.2192,239.802,4253,20190312,1015,235.1,20190312.0,1515.0,232.95,LSL
strategy1,BUY,233.51680000000002,240.108,4248,20190313,945,235.4,20190313.0,1015.0,232.45,LSL
strategy1,BUY,225.8288,232.203,4392,20190315,1045,227.65,20190315.0,1215.0,224.8,LSL
strategy1,BUY,226.5232,232.917,4379,20190318,945,228.35,20190318.0,1145.0,226.4,LSL
strategy1,BUY,224.936,231.285,4410,20190318,1515,226.75,20190322.0,945.0,232.35,LT
strategy1,BUY,229.4496,235.92600000000002,4323,20190325,1415,231.3,20190325.0,1445.0,229.2,LSL
strategy1,BUY,229.79680000000002,236.28300000000002,4316,20190326,945,231.65,20190326.0,1045.0,229.2,LSL
strategy1,BUY,230.0448,236.538,4312,20190326,1515,231.9,20190327.0,945.0,236.85,LT
strategy1,BUY,232.128,238.68,4273,20190329,1445,234.0,20190401.0,915.0,239.9,LT
strategy1,BUY,225.5808,231.948,4397,20190408,1045,227.4,20190408.0,1515.0,225.05,LSL
strategy1,BUY,226.1264,232.509,4386,20190409,1515,227.95,20190410.0,1045.0,225.75,LSL
strategy1,BUY,223.29919999999998,229.602,4442,20190411,1145,225.1,20190412.0,1315.0,230.65,LT
strategy1,BUY,228.656,235.11,4338,20190412,1445,230.5,20190415.0,945.0,228.0,LSL
