strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,115.01248,118.2588,8625,20190101,1415,115.94,20190102.0,1045.0,119.1,LT
strategy1,BUY,120.2304,123.62400000000001,8250,20190102,1415,121.2,20190102.0,1545.0,119.2,LSL
strategy1,BUY,112.70112,115.8822,8802,20190116,1215,113.61,20190117.0,1015.0,112.67,LSL
strategy1,BUY,114.58592,117.8202,8657,20190118,1015,115.51,20190118.0,1515.0,119.5,LT
strategy1,BUY,117.26432,120.57419999999999,8459,20190121,1045,118.21,20190121.0,1115.0,117.21,LSL
strategy1,BUY,111.80832,114.96419999999999,8872,20190123,1215,112.71,20190124.0,1015.0,111.47,LSL
strategy1,BUY,113.15744,116.3514,8766,20190125,945,114.07,20190125.0,1045.0,112.3,LSL
strategy1,BUY,108.3264,111.384,9157,20190129,1515,109.2,20190130.0,1515.0,111.4,LT
strategy1,BUY,110.608,113.73,8968,20190131,945,111.5,20190131.0,1015.0,110.0,LSL
strategy1,BUY,111.70912,114.8622,8880,20190201,1015,112.61,20190204.0,945.0,111.45,LSL
strategy1,BUY,112.2944,115.464,8833,20190204,1445,113.2,20190206.0,1115.0,111.55,LSL
strategy1,BUY,109.8144,112.914,9033,20190207,1445,110.7,20190208.0,1015.0,109.0,LSL
strategy1,BUY,108.624,111.69,9132,20190212,1015,109.5,20190212.0,1315.0,108.56,LSL
strategy1,BUY,113.088,116.28,8771,20190221,1415,114.0,20190222.0,945.0,117.0,LT
strategy1,BUY,116.2624,119.544,8532,20190222,1215,117.2,20190222.0,1515.0,116.07,LSL
strategy1,BUY,117.552,120.87,8438,20190225,1045,118.5,20190225.0,1515.0,117.12,LSL
strategy1,BUY,117.38336,120.6966,8450,20190227,945,118.33,20190227.0,1145.0,116.71,LSL
strategy1,BUY,116.94688000000001,120.2478,8482,20190228,1315,117.89,20190228.0,1515.0,120.4,LT
strategy1,BUY,124.2976,127.806,7980,20190301,1345,125.3,20190301.0,1515.0,133.0,LT
strategy1,BUY,138.49312,142.40220000000002,7162,20190307,1315,139.61,20190308.0,915.0,143.0,LT
strategy1,BUY,138.48319999999998,142.392,7163,20190311,1045,139.6,20190312.0,915.0,138.01,LSL
strategy1,BUY,138.88,142.8,7142,20190312,1015,140.0,20190312.0,1045.0,138.76,LSL
strategy1,BUY,138.0864,141.98399999999998,7183,20190313,1445,139.2,20190314.0,1515.0,137.0,LSL
strategy1,BUY,138.93952000000002,142.8612,7139,20190318,1345,140.06,20190318.0,1445.0,138.52,LSL
strategy1,BUY,138.88,142.8,7142,20190319,1015,140.0,20190319.0,1245.0,138.64,LSL
strategy1,BUY,140.10016,144.0546,7080,20190320,1045,141.23,20190322.0,1345.0,140.0,LSL
strategy1,BUY,140.71519999999998,144.68699999999998,7049,20190325,1045,141.85,20190326.0,945.0,140.47,LSL
strategy1,BUY,140.62591999999998,144.59519999999998,7054,20190327,1145,141.76,20190327.0,1415.0,140.5,LSL
strategy1,BUY,141.0624,145.04399999999998,7032,20190327,1445,142.2,20190328.0,1015.0,145.44,LT
strategy1,BUY,144.81215999999998,148.8996,6850,20190328,1115,145.98,20190328.0,1445.0,143.56,LSL
strategy1,BUY,145.824,149.94,6802,20190401,945,147.0,20190401.0,1045.0,150.5,LT
strategy1,BUY,149.08768,153.29579999999999,6653,20190402,1015,150.29,20190402.0,1415.0,148.82,LSL
strategy1,BUY,148.33376,152.5206,6687,20190405,1515,149.53,20190408.0,1445.0,147.99,LSL
strategy1,BUY,149.48448,153.7038,6636,20190410,945,150.69,20190410.0,1215.0,148.99,LSL
