strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1254.6816,1290.096,790,20190101,1045,1264.8,20190104.0,1515.0,1293.65,LT
strategy1,BUY,1279.5808000000002,1315.698,775,20190107,1045,1289.9,20190107.0,1545.0,1278.95,LSL
strategy1,BUY,1253.144,1288.515,791,20190109,1315,1263.25,20190111.0,1415.0,1291.3,LT
strategy1,BUY,1284.1936,1320.441,772,20190111,1515,1294.55,20190114.0,1315.0,1321.35,LT
strategy1,BUY,1313.408,1350.48,755,20190114,1415,1324.0,20190116.0,1045.0,1350.6,LT
strategy1,BUY,1338.4064,1376.184,741,20190116,1245,1349.2,20190121.0,945.0,1376.55,LT
strategy1,BUY,1365.736,1404.285,726,20190121,1215,1376.75,20190121.0,1345.0,1365.0,LSL
strategy1,BUY,1297.8832,1334.5169999999998,764,20190124,1115,1308.35,20190124.0,1315.0,1335.0,LT
strategy1,BUY,1320.7984000000001,1358.079,751,20190124,1445,1331.45,20190124.0,1515.0,1314.55,LSL
strategy1,BUY,1269.9088000000002,1305.7530000000002,781,20190129,1045,1280.15,20190130.0,915.0,1306.0,LT
strategy1,BUY,1295.4528,1332.018,765,20190130,1015,1305.9,20190201.0,1045.0,1355.35,LT
strategy1,BUY,1288.1616,1324.521,770,20190206,1045,1298.55,20190208.0,945.0,1274.3,LSL
strategy1,BUY,1140.2544,1172.439,869,20190213,1515,1149.45,20190214.0,1115.0,1137.8,LSL
strategy1,BUY,1134.7984000000001,1166.829,874,20190215,1415,1143.95,20190218.0,915.0,1134.75,LSL
strategy1,BUY,1124.6304,1156.374,882,20190219,945,1133.7,20190219.0,1445.0,1117.4,LSL
strategy1,BUY,1128.4496,1160.301,879,20190220,1015,1137.55,20190220.0,1415.0,1127.7,LSL
strategy1,BUY,1127.904,1159.74,879,20190221,945,1137.0,20190225.0,1045.0,1162.75,LT
strategy1,BUY,1151.5136,1184.0159999999998,861,20190225,1245,1160.8,20190225.0,1445.0,1197.7,LT
strategy1,BUY,1170.064,1203.09,847,20190227,945,1179.5,20190227.0,1145.0,1159.65,LSL
strategy1,BUY,1138.5184000000002,1170.654,871,20190301,1015,1147.7,20190305.0,1115.0,1171.8,LT
strategy1,BUY,1175.9168000000002,1209.1080000000002,843,20190305,1345,1185.4,20190308.0,945.0,1171.85,LSL
