strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,228.2592,234.702,4345,20190104,1145,230.1,20190108.0,1445.0,228.25,LSL
strategy1,BUY,224.48960000000002,230.82600000000002,4418,20190110,1145,226.3,20190114.0,945.0,223.65,LSL
strategy1,BUY,222.3568,228.633,4461,20190115,1115,224.15,20190116.0,915.0,221.7,LSL
strategy1,BUY,216.752,222.87,4576,20190122,1345,218.5,20190124.0,1145.0,216.45,LSL
strategy1,BUY,202.2192,207.927,4905,20190131,1445,203.85,20190201.0,1245.0,207.95,LT
strategy1,BUY,208.6176,214.506,4755,20190201,1315,210.3,20190201.0,1345.0,207.5,LSL
strategy1,BUY,206.584,212.415,4801,20190201,1515,208.25,20190204.0,945.0,202.75,LSL
strategy1,BUY,199.4912,205.12199999999999,4972,20190207,945,201.1,20190207.0,1045.0,205.7,LT
strategy1,BUY,204.9968,210.78300000000002,4839,20190207,1345,206.65,20190208.0,1415.0,204.35,LSL
strategy1,BUY,202.4672,208.182,4899,20190212,1015,204.1,20190212.0,1145.0,201.9,LSL
strategy1,BUY,200.9792,206.652,4935,20190213,1145,202.6,20190213.0,1415.0,200.95,LSL
strategy1,BUY,201.376,207.06,4926,20190214,1415,203.0,20190215.0,945.0,199.95,LSL
strategy1,BUY,199.83839999999998,205.47899999999998,4964,20190218,1045,201.45,20190219.0,1015.0,207.85,LT
strategy1,BUY,205.79039999999998,211.599,4820,20190219,1245,207.45,20190219.0,1415.0,205.2,LSL
strategy1,BUY,205.7408,211.548,4821,20190220,945,207.4,20190225.0,945.0,211.85,LT
strategy1,BUY,211.8912,217.87199999999999,4681,20190225,1045,213.6,20190225.0,1245.0,210.75,LSL
strategy1,BUY,212.18880000000001,218.178,4675,20190227,1245,213.9,20190301.0,915.0,218.3,LT
strategy1,BUY,216.6528,222.768,4578,20190301,945,218.4,20190305.0,1445.0,223.0,LT
strategy1,BUY,214.47039999999998,220.524,4625,20190311,1045,216.2,20190312.0,945.0,222.0,LT
strategy1,BUY,220.72,226.95,4494,20190312,1145,222.5,20190312.0,1515.0,226.95,LT
strategy1,BUY,228.5568,235.008,4340,20190313,1115,230.4,20190313.0,1315.0,227.75,LSL
strategy1,BUY,222.25760000000002,228.531,4463,20190315,1245,224.05,20190315.0,1515.0,222.25,LSL
strategy1,BUY,217.7936,223.941,4554,20190319,1445,219.55,20190322.0,1415.0,217.4,LSL
strategy1,BUY,211.49439999999998,217.464,4690,20190326,1445,213.2,20190328.0,1515.0,217.5,LT
strategy1,BUY,218.5872,224.757,4538,20190329,1015,220.35,20190401.0,945.0,224.85,LT
strategy1,BUY,223.2,229.5,4444,20190401,1045,225.0,20190401.0,1345.0,222.2,LSL
strategy1,BUY,223.1008,229.398,4446,20190402,1345,224.9,20190402.0,1415.0,222.9,LSL
strategy1,BUY,222.0096,228.276,4468,20190403,1015,223.8,20190403.0,1415.0,221.9,LSL
strategy1,BUY,221.216,227.46,4484,20190404,1515,223.0,20190408.0,1145.0,221.2,LSL
