strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,93.496,96.135,10610,20190109,945,94.25,20190114.0,1145.0,92.85,LSL
strategy1,BUY,93.3472,95.982,10626,20190115,945,94.1,20190115.0,1345.0,93.3,LSL
strategy1,BUY,93.1984,95.82900000000001,10643,20190116,1145,93.95,20190117.0,1315.0,93.1,LSL
strategy1,BUY,87.94080000000001,90.423,11280,20190123,1115,88.65,20190124.0,1045.0,87.9,LSL
strategy1,BUY,82.584,84.915,12012,20190128,1445,83.25,20190129.0,945.0,82.05,LSL
strategy1,BUY,82.93119999999999,85.27199999999999,11961,20190129,1215,83.6,20190129.0,1245.0,82.75,LSL
strategy1,BUY,81.1456,83.43599999999999,12224,20190131,1315,81.8,20190131.0,1445.0,81.1,LSL
strategy1,BUY,84.6176,87.006,11723,20190201,1215,85.3,20190201.0,1415.0,84.6,LSL
strategy1,BUY,81.44319999999999,83.74199999999999,12180,20190206,1445,82.1,20190207.0,1015.0,84.45,LT
strategy1,BUY,80.64959999999999,82.926,12300,20190214,1415,81.3,20190214.0,1515.0,84.15,LT
strategy1,BUY,79.608,81.855,12461,20190219,1145,80.25,20190219.0,1515.0,79.2,LSL
strategy1,BUY,80.0544,82.31400000000001,12391,20190220,1115,80.7,20190222.0,1015.0,82.65,LT
strategy1,BUY,82.088,84.405,12084,20190222,1215,82.75,20190222.0,1515.0,81.8,LSL
strategy1,BUY,82.6336,84.966,12004,20190225,1315,83.3,20190226.0,915.0,81.45,LSL
strategy1,BUY,84.22080000000001,86.598,11778,20190227,945,84.9,20190227.0,1145.0,83.9,LSL
strategy1,BUY,84.27040000000001,86.649,11771,20190227,1515,84.95,20190228.0,1015.0,86.8,LT
strategy1,BUY,85.4608,87.873,11607,20190228,1245,86.15,20190305.0,1045.0,88.35,LT
strategy1,BUY,89.3296,91.851,11104,20190305,1415,90.05,20190306.0,945.0,92.05,LT
strategy1,BUY,90.61919999999999,93.17699999999999,10946,20190307,1345,91.35,20190308.0,915.0,90.2,LSL
strategy1,BUY,90.768,93.33,10928,20190311,945,91.5,20190311.0,1545.0,93.4,LT
strategy1,BUY,92.85119999999999,95.472,10683,20190313,1515,93.6,20190318.0,1015.0,92.5,LSL
strategy1,BUY,86.4032,88.842,11481,20190328,1015,87.1,20190328.0,1545.0,89.1,LT
strategy1,BUY,91.1648,93.738,10881,20190401,1115,91.9,20190401.0,1345.0,90.25,LSL
strategy1,BUY,87.1472,89.607,11383,20190405,1515,87.85,20190408.0,1515.0,87.0,LSL
strategy1,BUY,87.24640000000001,89.709,11370,20190409,1115,87.95,20190409.0,1315.0,90.05,LT
strategy1,BUY,91.3136,93.89099999999999,10863,20190410,1315,92.05,20190410.0,1345.0,90.8,LSL
strategy1,BUY,91.0656,93.636,10893,20190410,1445,91.8,20190411.0,1445.0,93.75,LT
strategy1,BUY,93.7936,96.441,10576,20190411,1515,94.55,20190412.0,1145.0,93.6,LSL
strategy1,BUY,93.6448,96.28800000000001,10593,20190412,1345,94.4,20190415.0,915.0,96.9,LT
strategy1,BUY,95.77759999999999,98.481,10357,20190415,1045,96.55,20190415.0,1445.0,95.3,LSL
strategy1,BUY,95.8768,98.58300000000001,10346,20190416,945,96.65,20190418.0,945.0,94.6,LSL
strategy1,BUY,91.36319999999999,93.942,10857,20190425,945,92.1,20190425.0,1245.0,91.2,LSL
strategy1,BUY,87.1472,89.607,11383,20190502,1015,87.85,20190502.0,1045.0,89.65,LT
strategy1,BUY,89.62719999999999,92.157,11068,20190502,1345,90.35,20190502.0,1515.0,89.5,LSL
strategy1,BUY,85.2624,87.669,11634,20190510,1015,85.95,20190513.0,945.0,85.1,LSL
strategy1,BUY,84.8656,87.261,11689,20190515,1015,85.55,20190515.0,1045.0,84.8,LSL
strategy1,BUY,82.0384,84.354,12091,20190516,1515,82.7,20190517.0,1545.0,84.6,LT
strategy1,BUY,88.68480000000001,91.188,11185,20190521,1115,89.4,20190521.0,1245.0,88.5,LSL
strategy1,BUY,88.4864,90.98400000000001,11210,20190521,1345,89.2,20190521.0,1445.0,88.35,LSL
strategy1,BUY,89.87519999999999,92.41199999999999,11037,20190523,1315,90.6,20190523.0,1445.0,89.75,LSL
strategy1,BUY,91.11519999999999,93.687,10887,20190528,945,91.85,20190528.0,1445.0,91.05,LSL
strategy1,BUY,89.5776,92.106,11074,20190530,1415,90.3,20190531.0,1045.0,89.25,LSL
strategy1,BUY,89.032,91.545,11142,20190603,1045,89.75,20190603.0,1215.0,91.55,LT
strategy1,BUY,90.96640000000001,93.534,10905,20190603,1415,91.7,20190606.0,1315.0,90.85,LSL
strategy1,BUY,90.17280000000001,92.718,11001,20190610,1515,90.9,20190612.0,1245.0,90.15,LSL
strategy1,BUY,87.7424,90.21900000000001,11305,20190614,1415,88.45,20190614.0,1515.0,87.55,LSL
strategy1,BUY,86.2544,88.68900000000001,11500,20190621,1015,86.95,20190621.0,1415.0,86.15,LSL
strategy1,BUY,85.9568,88.38300000000001,11540,20190625,1015,86.65,20190625.0,1115.0,85.4,LSL
strategy1,BUY,85.56,87.975,11594,20190626,1045,86.25,20190626.0,1215.0,85.45,LSL
strategy1,BUY,85.16319999999999,87.567,11648,20190626,1515,85.85,20190627.0,1115.0,87.65,LT
strategy1,BUY,86.7504,89.199,11435,20190627,1245,87.45,20190702.0,945.0,86.75,LSL
strategy1,BUY,86.8992,89.35199999999999,11415,20190702,1215,87.6,20190703.0,945.0,89.45,LT
strategy1,BUY,89.62719999999999,92.157,11068,20190703,1445,90.35,20190704.0,945.0,89.4,LSL
strategy1,BUY,83.576,85.935,11869,20190710,1315,84.25,20190711.0,1245.0,83.55,LSL
strategy1,BUY,84.4688,86.85300000000001,11743,20190711,1345,85.15,20190712.0,945.0,84.35,LSL
strategy1,BUY,84.6176,87.006,11723,20190715,1015,85.3,20190716.0,915.0,83.2,LSL
strategy1,BUY,85.5104,87.924,11600,20190716,1445,86.2,20190717.0,915.0,85.5,LSL
strategy1,BUY,79.4592,81.702,12484,20190722,1415,80.1,20190722.0,1445.0,79.3,LSL
strategy1,BUY,72.81280000000001,74.86800000000001,13623,20190726,945,73.4,20190729.0,945.0,71.9,LSL
strategy1,BUY,70.432,72.42,14084,20190801,945,71.0,20190801.0,1045.0,68.85,LSL
strategy1,BUY,64.38080000000001,66.19800000000001,15408,20190806,945,64.9,20190806.0,1015.0,64.15,LSL
strategy1,BUY,64.1824,65.994,15455,20190809,1215,64.7,20190809.0,1415.0,64.0,LSL
strategy1,BUY,62.6944,64.464,15822,20190814,1415,63.2,20190814.0,1515.0,62.6,LSL
strategy1,BUY,63.785599999999995,65.586,15552,20190819,945,64.3,20190820.0,945.0,63.6,LSL
