strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1361.3216,1399.7459999999999,728,20190102,1015,1372.3,20190107.0,1045.0,1402.7,LT
strategy1,BUY,1385.7744,1424.8890000000001,715,20190107,1415,1396.95,20190125.0,1215.0,1385.3,LSL
strategy1,BUY,1372.2831999999999,1411.0169999999998,722,20190129,945,1383.35,20190131.0,1345.0,1411.25,LT
strategy1,BUY,1403.6304,1443.249,706,20190131,1515,1414.95,20190201.0,1315.0,1469.65,LT
strategy1,BUY,1445.344,1486.14,686,20190205,1015,1457.0,20190211.0,945.0,1430.85,LSL
strategy1,BUY,1440.2848000000001,1480.938,688,20190212,1515,1451.9,20190213.0,1145.0,1439.8,LSL
strategy1,BUY,1380.0704,1419.0240000000001,718,20190219,945,1391.2,20190219.0,1445.0,1375.95,LSL
strategy1,BUY,1379.624,1418.565,719,20190220,1345,1390.75,20190227.0,945.0,1423.1,LT
strategy1,BUY,1397.9264,1437.384,709,20190228,1315,1409.2,20190301.0,1245.0,1396.1,LSL
strategy1,BUY,1388.2544,1427.439,714,20190305,1315,1399.45,20190308.0,915.0,1383.05,LSL
strategy1,BUY,1383.84,1422.9,716,20190311,1045,1395.0,20190312.0,915.0,1431.05,LT
strategy1,BUY,1429.3728,1469.718,694,20190314,1045,1440.9,20190322.0,945.0,1474.9,LT
strategy1,BUY,1460.224,1501.44,679,20190322,1515,1472.0,20190325.0,945.0,1456.55,LSL
strategy1,BUY,1469.9951999999998,1511.4869999999999,674,20190326,1045,1481.85,20190327.0,1145.0,1468.55,LSL
strategy1,BUY,1470.144,1511.64,674,20190328,1415,1482.0,20190402.0,1345.0,1513.85,LT
strategy1,BUY,1503.624,1546.065,659,20190402,1445,1515.75,20190403.0,1515.0,1497.0,LSL
strategy1,BUY,1505.856,1548.36,658,20190404,1345,1518.0,20190405.0,945.0,1503.35,LSL
strategy1,BUY,1425.8016,1466.046,695,20190412,945,1437.3,20190418.0,915.0,1470.6,LT
strategy1,BUY,1457.7936,1498.941,680,20190418,1045,1469.55,20190422.0,915.0,1451.4,LSL
strategy1,BUY,1444.352,1485.12,686,20190424,1015,1456.0,20190426.0,1115.0,1443.25,LSL
strategy1,BUY,1453.28,1494.3,682,20190430,1245,1465.0,20190502.0,1315.0,1452.5,LSL
strategy1,BUY,1374.912,1413.72,721,20190509,1045,1386.0,20190509.0,1315.0,1371.3,LSL
strategy1,BUY,1304.3808000000001,1341.198,760,20190517,945,1314.9,20190520.0,915.0,1348.0,LT
strategy1,BUY,1336.72,1374.45,742,20190520,1115,1347.5,20190520.0,1515.0,1376.0,LT
strategy1,BUY,1367.72,1406.325,725,20190521,1015,1378.75,20190521.0,1315.0,1367.05,LSL
strategy1,BUY,1359.04,1397.4,729,20190522,1445,1370.0,20190529.0,915.0,1354.4,LSL
strategy1,BUY,1362.016,1400.46,728,20190530,945,1373.0,20190531.0,945.0,1417.0,LT
strategy1,BUY,1443.3104,1484.049,687,20190603,1315,1454.95,20190604.0,945.0,1434.2,LSL
strategy1,BUY,1429.7695999999999,1470.126,693,20190606,1015,1441.3,20190606.0,1515.0,1429.65,LSL
strategy1,BUY,1422.1808,1462.323,697,20190610,945,1433.65,20190610.0,1315.0,1422.0,LSL
strategy1,BUY,1416.4271999999999,1456.407,700,20190611,1445,1427.85,20190614.0,1345.0,1415.65,LSL
strategy1,BUY,1382.2032,1421.2169999999999,717,20190619,1045,1393.35,20190619.0,1215.0,1377.5,LSL
strategy1,BUY,1381.8064,1420.809,717,20190620,1515,1392.95,20190621.0,915.0,1380.4,LSL
strategy1,BUY,1357.056,1395.36,730,20190626,1045,1368.0,20190628.0,1145.0,1354.3,LSL
strategy1,BUY,1355.9648000000002,1394.238,731,20190701,1115,1366.9,20190701.0,1515.0,1353.95,LSL
strategy1,BUY,1353.4848000000002,1391.688,732,20190703,945,1364.4,20190703.0,1445.0,1351.5,LSL
strategy1,BUY,1349.12,1387.2,735,20190704,1245,1360.0,20190708.0,945.0,1345.95,LSL
strategy1,BUY,1319.2112,1356.447,751,20190710,945,1329.85,20190710.0,1315.0,1313.75,LSL
strategy1,BUY,1320.352,1357.62,751,20190711,1045,1331.0,20190712.0,1515.0,1359.3,LT
strategy1,BUY,1351.5008,1389.6480000000001,733,20190715,1015,1362.4,20190715.0,1215.0,1349.95,LSL
strategy1,BUY,1345.152,1383.12,737,20190715,1445,1356.0,20190717.0,1015.0,1388.7,LT
strategy1,BUY,1373.92,1412.7,722,20190717,1215,1385.0,20190719.0,1145.0,1367.05,LSL
strategy1,BUY,1379.872,1418.82,718,20190722,1315,1391.0,20190723.0,1145.0,1421.5,LT
strategy1,BUY,1419.4528,1459.518,698,20190723,1215,1430.9,20190724.0,1045.0,1415.85,LSL
strategy1,BUY,1467.4656,1508.886,675,20190725,945,1479.3,20190726.0,1345.0,1517.15,LT
strategy1,BUY,1507.84,1550.4,657,20190726,1445,1520.0,20190730.0,1145.0,1505.8,LSL
strategy1,BUY,1513.048,1555.755,655,20190730,1345,1525.25,20190730.0,1445.0,1512.0,LSL
strategy1,BUY,1504.5168,1546.9830000000002,659,20190731,1445,1516.65,20190801.0,1215.0,1498.6,LSL
strategy1,BUY,1518.9504,1561.824,653,20190802,1115,1531.2,20190806.0,1415.0,1564.4,LT
strategy1,BUY,1555.456,1599.36,637,20190806,1515,1568.0,20190807.0,1045.0,1554.5,LSL
strategy1,BUY,1550.6944,1594.464,639,20190807,1315,1563.2,20190808.0,945.0,1547.8,LSL
strategy1,BUY,1555.3568,1599.258,637,20190808,1515,1567.9,20190819.0,945.0,1603.0,LT
strategy1,BUY,1585.1664,1629.909,625,20190820,1515,1597.95,20190821.0,915.0,1583.65,LSL
strategy1,BUY,1565.9216,1610.1209999999999,633,20190823,1345,1578.55,20190829.0,1515.0,1618.0,LT
strategy1,BUY,1521.0336,1563.966,652,20190906,1215,1533.3,20190912.0,915.0,1566.15,LT
strategy1,BUY,1534.624,1577.94,646,20190913,1515,1547.0,20190916.0,915.0,1511.0,LSL
strategy1,BUY,1523.712,1566.72,651,20190917,945,1536.0,20190920.0,1115.0,1624.1,LT
strategy1,BUY,1748.5984,1797.954,567,20190926,1145,1762.7,20190927.0,945.0,1746.05,LSL
strategy1,BUY,1748.2512,1797.597,567,20190927,1415,1762.35,20190930.0,915.0,1747.9,LSL
strategy1,BUY,1771.1168,1821.1080000000002,560,20191001,945,1785.4,20191001.0,1015.0,1771.1,LSL
strategy1,BUY,1767.1984,1817.079,561,20191001,1045,1781.45,20191001.0,1415.0,1762.75,LSL
strategy1,BUY,1732.4288000000001,1781.3280000000002,572,20191009,1045,1746.4,20191010.0,1015.0,1786.0,LT
strategy1,BUY,1764.7184,1814.529,562,20191010,1245,1778.95,20191015.0,945.0,1820.9,LT
strategy1,BUY,1800.8768,1851.708,550,20191015,1245,1815.4,20191016.0,945.0,1789.2,LSL
strategy1,BUY,1784.5088,1834.8780000000002,555,20191017,1315,1798.9,20191022.0,1515.0,1778.0,LSL
strategy1,BUY,1763.9248,1813.7130000000002,562,20191024,1415,1778.15,20191029.0,1345.0,1815.8,LT
strategy1,BUY,1810.4496,1861.551,547,20191030,1415,1825.05,20191031.0,1445.0,1807.55,LSL
strategy1,BUY,1773.2495999999999,1823.301,559,20191104,1515,1787.55,20191105.0,1145.0,1771.75,LSL
strategy1,BUY,1771.6624,1821.669,559,20191105,1445,1785.95,20191107.0,1445.0,1824.0,LT
strategy1,BUY,1779.8464000000001,1830.084,557,20191114,945,1794.2,20191114.0,1145.0,1771.0,LSL
strategy1,BUY,1762.784,1812.54,562,20191114,1445,1777.0,20191115.0,1515.0,1758.55,LSL
strategy1,BUY,1728.064,1776.84,574,20191120,1045,1742.0,20191120.0,1415.0,1724.5,LSL
strategy1,BUY,1682.928,1730.43,589,20191125,1245,1696.5,20191129.0,1115.0,1681.35,LSL
strategy1,BUY,1695.0304,1742.874,585,20191202,1115,1708.7,20191203.0,1245.0,1745.3,LT
strategy1,BUY,1716.0112,1764.447,578,20191205,1315,1729.85,20191205.0,1515.0,1715.0,LSL
strategy1,BUY,1727.0224,1775.769,574,20191206,1015,1740.95,20191206.0,1415.0,1723.0,LSL
strategy1,BUY,1711.0016,1759.296,579,20191209,1515,1724.8,20191210.0,1445.0,1710.95,LSL
strategy1,BUY,1717.648,1766.13,577,20191211,1215,1731.5,20191218.0,1415.0,1771.15,LT
strategy1,BUY,1762.0896,1811.826,562,20191218,1445,1776.3,20191223.0,1545.0,1814.0,LT
strategy1,BUY,1809.3088,1860.3780000000002,548,20191224,945,1823.9,20191224.0,1115.0,1808.0,LSL
strategy1,BUY,1798.2975999999999,1849.056,551,20191224,1145,1812.8,20191231.0,945.0,1791.4,LSL
strategy1,BUY,1779.648,1829.88,557,20200101,1215,1794.0,20200103.0,915.0,1773.2,LSL
strategy1,BUY,1716.16,1764.6,578,20200107,1145,1730.0,20200108.0,915.0,1704.25,LSL
strategy1,BUY,1714.3248,1762.7130000000002,578,20200108,1515,1728.15,20200109.0,915.0,1763.0,LT
strategy1,BUY,1735.008,1783.98,571,20200109,1115,1749.0,20200110.0,1245.0,1787.1,LT
strategy1,BUY,1774.5888,1824.678,559,20200110,1445,1788.9,20200115.0,1015.0,1829.0,LT
strategy1,BUY,1810.2015999999999,1861.296,548,20200115,1145,1824.8,20200121.0,1045.0,1808.35,LSL
