strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,510.2352,524.6370000000001,1944,20190102,1145,514.35,20190102.0,1345.0,506.34,LSL
strategy1,BUY,510.64191999999997,525.0552,1942,20190102,1445,514.76,20190103.0,1015.0,510.14,LSL
strategy1,BUY,510.75104,525.1674,1942,20190104,1015,514.87,20190104.0,1415.0,525.83,LT
strategy1,BUY,513.32032,527.8092,1932,20190108,1515,517.46,20190109.0,1015.0,533.66,LT
strategy1,BUY,534.9657599999999,550.0656,1854,20190110,945,539.28,20190110.0,1515.0,533.23,LSL
strategy1,BUY,511.14784,525.5754,1940,20190115,1115,515.27,20190115.0,1545.0,509.85,LSL
strategy1,BUY,473.184,486.54,2096,20190123,1115,477.0,20190124.0,1115.0,473.13,LSL
strategy1,BUY,476.30879999999996,489.753,2082,20190125,945,480.15,20190125.0,1345.0,470.7,LSL
strategy1,BUY,488.38144,502.1664,2031,20190129,1515,492.32,20190130.0,915.0,488.25,LSL
strategy1,BUY,502.64639999999997,516.834,1973,20190130,1345,506.7,20190130.0,1445.0,499.64,LSL
strategy1,BUY,504.68,518.925,1965,20190131,945,508.75,20190201.0,1445.0,504.45,LSL
strategy1,BUY,508.07264,522.4133999999999,1952,20190204,1415,512.17,20190204.0,1545.0,506.25,LSL
strategy1,BUY,509.43168,523.8108,1947,20190205,945,513.54,20190206.0,945.0,524.99,LT
strategy1,BUY,522.26816,537.0096,1899,20190207,1145,526.48,20190207.0,1315.0,520.67,LSL
strategy1,BUY,504.03520000000003,518.2620000000001,1968,20190211,1245,508.1,20190211.0,1315.0,521.08,LT
strategy1,BUY,508.67776,523.0355999999999,1950,20190211,1515,512.78,20190213.0,1015.0,525.33,LT
strategy1,BUY,523.80576,538.5906,1893,20190213,1145,528.03,20190213.0,1345.0,522.5,LSL
strategy1,BUY,510.68159999999995,525.096,1942,20190215,1515,514.8,20190218.0,915.0,510.3,LSL
strategy1,BUY,490.3456,504.18600000000004,2023,20190222,1345,494.3,20190226.0,945.0,489.06,LSL
strategy1,BUY,492.53792,506.4402,2014,20190227,1115,496.51,20190227.0,1245.0,489.96,LSL
strategy1,BUY,485.2864,498.984,2044,20190301,1045,489.2,20190305.0,1545.0,503.55,LT
strategy1,BUY,511.128,525.555,1940,20190306,1315,515.25,20190306.0,1545.0,525.6,LT
strategy1,BUY,535.68,550.8,1851,20190307,1245,540.0,20190311.0,1015.0,534.65,LSL
strategy1,BUY,535.9974400000001,551.1264000000001,1850,20190311,1445,540.32,20190312.0,945.0,561.06,LT
strategy1,BUY,560.58912,576.4122,1769,20190313,1215,565.11,20190313.0,1245.0,555.75,LSL
strategy1,BUY,505.73152,520.0062,1961,20190319,1315,509.81,20190319.0,1545.0,501.3,LSL
strategy1,BUY,505.01727999999997,519.2718,1964,20190320,1215,509.09,20190320.0,1315.0,503.1,LSL
strategy1,BUY,502.16031999999996,516.3342,1975,20190322,945,506.21,20190322.0,1445.0,518.04,LT
strategy1,BUY,501.32704,515.4774,1978,20190327,1445,505.37,20190327.0,1515.0,517.59,LT
strategy1,BUY,517.5065599999999,532.1135999999999,1916,20190328,1215,521.68,20190328.0,1445.0,513.9,LSL
strategy1,BUY,519.1632000000001,533.817,1910,20190329,1215,523.35,20190401.0,1045.0,536.49,LT
strategy1,BUY,536.41408,551.5548,1849,20190401,1315,540.74,20190402.0,1415.0,533.25,LSL
strategy1,BUY,529.4304000000001,544.374,1873,20190405,1145,533.7,20190405.0,1215.0,528.73,LSL
strategy1,BUY,527.71424,542.6094,1879,20190408,945,531.97,20190412.0,1415.0,542.75,LT
strategy1,BUY,542.69344,558.0114000000001,1827,20190412,1515,547.07,20190415.0,1445.0,542.32,LSL
strategy1,BUY,550.1632000000001,565.692,1803,20190418,1215,554.6,20190422.0,1445.0,547.9,LSL
strategy1,BUY,556.12512,571.8222000000001,1783,20190423,945,560.61,20190423.0,1245.0,553.03,LSL
strategy1,BUY,553.0895999999999,568.7009999999999,1793,20190424,1315,557.55,20190425.0,1015.0,548.6,LSL
strategy1,BUY,549.0521600000001,564.5496,1806,20190426,1215,553.48,20190426.0,1515.0,547.7,LSL
strategy1,BUY,549.7167999999999,565.233,1804,20190430,1345,554.15,20190502.0,1215.0,548.6,LSL
strategy1,BUY,533.37856,548.4336,1859,20190507,945,537.68,20190507.0,1515.0,523.15,LSL
strategy1,BUY,520.43296,535.1226,1906,20190510,1445,524.63,20190510.0,1515.0,519.82,LSL
strategy1,BUY,517.824,532.44,1915,20190513,1045,522.0,20190513.0,1315.0,532.49,LT
