strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,3466.9903999999997,3564.8489999999997,286,20190101,945,3494.95,20190101,1345,3458.15,LSL
strategy1,BUY,3456.9216,3554.496,286,20190102,1145,3484.8,20190102,1545,3452.05,LSL
strategy1,BUY,3454.144,3551.64,287,20190103,1015,3482.0,20190103,1215,3450.1,LSL
strategy1,BUY,3440.9503999999997,3538.0739999999996,288,20190104,1245,3468.7,20190108,915,3435.05,LSL
strategy1,BUY,3430.336,3527.16,289,20190109,1515,3458.0,20190114,1545,3425.0,LSL
strategy1,BUY,3457.12,3554.7,286,20190115,1115,3485.0,20190116,1545,3453.0,LSL
strategy1,BUY,3459.9968,3557.658,286,20190117,1445,3487.9,20190118,915,3560.2,LT
strategy1,BUY,3500.6192,3599.4269999999997,283,20190118,1115,3528.85,20190121,915,3605.0,LT
strategy1,BUY,3580.0784,3681.129,277,20190121,1145,3608.95,20190121,1515,3557.75,LSL
strategy1,BUY,3511.3328,3610.443,282,20190123,945,3539.65,20190125,1415,3503.05,LSL
strategy1,BUY,3412.48,3508.8,290,20190129,1515,3440.0,20190130,1145,3533.5,LT
strategy1,BUY,3486.4832,3584.892,284,20190130,1445,3514.6,20190131,1145,3461.05,LSL
strategy1,BUY,3493.824,3592.44,283,20190201,1145,3522.0,20190205,1415,3490.95,LSL
strategy1,BUY,3470.1648,3568.1130000000003,285,20190207,945,3498.15,20190208,1215,3470.0,LSL
strategy1,BUY,3397.6,3493.5,291,20190212,1345,3425.0,20190213,1245,3397.0,LSL
strategy1,BUY,3401.072,3497.07,291,20190214,1045,3428.5,20190214,1545,3372.0,LSL
strategy1,BUY,3416.5968000000003,3513.033,290,20190215,1515,3444.15,20190218,1015,3390.9,LSL
strategy1,BUY,3387.6304,3483.249,292,20190218,1415,3414.95,20190220,1515,3387.3,LSL
strategy1,BUY,3344.8752,3439.287,296,20190225,945,3371.85,20190225,1145,3343.55,LSL
strategy1,BUY,3320.8192,3414.5519999999997,298,20190227,945,3347.6,20190227,1215,3309.0,LSL
