strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,307.04384,315.7104,3230,20190101,1115,309.52,20190102,915,306.02,LSL
strategy1,BUY,307.2224,315.894,3228,20190102,1045,309.7,20190104,1145,316.98,LT
strategy1,BUY,305.536,314.16,3246,20190108,1115,308.0,20190108,1215,314.45,LT
strategy1,BUY,310.2976,319.05600000000004,3196,20190109,1115,312.8,20190109,1245,310.0,LSL
strategy1,BUY,312.03360000000004,320.841,3179,20190109,1515,314.55,20190110,1215,321.05,LT
strategy1,BUY,320.04896,329.0826,3099,20190110,1315,322.63,20190114,945,333.23,LT
strategy1,BUY,328.13376,337.39559999999994,3023,20190115,1515,330.78,20190116,1115,324.95,LSL
strategy1,BUY,325.872,335.07,3044,20190117,1515,328.5,20190118,915,319.0,LSL
strategy1,BUY,293.2352,301.512,3382,20190125,1245,295.6,20190125,1545,292.58,LSL
strategy1,BUY,295.10016,303.4296,3361,20190128,1515,297.48,20190129,1415,295.0,LSL
strategy1,BUY,293.632,301.92,3378,20190131,1245,296.0,20190131,1345,293.45,LSL
strategy1,BUY,287.26336,295.3716,3453,20190205,1015,289.58,20190205,1545,296.52,LT
strategy1,BUY,294.05856,302.3586,3373,20190206,945,296.43,20190206,1015,293.6,LSL
strategy1,BUY,292.7888,301.053,3388,20190206,1145,295.15,20190206,1345,291.95,LSL
strategy1,BUY,291.38016000000005,299.6046,3404,20190211,1415,293.73,20190212,945,290.7,LSL
strategy1,BUY,286.91616,295.01460000000003,3457,20190215,1345,289.23,20190218,1515,285.15,LSL
strategy1,BUY,281.55935999999997,289.5066,3523,20190221,1145,283.83,20190222,915,290.0,LT
strategy1,BUY,289.79296,297.9726,3423,20190222,945,292.13,20190222,1215,288.63,LSL
strategy1,BUY,285.696,293.76,3472,20190226,1245,288.0,20190226,1515,285.0,LSL
strategy1,BUY,285.42816,293.4846,3475,20190227,945,287.73,20190227,1215,283.85,LSL
strategy1,BUY,284.8032,292.84200000000004,3483,20190228,1245,287.1,20190301,1415,283.7,LSL
strategy1,BUY,286.192,294.27,3466,20190305,945,288.5,20190305,1215,295.0,LT
strategy1,BUY,291.62816000000004,299.8596,3401,20190306,945,293.98,20190307,1415,290.75,LSL
strategy1,BUY,290.4576,298.656,3415,20190308,1445,292.8,20190311,1245,289.95,LSL
strategy1,BUY,294.0288,302.328,3373,20190312,1315,296.4,20190312,1545,291.5,LSL
strategy1,BUY,292.64,300.9,3389,20190313,1145,295.0,20190313,1445,301.45,LT
strategy1,BUY,306.42879999999997,315.078,3237,20190314,945,308.9,20190314,1015,305.52,LSL
strategy1,BUY,301.2704,309.774,3292,20190315,1245,303.7,20190318,1015,298.35,LSL
strategy1,BUY,287.0848,295.188,3455,20190322,945,289.4,20190322,1015,286.73,LSL
strategy1,BUY,284.5056,292.536,3486,20190327,1515,286.8,20190328,1515,294.35,LT
strategy1,BUY,296.112,304.47,3350,20190402,945,298.5,20190402,1515,305.35,LT
strategy1,BUY,298.85983999999996,307.2954,3319,20190405,1015,301.27,20190405,1415,298.55,LSL
strategy1,BUY,292.144,300.39,3395,20190410,945,294.5,20190411,915,291.95,LSL
strategy1,BUY,292.81856,301.0836,3387,20190411,1515,295.18,20190416,1415,302.9,LT
strategy1,BUY,300.08,308.55,3305,20190416,1515,302.5,20190418,945,299.25,LSL
strategy1,BUY,299.91136,308.3766,3307,20190418,1115,302.33,20190418,1345,309.52,LT
strategy1,BUY,308.49216,317.19960000000003,3215,20190422,1215,310.98,20190422,1315,307.0,LSL
strategy1,BUY,303.15520000000004,311.71200000000005,3272,20190424,1415,305.6,20190424,1445,302.5,LSL
strategy1,BUY,306.40896,315.0576,3237,20190425,945,308.88,20190426,1215,317.0,LT
strategy1,BUY,313.91839999999996,322.779,3160,20190426,1345,316.45,20190430,1445,323.1,LT
strategy1,BUY,317.3904,326.349,3125,20190507,1015,319.95,20190507,1115,316.88,LSL
strategy1,BUY,316.54720000000003,325.482,3133,20190507,1315,319.1,20190509,1315,316.5,LSL
strategy1,BUY,318.8288,327.828,3111,20190510,1015,321.4,20190510,1145,318.73,LSL
strategy1,BUY,319.40416,328.4196,3105,20190510,1245,321.98,20190516,945,328.98,LT
strategy1,BUY,325.80256,334.9986,3044,20190516,1215,328.43,20190516,1515,320.35,LSL
strategy1,BUY,327.112,336.345,3032,20190517,1215,329.75,20190520,915,336.98,LT
strategy1,BUY,337.5776,347.106,2938,20190520,1215,340.3,20190521,915,347.78,LT
strategy1,BUY,347.2,357.0,2857,20190521,1145,350.0,20190522,945,346.75,LSL
strategy1,BUY,342.41856,352.0836,2897,20190523,1045,345.18,20190523,1115,341.5,LSL
strategy1,BUY,345.1664,354.909,2873,20190523,1445,347.95,20190524,1015,344.25,LSL
strategy1,BUY,342.4384,352.104,2896,20190528,945,345.2,20190529,945,353.28,LT
strategy1,BUY,351.14816,361.05960000000005,2825,20190529,1145,353.98,20190529,1445,350.23,LSL
strategy1,BUY,353.9952,363.987,2802,20190530,1015,356.85,20190530,1315,353.08,LSL
strategy1,BUY,348.8368,358.683,2843,20190603,1215,351.65,20190603,1345,348.68,LSL
strategy1,BUY,348.936,358.785,2842,20190606,1045,351.75,20190611,1045,347.78,LSL
strategy1,BUY,351.64416,361.56960000000004,2821,20190611,1515,354.48,20190612,1445,350.73,LSL
strategy1,BUY,352.2592,362.202,2816,20190613,1145,355.1,20190614,1545,349.35,LSL
strategy1,BUY,339.7104,349.299,2920,20190621,1145,342.45,20190621,1515,349.95,LT
strategy1,BUY,348.0432,357.867,2850,20190624,945,350.85,20190624,1515,347.35,LSL
strategy1,BUY,348.5888,358.428,2845,20190626,945,351.4,20190626,1315,347.65,LSL
strategy1,BUY,348.936,358.785,2842,20190628,1415,351.75,20190701,1245,347.5,LSL
strategy1,BUY,348.46975999999995,358.30559999999997,2846,20190702,1415,351.28,20190703,1415,348.2,LSL
strategy1,BUY,332.7664,342.159,2981,20190711,1415,335.45,20190712,1545,332.75,LSL
strategy1,BUY,333.73856,343.1586,2972,20190716,1515,336.43,20190717,1445,332.93,LSL
strategy1,BUY,335.22656,344.6886,2959,20190719,945,337.93,20190719,1345,329.33,LSL
strategy1,BUY,329.27456,338.5686,3012,20190723,1515,331.93,20190723,1545,328.25,LSL
strategy1,BUY,327.36,336.6,3030,20190726,1245,330.0,20190729,1045,325.65,LSL
strategy1,BUY,329.67136,338.97659999999996,3009,20190730,945,332.33,20190730,1045,329.65,LSL
strategy1,BUY,334.48256000000003,343.9236,2965,20190731,1515,337.18,20190801,915,333.43,LSL
strategy1,BUY,332.2208,341.59799999999996,2985,20190801,1145,334.9,20190801,1445,329.55,LSL
strategy1,BUY,323.64,332.775,3065,20190806,1445,326.25,20190807,1015,334.25,LT
strategy1,BUY,332.64736,342.03659999999996,2982,20190808,1015,335.33,20190809,1215,343.18,LT
strategy1,BUY,339.29375999999996,348.87059999999997,2923,20190809,1445,342.03,20190814,1315,348.9,LT
strategy1,BUY,345.712,355.47,2869,20190816,1145,348.5,20190820,1115,343.83,LSL
strategy1,BUY,344.224,353.94,2881,20190821,945,347.0,20190821,1415,344.0,LSL
strategy1,BUY,329.7408,339.048,3008,20190826,1215,332.4,20190903,1045,339.6,LT
strategy1,BUY,336.76416,346.2696,2945,20190903,1145,339.48,20190903,1245,336.35,LSL
strategy1,BUY,334.48256000000003,343.9236,2965,20190904,1315,337.18,20190905,1245,334.45,LSL
strategy1,BUY,336.288,345.78,2949,20190905,1445,339.0,20190906,945,335.3,LSL
strategy1,BUY,330.66336,339.9966,3000,20190912,1015,333.33,20190917,1145,330.13,LSL
strategy1,BUY,324.89984,334.0704,3053,20190918,1515,327.52,20190919,1015,321.48,LSL
