strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,730.8064,751.4340000000001,1357,20190101,1045,736.7,20190102,915,727.3,LSL
strategy1,BUY,714.9344000000001,735.114,1387,20190104,1145,720.7,20190108,945,737.5,LT
strategy1,BUY,731.848,752.505,1355,20190108,1115,737.75,20190109,1145,753.2,LT
strategy1,BUY,746.976,768.06,1328,20190109,1245,753.0,20190110,1315,769.4,LT
strategy1,BUY,768.8,790.5,1290,20190110,1415,775.0,20190111,945,766.0,LSL
strategy1,BUY,767.2624000000001,788.9190000000001,1292,20190114,945,773.45,20190117,915,789.75,LT
strategy1,BUY,772.52,794.325,1284,20190121,945,778.75,20190124,1015,794.95,LT
strategy1,BUY,763.8896,785.4509999999999,1298,20190130,945,770.05,20190131,1445,785.95,LT
strategy1,BUY,782.4896,804.5759999999999,1267,20190131,1515,788.8,20190201,945,782.0,LSL
strategy1,BUY,782.688,804.78,1267,20190201,1045,789.0,20190204,1215,782.25,LSL
strategy1,BUY,753.672,774.945,1316,20190206,1515,759.75,20190207,1045,775.25,LT
strategy1,BUY,770.784,792.54,1287,20190207,1415,777.0,20190208,945,766.2,LSL
strategy1,BUY,756.648,778.005,1311,20190211,1445,762.75,20190213,945,753.8,LSL
strategy1,BUY,743.1568,764.1329999999999,1334,20190214,1345,749.15,20190215,945,729.05,LSL
strategy1,BUY,715.232,735.42,1386,20190220,1145,721.0,20190222,1015,735.8,LT
strategy1,BUY,728.376,748.935,1361,20190222,1215,734.25,20190222,1345,727.85,LSL
strategy1,BUY,714.8352,735.0120000000001,1387,20190226,1415,720.6,20190228,1515,711.35,LSL
strategy1,BUY,714.9344000000001,735.114,1387,20190301,1315,720.7,20190305,1415,739.3,LT
strategy1,BUY,733.5344,754.239,1352,20190306,1215,739.45,20190306,1315,733.25,LSL
strategy1,BUY,733.7328,754.443,1351,20190307,1015,739.65,20190307,1245,733.0,LSL
strategy1,BUY,730.5584,751.1790000000001,1357,20190308,1515,736.45,20190311,1515,751.35,LT
strategy1,BUY,766.0224000000001,787.644,1295,20190312,1045,772.2,20190313,915,763.75,LSL
strategy1,BUY,774.4048,796.2629999999999,1280,20190313,945,780.65,20190313,1015,772.85,LSL
strategy1,BUY,768.7504,790.4490000000001,1290,20190314,1015,774.95,20190318,945,768.7,LSL
strategy1,BUY,770.5856,792.3359999999999,1287,20190318,1415,776.8,20190322,1145,769.95,LSL
strategy1,BUY,768.9488,790.653,1290,20190325,1245,775.15,20190328,1015,768.1,LSL
strategy1,BUY,786.0112,808.197,1262,20190329,945,792.35,20190329,1515,783.95,LSL
strategy1,BUY,787.648,809.88,1259,20190401,945,794.0,20190402,1245,787.2,LSL
