strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,2682.4176,2758.1310000000003,369,20190103,1415,2704.05,20190107.0,1415.0,2674.8,LSL
strategy1,BUY,2676.2176000000004,2751.7560000000003,370,20190108,1415,2697.8,20190121.0,1545.0,2672.0,LSL
strategy1,BUY,2658.56,2733.6,373,20190123,1145,2680.0,20190124.0,1045.0,2653.55,LSL
strategy1,BUY,2639.1663999999996,2713.6589999999997,375,20190125,1115,2660.45,20190125.0,1445.0,2620.0,LSL
strategy1,BUY,2561.0463999999997,2633.334,387,20190129,1145,2581.7,20190130.0,945.0,2542.25,LSL
strategy1,BUY,2529.4512,2600.8469999999998,392,20190131,1515,2549.85,20190201.0,1245.0,2611.05,LT
strategy1,BUY,2613.92,2687.7,379,20190204,1115,2635.0,20190205.0,1215.0,2704.55,LT
strategy1,BUY,2683.2608,2758.998,369,20190205,1315,2704.9,20190206.0,1215.0,2762.0,LT
strategy1,BUY,2739.5568000000003,2816.8830000000003,362,20190206,1315,2761.65,20190207.0,945.0,2846.35,LT
strategy1,BUY,2830.176,2910.06,350,20190207,1315,2853.0,20190212.0,1045.0,2822.95,LSL
strategy1,BUY,2838.3104,2918.424,349,20190214,945,2861.2,20190214.0,1045.0,2836.0,LSL
strategy1,BUY,2808.6,2887.875,353,20190214,1245,2831.25,20190218.0,945.0,2772.25,LSL
strategy1,BUY,2794.464,2873.34,354,20190219,945,2817.0,20190219.0,1245.0,2788.0,LSL
strategy1,BUY,2758.4048000000003,2836.263,359,20190221,945,2780.65,20190222.0,1015.0,2844.85,LT
strategy1,BUY,2802.4991999999997,2881.602,353,20190222,1345,2825.1,20190227.0,915.0,2884.95,LT
strategy1,BUY,2901.4512,2983.3469999999998,341,20190227,945,2924.85,20190227.0,1545.0,2901.0,LSL
strategy1,BUY,2898.872,2980.695,342,20190301,945,2922.25,20190301.0,1215.0,2898.0,LSL
strategy1,BUY,2864.8464,2945.709,346,20190305,1345,2887.95,20190308.0,1145.0,2951.6,LT
strategy1,BUY,2926.4991999999997,3009.102,338,20190308,1345,2950.1,20190312.0,915.0,3017.35,LT
strategy1,BUY,2973.024,3056.94,333,20190312,1215,2997.0,20190319.0,945.0,2950.0,LSL
strategy1,BUY,2931.4096,3014.1510000000003,338,20190325,1045,2955.05,20190328.0,1445.0,2931.1,LSL
strategy1,BUY,2852.0496000000003,2932.5510000000004,347,20190404,945,2875.05,20190408.0,1115.0,2852.0,LSL
strategy1,BUY,2858.696,2939.385,347,20190409,1015,2881.75,20190410.0,1145.0,2942.0,LT
strategy1,BUY,2923.3248,3005.838,339,20190410,1245,2946.9,20190412.0,1315.0,3013.0,LT
strategy1,BUY,3000.7008,3085.398,330,20190412,1345,3024.9,20190425.0,1515.0,3089.9,LT
strategy1,BUY,3045.2912,3131.247,325,20190426,1345,3069.85,20190426.0,1545.0,3044.7,LSL
strategy1,BUY,2992.864,3077.34,331,20190502,1245,3017.0,20190508.0,1015.0,2987.4,LSL
strategy1,BUY,2959.136,3042.66,335,20190510,945,2983.0,20190513.0,945.0,2959.0,LSL
strategy1,BUY,2913.9503999999997,2996.1989999999996,340,20190516,1015,2937.45,20190517.0,1515.0,3046.0,LT
strategy1,BUY,2988.896,3073.26,331,20190522,1045,3013.0,20190523.0,1315.0,3077.4,LT
strategy1,BUY,3055.3104,3141.549,324,20190523,1415,3079.95,20190524.0,945.0,3009.45,LSL
strategy1,BUY,3050.648,3136.755,325,20190524,1245,3075.25,20190527.0,1045.0,3042.45,LSL
strategy1,BUY,3054.9136000000003,3141.141,324,20190528,1045,3079.55,20190528.0,1115.0,3053.0,LSL
