strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,646.2185599999999,664.4585999999999,1535,20190101,1515,651.43,20190102.0,915.0,645.1,LSL
strategy1,BUY,634.9792,652.902,1562,20190104,1115,640.1,20190110.0,1545.0,634.0,LSL
strategy1,BUY,629.92,647.7,1574,20190114,1415,635.0,20190115.0,1515.0,651.5,LT
strategy1,BUY,644.8,663.0,1538,20190116,1015,650.0,20190116.0,1545.0,644.5,LSL
strategy1,BUY,626.7753600000001,644.4666000000001,1582,20190121,1045,631.83,20190123.0,945.0,645.27,LT
strategy1,BUY,640.82208,658.9098,1548,20190123,1045,645.99,20190124.0,1515.0,640.53,LSL
strategy1,BUY,609.7526399999999,626.9634,1626,20190129,1415,614.67,20190129.0,1545.0,629.5,LT
strategy1,BUY,624.80128,642.4368000000001,1587,20190130,1315,629.84,20190130.0,1545.0,621.97,LSL
strategy1,BUY,614.73248,632.0838000000001,1613,20190201,945,619.69,20190201.0,1145.0,610.77,LSL
strategy1,BUY,604.2272,621.282,1641,20190206,1015,609.1,20190207.0,915.0,623.69,LT
strategy1,BUY,620.6944000000001,638.214,1598,20190207,945,625.7,20190208.0,1515.0,616.01,LSL
strategy1,BUY,611.568,628.83,1622,20190213,1015,616.5,20190213.0,1515.0,611.0,LSL
strategy1,BUY,592.5215999999999,609.246,1674,20190219,945,597.3,20190221.0,1415.0,610.75,LT
strategy1,BUY,611.70688,628.9728,1621,20190221,1515,616.64,20190225.0,1515.0,633.6,LT
strategy1,BUY,633.63008,651.5148,1565,20190226,945,638.74,20190301.0,1115.0,653.5,LT
strategy1,BUY,642.816,660.96,1543,20190305,1345,648.0,20190307.0,1345.0,661.33,LT
strategy1,BUY,661.3763200000001,680.0442,1499,20190307,1415,666.71,20190307.0,1515.0,659.7,LSL
strategy1,BUY,654.0553600000001,672.5166,1516,20190308,1315,659.33,20190311.0,1245.0,672.73,LT
strategy1,BUY,669.3222400000001,688.2144000000001,1482,20190311,1315,674.72,20190313.0,1245.0,688.83,LT
strategy1,BUY,683.86496,703.1676,1450,20190313,1515,689.38,20190318.0,1515.0,703.35,LT
strategy1,BUY,695.5904,715.224,1426,20190319,1015,701.2,20190319.0,1545.0,695.0,LSL
strategy1,BUY,693.79488,713.3778,1429,20190322,1245,699.39,20190325.0,915.0,690.8,LSL
strategy1,BUY,689.4796799999999,708.9408,1438,20190326,1345,695.04,20190328.0,1445.0,687.38,LSL
strategy1,BUY,696.35424,716.0094,1424,20190329,1045,701.97,20190401.0,1515.0,716.43,LT
strategy1,BUY,713.9424,734.094,1389,20190402,945,719.7,20190403.0,1015.0,737.0,LT
strategy1,BUY,733.088,753.78,1353,20190403,1215,739.0,20190404.0,1445.0,729.73,LSL
strategy1,BUY,734.95296,755.6976,1349,20190405,1115,740.88,20190408.0,1115.0,732.2,LSL
strategy1,BUY,733.34592,754.0452,1352,20190409,1515,739.26,20190411.0,1515.0,757.27,LT
