strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,2620.368,2694.33,378,20190102,945,2641.5,20190102,1345,2619.7,LSL
strategy1,BUY,2484.1663999999996,2554.2839999999997,399,20190114,1345,2504.2,20190115,915,2563.0,LT
strategy1,BUY,2542.3968,2614.158,390,20190115,1015,2562.9,20190117,1345,2533.6,LSL
strategy1,BUY,2531.4352,2602.8869999999997,391,20190118,1415,2551.85,20190121,1445,2603.2,LT
strategy1,BUY,2591.9968,2665.158,382,20190122,945,2612.9,20190128,945,2534.55,LSL
strategy1,BUY,2590.112,2663.22,382,20190130,1345,2611.0,20190130,1545,2574.25,LSL
strategy1,BUY,2595.0224,2668.269,382,20190201,945,2615.95,20190201,1315,2672.6,LT
strategy1,BUY,2604.0,2677.5,380,20190205,945,2625.0,20190205,1515,2599.0,LSL
strategy1,BUY,2632.1728000000003,2706.4680000000003,376,20190206,1115,2653.4,20190206,1515,2712.0,LT
strategy1,BUY,2696.256,2772.36,367,20190207,1145,2718.0,20190207,1545,2695.0,LSL
strategy1,BUY,2706.5728,2782.9680000000003,366,20190208,1415,2728.4,20190208,1515,2705.25,LSL
strategy1,BUY,2588.376,2661.435,383,20190214,1245,2609.25,20190215,945,2580.65,LSL
strategy1,BUY,2573.248,2645.88,385,20190219,945,2594.0,20190219,1515,2551.95,LSL
strategy1,BUY,2571.016,2643.585,385,20190220,1445,2591.75,20190221,1415,2647.8,LT
strategy1,BUY,2632.7183999999997,2707.029,376,20190221,1515,2653.95,20190222,1545,2632.4,LSL
strategy1,BUY,2633.0656000000004,2707.386,376,20190225,1515,2654.3,20190226,915,2631.05,LSL
strategy1,BUY,2630.3376000000003,2704.581,377,20190226,1145,2651.55,20190227,1215,2627.0,LSL
strategy1,BUY,2647.648,2722.38,374,20190301,945,2669.0,20190301,1245,2645.75,LSL
strategy1,BUY,2637.728,2712.18,376,20190301,1445,2659.0,20190306,945,2717.9,LT
strategy1,BUY,2729.984,2807.04,363,20190306,1045,2752.0,20190307,1515,2728.0,LSL
strategy1,BUY,2747.2448,2824.788,361,20190308,1445,2769.4,20190313,1515,2829.05,LT
strategy1,BUY,2788.1648,2866.8630000000003,355,20190314,1315,2810.65,20190315,1445,2888.55,LT
strategy1,BUY,2854.6288,2935.203,347,20190318,1145,2877.65,20190318,1545,2940.0,LT
strategy1,BUY,2935.7744,3018.6389999999997,337,20190319,1015,2959.45,20190319,1245,2934.05,LSL
strategy1,BUY,2831.0191999999997,2910.9269999999997,350,20190325,1345,2853.85,20190326,1415,2924.0,LT
strategy1,BUY,2925.9536000000003,3008.541,339,20190327,945,2949.55,20190329,1015,3016.75,LT
strategy1,BUY,2988.896,3073.26,331,20190329,1215,3013.0,20190403,915,3076.75,LT
strategy1,BUY,3055.0624,3141.294,324,20190403,1015,3079.7,20190403,1515,3047.0,LSL
strategy1,BUY,3051.5904,3137.7239999999997,325,20190405,945,3076.2,20190408,1215,3050.05,LSL
strategy1,BUY,2996.5344,3081.114,331,20190410,945,3020.7,20190410,1545,2995.0,LSL
