strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,925.784,951.915,1071,20190101,1145,933.25,20190102,915,914.05,LSL
strategy1,BUY,891.6096,916.776,1112,20190107,1015,898.8,20190107,1345,888.7,LSL
strategy1,BUY,877.5232,902.292,1130,20190109,1145,884.6,20190115,1215,874.05,LSL
strategy1,BUY,869.8352,894.3870000000001,1140,20190117,1115,876.85,20190118,945,868.25,LSL
strategy1,BUY,863.2384000000001,887.604,1149,20190121,945,870.2,20190122,1215,858.35,LSL
strategy1,BUY,858.08,882.3,1156,20190123,1345,865.0,20190124,1015,851.05,LSL
strategy1,BUY,847.4656,871.386,1170,20190125,1015,854.3,20190125,1345,845.55,LSL
strategy1,BUY,805.6032,828.342,1231,20190131,1045,812.1,20190201,1315,835.6,LT
strategy1,BUY,791.6655999999999,814.011,1253,20190207,1145,798.05,20190208,915,790.0,LSL
strategy1,BUY,791.864,814.215,1252,20190211,1445,798.25,20190212,945,816.0,LT
strategy1,BUY,836.256,859.86,1186,20190213,1115,843.0,20190213,1345,835.35,LSL
strategy1,BUY,832.9327999999999,856.443,1190,20190219,945,839.65,20190219,1045,826.7,LSL
strategy1,BUY,824.0047999999999,847.2629999999999,1203,20190219,1115,830.65,20190219,1445,822.95,LSL
strategy1,BUY,832.5856,856.0859999999999,1191,20190221,1345,839.3,20190221,1445,832.3,LSL
strategy1,BUY,831.8416,855.3209999999999,1192,20190222,1015,838.55,20190222,1415,858.95,LT
strategy1,BUY,849.4495999999999,873.4259999999999,1167,20190225,1015,856.3,20190225,1315,876.75,LT
strategy1,BUY,868.0992,892.602,1142,20190225,1515,875.1,20190226,915,863.05,LSL
strategy1,BUY,873.4064000000001,898.0590000000001,1135,20190226,1045,880.45,20190227,945,902.7,LT
strategy1,BUY,892.8,918.0,1111,20190227,1115,900.0,20190227,1215,887.55,LSL
strategy1,BUY,893.792,919.02,1109,20190227,1415,901.0,20190228,1015,890.1,LSL
strategy1,BUY,888.088,913.155,1117,20190301,1045,895.25,20190305,915,887.6,LSL
strategy1,BUY,897.0655999999999,922.386,1105,20190305,945,904.3,20190306,1015,922.9,LT
strategy1,BUY,914.8224,940.644,1084,20190307,1315,922.2,20190308,915,914.0,LSL
strategy1,BUY,916.5584,942.4290000000001,1082,20190312,945,923.95,20190312,1115,913.9,LSL
strategy1,BUY,909.3664,935.034,1090,20190312,1145,916.7,20190312,1445,936.95,LT
strategy1,BUY,934.8112,961.197,1061,20190313,1045,942.35,20190313,1345,934.65,LSL
strategy1,BUY,931.488,957.78,1064,20190314,1345,939.0,20190315,1515,928.5,LSL
strategy1,BUY,921.6175999999999,947.631,1076,20190319,1015,929.05,20190319,1415,921.3,LSL
strategy1,BUY,913.3344000000001,939.114,1086,20190322,1345,920.7,20190322,1545,911.1,LSL
strategy1,BUY,920.824,946.815,1077,20190325,1045,928.25,20190326,1145,949.25,LT
strategy1,BUY,962.1904000000001,989.349,1030,20190327,1115,969.95,20190327,1345,962.1,LSL
strategy1,BUY,970.1264,997.509,1022,20190328,945,977.95,20190329,945,998.85,LT
strategy1,BUY,1005.144,1033.515,986,20190329,1245,1013.25,20190329,1445,998.05,LSL
strategy1,BUY,997.0096,1025.1509999999998,994,20190402,1145,1005.05,20190403,1515,996.85,LSL
strategy1,BUY,952.32,979.2,1041,20190415,945,960.0,20190422,915,948.0,LSL
strategy1,BUY,944.0864,970.734,1050,20190423,945,951.7,20190423,1015,943.7,LSL
strategy1,BUY,944.2352000000001,970.8870000000001,1050,20190423,1115,951.85,20190423,1415,974.25,LT
strategy1,BUY,959.512,986.595,1033,20190425,945,967.25,20190425,1145,958.9,LSL
strategy1,BUY,931.0912000000001,957.3720000000001,1065,20190426,1515,938.6,20190430,945,923.0,LSL
strategy1,BUY,840.1247999999999,863.838,1180,20190509,1145,846.9,20190509,1315,834.85,LSL
