strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,544.2608,559.6229999999999,1822,20190101,1044,548.65,20190102.0,1214.0,561.45,LT
strategy1,BUY,445.7552,458.33700000000005,2225,20190115,1044,449.35,20190118.0,944.0,445.6,LSL
strategy1,BUY,419.46720000000005,431.307,2364,20190125,944,422.85,20190128.0,1014.0,416.5,LSL
strategy1,BUY,401.76,413.1,2469,20190204,1144,405.0,20190205.0,944.0,417.15,LT
strategy1,BUY,415.1024,426.81899999999996,2389,20190205,1314,418.45,20190206.0,944.0,429.15,LT
strategy1,BUY,428.3456,440.43600000000004,2315,20190206,1244,431.8,20190206.0,1544.0,443.5,LT
strategy1,BUY,455.9232,468.79200000000003,2175,20190207,1314,459.6,20190211.0,1014.0,455.4,LSL
strategy1,BUY,467.62879999999996,480.828,2121,20190212,944,471.4,20190213.0,1044.0,466.05,LSL
strategy1,BUY,472.1424,485.469,2101,20190213,1514,475.95,20190215.0,1314.0,472.0,LSL
strategy1,BUY,473.2832,486.642,2095,20190219,1214,477.1,20190219.0,1444.0,473.1,LSL
strategy1,BUY,473.38239999999996,486.74399999999997,2095,20190220,1514,477.2,20190221.0,1014.0,493.35,LT
strategy1,BUY,487.9152,501.687,2033,20190221,1244,491.85,20190222.0,1344.0,487.5,LSL
strategy1,BUY,480.624,494.19,2063,20190226,1244,484.5,20190226.0,1444.0,479.9,LSL
strategy1,BUY,481.5664,495.159,2059,20190227,944,485.45,20190227.0,1144.0,480.05,LSL
strategy1,BUY,477.25120000000004,490.72200000000004,2078,20190228,1314,481.1,20190306.0,944.0,491.7,LT
strategy1,BUY,485.2864,498.984,2044,20190306,1144,489.2,20190306.0,1244.0,506.35,LT
strategy1,BUY,496.992,511.02,1996,20190308,1344,501.0,20190312.0,944.0,511.1,LT
strategy1,BUY,506.912,521.22,1956,20190312,1114,511.0,20190312.0,1214.0,506.5,LSL
strategy1,BUY,510.7808,525.198,1942,20190312,1444,514.9,20190315.0,1544.0,510.0,LSL
strategy1,BUY,493.1728,507.09299999999996,2011,20190319,1444,497.15,20190325.0,1244.0,491.0,LSL
strategy1,BUY,489.8496,503.676,2025,20190327,944,493.8,20190327.0,1414.0,489.25,LSL
strategy1,BUY,503.936,518.16,1968,20190328,1314,508.0,20190328.0,1414.0,525.0,LT
strategy1,BUY,517.5264000000001,532.134,1916,20190329,1314,521.7,20190401.0,1414.0,532.4,LT
strategy1,BUY,526.6528,541.518,1883,20190402,1244,530.9,20190402.0,1444.0,526.45,LSL
strategy1,BUY,540.0944000000001,555.339,1836,20190403,944,544.45,20190408.0,944.0,540.0,LSL
strategy1,BUY,537.168,552.33,1846,20190409,1344,541.5,20190409.0,1544.0,559.0,LT
strategy1,BUY,534.8367999999999,549.933,1854,20190416,944,539.15,20190416.0,1444.0,550.75,LT
strategy1,BUY,563.4064000000001,579.3090000000001,1760,20190418,1314,567.95,20190422.0,944.0,562.65,LSL
strategy1,BUY,571.4416,587.5709999999999,1735,20190422,1114,576.05,20190422.0,1244.0,567.35,LSL
strategy1,BUY,565.2912,581.2470000000001,1754,20190423,1014,569.85,20190424.0,944.0,583.95,LT
strategy1,BUY,584.2384000000001,600.729,1697,20190424,1244,588.95,20190424.0,1514.0,606.9,LT
strategy1,BUY,596.0928,612.918,1664,20190426,1444,600.9,20190430.0,944.0,588.2,LSL
strategy1,BUY,597.184,614.04,1661,20190430,1414,602.0,20190502.0,1244.0,619.55,LT
strategy1,BUY,625.1584,642.8040000000001,1586,20190503,944,630.2,20190503.0,1414.0,623.25,LSL
strategy1,BUY,570.896,587.01,1737,20190510,1514,575.5,20190510.0,1544.0,570.05,LSL
strategy1,BUY,551.2544,566.8140000000001,1799,20190515,1214,555.7,20190520.0,944.0,595.3,LT
strategy1,BUY,600.8048,617.7629999999999,1651,20190520,1514,605.65,20190521.0,1014.0,618.0,LT
strategy1,BUY,602.144,619.14,1647,20190522,1414,607.0,20190522.0,1514.0,598.2,LSL
strategy1,BUY,615.1888,632.553,1612,20190523,1344,620.15,20190523.0,1414.0,611.5,LSL
strategy1,BUY,594.6544,611.4390000000001,1668,20190530,1014,599.45,20190530.0,1414.0,594.0,LSL
strategy1,BUY,591.728,608.43,1676,20190530,1514,596.5,20190531.0,1144.0,591.35,LSL
strategy1,BUY,594.208,610.98,1669,20190603,1214,599.0,20190604.0,1044.0,594.1,LSL
strategy1,BUY,555.1232,570.792,1786,20190611,1514,559.6,20190612.0,1044.0,554.3,LSL
strategy1,BUY,538.0112,553.197,1843,20190617,1144,542.35,20190618.0,1344.0,553.65,LT
strategy1,BUY,551.1552,566.712,1799,20190618,1444,555.6,20190619.0,1144.0,542.2,LSL
strategy1,BUY,533.1007999999999,548.148,1860,20190624,944,537.4,20190624.0,1314.0,532.95,LSL
strategy1,BUY,528.6368,543.558,1876,20190626,1214,532.9,20190701.0,1114.0,544.75,LT
strategy1,BUY,542.4255999999999,557.736,1828,20190701,1244,546.8,20190702.0,1414.0,560.1,LT
strategy1,BUY,554.9248,570.588,1787,20190703,1314,559.4,20190705.0,944.0,554.0,LSL
strategy1,BUY,527.248,542.13,1881,20190710,1044,531.5,20190711.0,944.0,546.05,LT
strategy1,BUY,542.7728,558.093,1827,20190711,1244,547.15,20190711.0,1544.0,558.6,LT
strategy1,BUY,555.3216,570.996,1786,20190712,1044,559.8,20190715.0,944.0,552.0,LSL
strategy1,BUY,551.1552,566.712,1799,20190716,1144,555.6,20190716.0,1314.0,549.5,LSL
strategy1,BUY,547.9807999999999,563.448,1810,20190716,1444,552.4,20190717.0,944.0,546.15,LSL
strategy1,BUY,456.7168,469.608,2172,20190725,1344,460.4,20190726.0,944.0,476.8,LT
strategy1,BUY,487.2704,501.024,2035,20190726,1514,491.2,20190729.0,1244.0,486.7,LSL
strategy1,BUY,491.7344,505.614,2017,20190730,944,495.7,20190730.0,1014.0,485.0,LSL
strategy1,BUY,476.2592,489.702,2082,20190801,1144,480.1,20190802.0,944.0,463.25,LSL
strategy1,BUY,468.0752,481.28700000000003,2119,20190805,1144,471.85,20190806.0,944.0,483.0,LT
strategy1,BUY,477.4,490.875,2077,20190806,1144,481.25,20190807.0,1344.0,476.0,LSL
strategy1,BUY,482.1616,495.771,2057,20190808,1514,486.05,20190809.0,944.0,498.5,LT
strategy1,BUY,493.024,506.94,2012,20190814,1514,497.0,20190820.0,944.0,491.75,LSL
strategy1,BUY,466.3888,479.553,2126,20190826,1214,470.15,20190829.0,1114.0,462.8,LSL
strategy1,BUY,470.2576,483.531,2109,20190830,1144,474.05,20190830.0,1314.0,469.3,LSL
strategy1,BUY,446.3008,458.89799999999997,2222,20190909,1314,449.9,20190917.0,1544.0,446.3,LSL
strategy1,BUY,442.7296,455.226,2240,20190919,1114,446.3,20190920.0,1114.0,464.0,LT
strategy1,BUY,494.016,507.96,2008,20190920,1514,498.0,20190920.0,1544.0,492.0,LSL
strategy1,BUY,504.928,519.18,1964,20190926,1414,509.0,20190926.0,1514.0,502.3,LSL
strategy1,BUY,480.52479999999997,494.08799999999997,2064,20191004,944,484.4,20191007.0,944.0,476.65,LSL
strategy1,BUY,481.616,495.21,2059,20191010,944,485.5,20191010.0,1244.0,506.6,LT
strategy1,BUY,597.1344,613.989,1661,20191015,1444,601.95,20191015.0,1514.0,626.1,LT
strategy1,BUY,557.7024,573.4440000000001,1778,20191024,944,562.2,20191024.0,1244.0,574.8,LT
strategy1,BUY,589.0,605.625,1684,20191025,1514,593.75,20191029.0,944.0,607.5,LT
strategy1,BUY,638.1536,656.1659999999999,1554,20191029,1444,643.3,20191029.0,1514.0,620.0,LSL
strategy1,BUY,556.8592,572.577,1781,20191115,1114,561.35,20191118.0,944.0,556.0,LSL
strategy1,BUY,530.4224,545.394,1870,20191121,1244,534.7,20191122.0,1214.0,527.0,LSL
strategy1,BUY,536.5232,551.667,1848,20191125,944,540.85,20191125.0,1244.0,552.0,LT
strategy1,BUY,547.9807999999999,563.448,1810,20191127,1444,552.4,20191128.0,944.0,563.5,LT
strategy1,BUY,582.6512,599.097,1702,20191128,1414,587.35,20191128.0,1444.0,580.75,LSL
strategy1,BUY,588.4544000000001,605.0640000000001,1685,20191129,1014,593.2,20191129.0,1114.0,584.9,LSL
strategy1,BUY,582.8,599.25,1702,20191203,944,587.5,20191203.0,1014.0,582.05,LSL
strategy1,BUY,577.4928,593.793,1717,20191203,1114,582.15,20191203.0,1214.0,575.1,LSL
strategy1,BUY,575.36,591.6,1724,20191205,1044,580.0,20191205.0,1514.0,572.75,LSL
strategy1,BUY,522.8832,537.642,1897,20191212,944,527.1,20191212.0,1144.0,522.05,LSL
strategy1,BUY,517.4272,532.032,1917,20191216,1014,521.6,20191216.0,1114.0,514.95,LSL
strategy1,BUY,512.2192,526.677,1936,20191219,1314,516.35,20191220.0,1544.0,508.5,LSL
strategy1,BUY,497.7856,511.836,1992,20191226,1514,501.8,20191231.0,1214.0,496.7,LSL
strategy1,BUY,502.84479999999996,517.038,1972,20200103,944,506.9,20200106.0,944.0,500.65,LSL
strategy1,BUY,489.6016,503.421,2026,20200110,1044,493.55,20200110.0,1344.0,488.5,LSL
strategy1,BUY,500.96,515.1,1980,20200113,944,505.0,20200113.0,1544.0,517.2,LT
strategy1,BUY,514.352,528.87,1928,20200114,1514,518.5,20200115.0,944.0,509.35,LSL
strategy1,BUY,479.4832,493.017,2068,20200117,1314,483.35,20200117.0,1444.0,478.5,LSL
strategy1,BUY,481.0704,494.649,2062,20200120,944,484.95,20200121.0,1014.0,479.15,LSL
strategy1,BUY,481.864,495.465,2058,20200122,944,485.75,20200122.0,1014.0,481.6,LSL
strategy1,BUY,477.25120000000004,490.72200000000004,2078,20200122,1144,481.1,20200122.0,1444.0,476.2,LSL
strategy1,BUY,475.0192,488.427,2088,20200124,1014,478.85,20200127.0,1514.0,474.95,LSL
strategy1,BUY,448.136,460.785,2213,20200131,1244,451.75,20200201.0,944.0,448.0,LSL
strategy1,BUY,443.3744,455.889,2237,20200207,1344,446.95,20200207.0,1514.0,442.9,LSL
strategy1,BUY,451.26079999999996,463.998,2198,20200210,944,454.9,20200212.0,944.0,471.95,LT
strategy1,BUY,454.1872,467.007,2184,20200214,1314,457.85,20200214.0,1414.0,452.75,LSL
strategy1,BUY,421.20320000000004,433.09200000000004,2355,20200220,1244,424.6,20200220.0,1444.0,417.95,LSL
strategy1,BUY,404.736,416.16,2450,20200303,944,408.0,20200303.0,1014.0,401.05,LSL
strategy1,BUY,401.512,412.845,2470,20200304,944,404.75,20200304.0,1144.0,400.5,LSL
strategy1,BUY,400.6688,411.97799999999995,2475,20200304,1314,403.9,20200304.0,1344.0,398.3,LSL
strategy1,BUY,410.688,422.28,2415,20200305,944,414.0,20200305.0,1514.0,423.2,LT
strategy1,BUY,253.55519999999999,260.712,3912,20200327,1344,255.6,20200327.0,1444.0,250.25,LSL
strategy1,BUY,204.30239999999998,210.069,4855,20200427,1244,205.95,20200428.0,944.0,216.4,LT
strategy1,BUY,216.4048,222.513,4584,20200428,1314,218.15,20200428.0,1544.0,223.5,LT
strategy1,BUY,231.632,238.17,4282,20200429,944,233.5,20200430.0,944.0,264.65,LT
strategy1,BUY,259.408,266.73,3824,20200430,1514,261.5,20200504.0,944.0,240.1,LSL
strategy1,BUY,243.93280000000001,250.818,4066,20200505,1344,245.9,20200505.0,1414.0,241.35,LSL
strategy1,BUY,241.99839999999998,248.82899999999998,4099,20200506,1444,243.95,20200506.0,1544.0,251.5,LT
strategy1,BUY,255.29120000000003,262.497,3885,20200507,1244,257.35,20200507.0,1344.0,255.1,LSL
strategy1,BUY,251.224,258.315,3948,20200513,1344,253.25,20200514.0,944.0,249.95,LSL
strategy1,BUY,203.856,209.61,4866,20200526,1214,205.5,20200526.0,1414.0,202.35,LSL
strategy1,BUY,204.7984,210.57899999999998,4843,20200527,1044,206.45,20200527.0,1344.0,210.7,LT
strategy1,BUY,238.3776,245.10600000000002,4161,20200602,1244,240.3,20200602.0,1314.0,238.2,LSL
strategy1,BUY,254.8944,262.089,3891,20200603,1444,256.95,20200603.0,1514.0,248.5,LSL
strategy1,BUY,262.5824,269.99399999999997,3777,20200609,1014,264.7,20200609.0,1114.0,273.1,LT
strategy1,BUY,265.856,273.36,3731,20200610,1514,268.0,20200610.0,1544.0,273.4,LT
strategy1,BUY,271.6096,279.276,3652,20200615,1414,273.8,20200615.0,1444.0,270.35,LSL
strategy1,BUY,268.6336,276.216,3692,20200618,1414,270.8,20200619.0,944.0,279.75,LT
strategy1,BUY,283.216,291.21,3502,20200619,1444,285.5,20200619.0,1544.0,291.25,LT
strategy1,BUY,315.2576,324.156,3146,20200623,944,317.8,20200623.0,1144.0,324.6,LT
strategy1,BUY,332.4688,341.85299999999995,2983,20200623,1444,335.15,20200623.0,1514.0,342.35,LT
strategy1,BUY,325.22720000000004,334.40700000000004,3050,20200701,1344,327.85,20200702.0,944.0,340.55,LT
strategy1,BUY,351.96160000000003,361.896,2818,20200706,1244,354.8,20200707.0,944.0,371.75,LT
strategy1,BUY,365.4032,375.71700000000004,2714,20200707,1244,368.35,20200707.0,1414.0,378.2,LT
strategy1,BUY,351.5648,361.488,2821,20200720,1214,354.4,20200720.0,1344.0,351.3,LSL
strategy1,BUY,352.8544,362.81399999999996,2811,20200721,1144,355.7,20200722.0,944.0,344.4,LSL
strategy1,BUY,345.11679999999996,354.858,2874,20200723,1044,347.9,20200724.0,1214.0,344.1,LSL
