strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,119.68480000000001,123.063,8288,20190101,1045,120.65,20190101.0,1445.0,123.15,LT
strategy1,BUY,122.3136,125.76599999999999,8110,20190102,945,123.3,20190102.0,1145.0,121.8,LSL
strategy1,BUY,120.3792,123.777,8240,20190103,1245,121.35,20190103.0,1345.0,119.65,LSL
strategy1,BUY,120.1808,123.57300000000001,8254,20190104,1215,121.15,20190104.0,1415.0,120.0,LSL
strategy1,BUY,120.3296,123.726,8244,20190104,1445,121.3,20190108.0,1515.0,123.9,LT
strategy1,BUY,122.8592,126.327,8074,20190109,1045,123.85,20190109.0,1415.0,122.0,LSL
strategy1,BUY,120.776,124.185,8213,20190114,1045,121.75,20190114.0,1545.0,120.6,LSL
strategy1,BUY,120.6768,124.08300000000001,8220,20190115,945,121.65,20190117.0,1045.0,120.4,LSL
strategy1,BUY,112.24480000000001,115.41300000000001,8837,20190124,1315,113.15,20190125.0,1315.0,112.1,LSL
strategy1,BUY,112.7904,115.974,8795,20190129,1515,113.7,20190130.0,915.0,117.75,LT
strategy1,BUY,112.7904,115.974,8795,20190201,945,113.7,20190201.0,1015.0,112.45,LSL
strategy1,BUY,112.0464,115.209,8853,20190201,1115,112.95,20190201.0,1415.0,111.05,LSL
strategy1,BUY,108.376,111.435,9153,20190206,1515,109.25,20190208.0,915.0,108.05,LSL
strategy1,BUY,104.01119999999999,106.94699999999999,9537,20190212,1145,104.85,20190212.0,1345.0,103.55,LSL
strategy1,BUY,101.8288,104.703,9741,20190219,1315,102.65,20190226.0,915.0,101.7,LSL
strategy1,BUY,101.928,104.805,9732,20190227,1045,102.75,20190227.0,1145.0,101.8,LSL
strategy1,BUY,102.32480000000001,105.21300000000001,9694,20190301,945,103.15,20190301.0,1045.0,105.65,LT
strategy1,BUY,105.6976,108.681,9385,20190301,1315,106.55,20190305.0,945.0,108.9,LT
strategy1,BUY,110.95519999999999,114.08699999999999,8940,20190305,1215,111.85,20190307.0,1145.0,114.35,LT
strategy1,BUY,115.816,119.085,8565,20190311,945,116.75,20190312.0,1145.0,115.75,LSL
strategy1,BUY,115.1712,118.422,8613,20190313,1415,116.1,20190314.0,1015.0,114.75,LSL
strategy1,BUY,115.41919999999999,118.67699999999999,8594,20190314,1345,116.35,20190315.0,1015.0,119.15,LT
