strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,103.912,106.845,9546,20190101,1045,104.75,20190101.0,1545.0,106.85,LT
strategy1,BUY,105.7968,108.783,9376,20190102,945,106.65,20190102.0,1015.0,105.5,LSL
strategy1,BUY,104.9536,107.916,9451,20190103,1245,105.8,20190104.0,1315.0,108.1,LT
strategy1,BUY,107.97919999999999,111.027,9186,20190104,1445,108.85,20190107.0,1345.0,107.9,LSL
strategy1,BUY,107.53280000000001,110.56800000000001,9225,20190108,1315,108.4,20190109.0,945.0,107.4,LSL
strategy1,BUY,104.3088,107.253,9510,20190116,945,105.15,20190117.0,1145.0,104.3,LSL
strategy1,BUY,102.8704,105.774,9643,20190121,1315,103.7,20190121.0,1445.0,102.1,LSL
strategy1,BUY,96.8192,99.55199999999999,10245,20190124,1515,97.6,20190125.0,1445.0,96.55,LSL
strategy1,BUY,97.7616,100.521,10147,20190129,1515,98.55,20190130.0,915.0,97.75,LSL
strategy1,BUY,96.9184,99.654,10235,20190130,1415,97.7,20190131.0,915.0,99.7,LT
strategy1,BUY,98.4064,101.184,10080,20190131,1045,99.2,20190131.0,1445.0,101.25,LT
strategy1,BUY,102.7216,105.621,9657,20190201,1115,103.55,20190201.0,1215.0,102.55,LSL
strategy1,BUY,91.11519999999999,93.687,10887,20190206,1515,91.85,20190207.0,1145.0,94.65,LT
strategy1,BUY,81.7904,84.099,12128,20190214,1315,82.45,20190214.0,1345.0,81.75,LSL
strategy1,BUY,82.584,84.915,12012,20190214,1415,83.25,20190215.0,915.0,82.3,LSL
strategy1,BUY,83.824,86.19,11834,20190222,1215,84.5,20190222.0,1345.0,83.7,LSL
strategy1,BUY,82.2368,84.558,12062,20190227,945,82.9,20190227.0,1145.0,82.0,LSL
strategy1,BUY,81.6416,83.946,12150,20190228,1145,82.3,20190301.0,945.0,84.95,LT
strategy1,BUY,87.792,90.27,11299,20190305,945,88.5,20190305.0,1215.0,91.3,LT
strategy1,BUY,91.1648,93.738,10881,20190306,1015,91.9,20190306.0,1045.0,90.95,LSL
strategy1,BUY,90.3216,92.871,10982,20190307,1145,91.05,20190308.0,945.0,89.7,LSL
strategy1,BUY,90.1232,92.66699999999999,11007,20190311,945,90.85,20190312.0,915.0,94.0,LT
strategy1,BUY,92.2064,94.809,10758,20190314,1345,92.95,20190318.0,1515.0,95.2,LT
strategy1,BUY,100.936,103.785,9828,20190322,945,101.75,20190322.0,1045.0,100.25,LSL
strategy1,BUY,99.7952,102.612,9940,20190326,945,100.6,20190327.0,1045.0,102.65,LT
strategy1,BUY,102.37440000000001,105.26400000000001,9689,20190327,1315,103.2,20190327.0,1345.0,102.2,LSL
strategy1,BUY,102.52319999999999,105.41699999999999,9675,20190327,1445,103.35,20190328.0,1215.0,105.75,LT
strategy1,BUY,105.152,108.12,9433,20190328,1345,106.0,20190329.0,945.0,104.6,LSL
strategy1,BUY,104.9536,107.916,9451,20190401,1015,105.8,20190401.0,1115.0,108.05,LT
strategy1,BUY,106.24319999999999,109.24199999999999,9337,20190402,1045,107.1,20190402.0,1345.0,105.3,LSL
strategy1,BUY,102.0272,104.907,9722,20190408,1015,102.85,20190408.0,1115.0,101.45,LSL
strategy1,BUY,100.3904,103.224,9881,20190409,1415,101.2,20190411.0,945.0,100.3,LSL
strategy1,BUY,92.2064,94.809,10758,20190424,1515,92.95,20190425.0,1515.0,92.15,LSL
strategy1,BUY,89.6768,92.20800000000001,11061,20190503,1215,90.4,20190503.0,1545.0,89.55,LSL
strategy1,BUY,84.27040000000001,86.649,11771,20190510,1015,84.95,20190513.0,945.0,84.15,LSL
strategy1,BUY,82.6832,85.017,11997,20190514,1415,83.35,20190515.0,945.0,82.3,LSL
strategy1,BUY,81.2944,83.589,12202,20190516,1515,81.95,20190517.0,915.0,80.9,LSL
strategy1,BUY,80.69919999999999,82.97699999999999,12292,20190517,1445,81.35,20190520.0,915.0,86.0,LT
strategy1,BUY,88.9824,91.494,11148,20190520,1515,89.7,20190521.0,1245.0,88.45,LSL
strategy1,BUY,88.04,90.525,11267,20190522,1315,88.75,20190523.0,915.0,92.55,LT
strategy1,BUY,96.12480000000001,98.83800000000001,10319,20190524,1515,96.9,20190528.0,1315.0,100.2,LT
strategy1,BUY,96.9184,99.654,10235,20190530,1515,97.7,20190531.0,1045.0,96.1,LSL
strategy1,BUY,96.8192,99.55199999999999,10245,20190604,945,97.6,20190604.0,1215.0,96.7,LSL
strategy1,BUY,87.24640000000001,89.709,11370,20190611,1315,87.95,20190613.0,945.0,86.05,LSL
strategy1,BUY,86.60159999999999,89.04599999999999,11454,20190614,1015,87.3,20190614.0,1115.0,86.4,LSL
strategy1,BUY,86.304,88.74,11494,20190614,1445,87.0,20190614.0,1515.0,86.15,LSL
strategy1,BUY,84.96480000000001,87.363,11675,20190618,1245,85.65,20190618.0,1345.0,84.9,LSL
strategy1,BUY,83.1792,85.527,11926,20190620,1115,83.85,20190620.0,1515.0,85.85,LT
strategy1,BUY,84.4688,86.85300000000001,11743,20190621,1015,85.15,20190621.0,1345.0,87.5,LT
strategy1,BUY,86.9984,89.45400000000001,11402,20190624,1215,87.7,20190624.0,1315.0,86.9,LSL
strategy1,BUY,86.1056,88.536,11520,20190626,945,86.8,20190626.0,1015.0,86.05,LSL
strategy1,BUY,86.50240000000001,88.944,11467,20190626,1215,87.2,20190626.0,1515.0,88.95,LT
strategy1,BUY,87.792,90.27,11299,20190627,1045,88.5,20190628.0,1015.0,91.4,LT
strategy1,BUY,92.1568,94.75800000000001,10764,20190628,1345,92.9,20190628.0,1445.0,91.0,LSL
strategy1,BUY,90.1232,92.66699999999999,11007,20190701,1515,90.85,20190702.0,1015.0,88.8,LSL
strategy1,BUY,89.87519999999999,92.41199999999999,11037,20190703,945,90.6,20190703.0,1545.0,92.95,LT
strategy1,BUY,93.992,96.645,10554,20190704,1245,94.75,20190705.0,945.0,93.9,LSL
strategy1,BUY,94.2896,96.951,10520,20190705,1245,95.05,20190705.0,1315.0,93.95,LSL
strategy1,BUY,85.56,87.975,11594,20190711,1315,86.25,20190715.0,1015.0,84.4,LSL
strategy1,BUY,83.8736,86.241,11827,20190716,1445,84.55,20190718.0,945.0,83.6,LSL
strategy1,BUY,80.0048,82.263,12399,20190722,1415,80.65,20190723.0,1245.0,79.95,LSL
strategy1,BUY,71.52319999999999,73.54199999999999,13869,20190731,1445,72.1,20190801.0,945.0,71.15,LSL
strategy1,BUY,69.29119999999999,71.247,14316,20190806,945,69.85,20190806.0,1115.0,69.25,LSL
strategy1,BUY,69.3904,71.349,14295,20190806,1515,69.95,20190807.0,1345.0,68.05,LSL
strategy1,BUY,66.96,68.85,14814,20190814,1315,67.5,20190816.0,1015.0,66.85,LSL
strategy1,BUY,67.65440000000001,69.56400000000001,14662,20190816,1145,68.2,20190816.0,1445.0,69.9,LT
strategy1,BUY,69.29119999999999,71.247,14316,20190819,1045,69.85,20190819.0,1215.0,69.25,LSL
strategy1,BUY,63.63680000000001,65.433,15588,20190823,1345,64.15,20190826.0,915.0,66.85,LT
strategy1,BUY,66.464,68.34,14925,20190826,1245,67.0,20190826.0,1545.0,66.4,LSL
strategy1,BUY,67.80319999999999,69.717,14630,20190827,945,68.35,20190828.0,1315.0,67.75,LSL
strategy1,BUY,63.3392,65.127,15661,20190904,1315,63.85,20190905.0,945.0,62.55,LSL
strategy1,BUY,63.984,65.79,15503,20190906,1115,64.5,20190906.0,1415.0,63.4,LSL
strategy1,BUY,63.63680000000001,65.433,15588,20190909,1015,64.15,20190909.0,1245.0,65.8,LT
strategy1,BUY,65.6704,67.524,15105,20190909,1515,66.2,20190911.0,1145.0,67.65,LT
strategy1,BUY,68.2496,70.176,14534,20190912,945,68.8,20190912.0,1545.0,68.1,LSL
strategy1,BUY,68.448,70.38,14492,20190916,945,69.0,20190916.0,1245.0,68.15,LSL
strategy1,BUY,65.0256,66.86099999999999,15255,20190920,1115,65.55,20190920.0,1215.0,67.15,LT
strategy1,BUY,69.3408,71.298,14306,20190923,1215,69.9,20190923.0,1445.0,71.5,LT
strategy1,BUY,71.0272,73.032,13966,20190924,945,71.6,20190924.0,1045.0,70.75,LSL
strategy1,BUY,67.9024,69.819,14609,20190926,1245,68.45,20190926.0,1515.0,67.7,LSL
strategy1,BUY,61.752,63.495,16064,20191004,1045,62.25,20191004.0,1115.0,61.6,LSL
strategy1,BUY,60.214400000000005,61.914,16474,20191014,1045,60.7,20191014.0,1515.0,60.0,LSL
strategy1,BUY,60.512,62.22,16393,20191015,1145,61.0,20191015.0,1245.0,60.45,LSL
strategy1,BUY,61.702400000000004,63.444,16077,20191016,945,62.2,20191016.0,1215.0,61.6,LSL
strategy1,BUY,61.9504,63.699000000000005,16012,20191017,1315,62.45,20191018.0,945.0,63.85,LT
strategy1,BUY,63.587199999999996,65.38199999999999,15600,20191018,1145,64.1,20191022.0,1015.0,65.45,LT
strategy1,BUY,65.0752,66.91199999999999,15243,20191022,1145,65.6,20191022.0,1345.0,65.0,LSL
strategy1,BUY,65.9184,67.779,15048,20191023,1515,66.45,20191024.0,1045.0,65.55,LSL
strategy1,BUY,67.3568,69.25800000000001,14727,20191029,1345,67.9,20191029.0,1515.0,67.25,LSL
strategy1,BUY,68.2496,70.176,14534,20191030,1015,68.8,20191030.0,1215.0,70.7,LT
strategy1,BUY,70.5312,72.52199999999999,14064,20191030,1515,71.1,20191101.0,945.0,73.35,LT
strategy1,BUY,73.2096,75.276,13550,20191101,1215,73.8,20191101.0,1315.0,72.0,LSL
strategy1,BUY,71.8208,73.848,13812,20191104,1315,72.4,20191104.0,1515.0,71.35,LSL
strategy1,BUY,70.0848,72.063,14154,20191106,1445,70.65,20191106.0,1515.0,69.95,LSL
strategy1,BUY,69.192,71.145,14336,20191118,1145,69.75,20191118.0,1515.0,71.25,LT
strategy1,BUY,71.52319999999999,73.54199999999999,13869,20191119,1015,72.1,20191119.0,1215.0,73.8,LT
strategy1,BUY,74.74719999999999,76.857,13271,20191120,1015,75.35,20191120.0,1115.0,74.35,LSL
strategy1,BUY,72.86240000000001,74.919,13614,20191125,945,73.45,20191125.0,1015.0,72.75,LSL
strategy1,BUY,73.55680000000001,75.63300000000001,13486,20191125,1145,74.15,20191125.0,1215.0,73.55,LSL
strategy1,BUY,76.5824,78.744,12953,20191126,1215,77.2,20191126.0,1415.0,76.5,LSL
strategy1,BUY,76.4832,78.642,12970,20191127,1515,77.1,20191128.0,1015.0,79.2,LT
