strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1110.9904000000001,1142.3490000000002,892,20190104,1445,1119.95,20190109.0,1415.0,1147.3,LT
strategy1,BUY,1136.832,1168.92,872,20190109,1515,1146.0,20190110.0,1545.0,1169.0,LT
strategy1,BUY,1151.5631999999998,1184.067,861,20190111,1245,1160.85,20190114.0,915.0,1150.05,LSL
strategy1,BUY,1153.1008000000002,1185.6480000000001,860,20190114,1045,1162.4,20190117.0,1215.0,1150.55,LSL
strategy1,BUY,1148.1904,1180.5990000000002,863,20190118,1345,1157.45,20190121.0,1045.0,1147.6,LSL
strategy1,BUY,1142.7344,1174.989,868,20190123,945,1151.95,20190125.0,1215.0,1141.2,LSL
strategy1,BUY,1100.5744,1131.6390000000001,901,20190129,1215,1109.45,20190130.0,1015.0,1099.5,LSL
strategy1,BUY,1097.5984,1128.579,903,20190130,1515,1106.45,20190130.0,1545.0,1097.0,LSL
strategy1,BUY,1094.8704,1125.7740000000001,906,20190131,1345,1103.7,20190201.0,945.0,1130.15,LT
strategy1,BUY,1129.888,1161.78,877,20190201,1315,1139.0,20190204.0,1415.0,1168.0,LT
strategy1,BUY,1175.1232,1208.292,844,20190204,1515,1184.6,20190205.0,1215.0,1172.3,LSL
strategy1,BUY,1173.4368000000002,1206.558,845,20190206,1445,1182.9,20190208.0,1015.0,1212.0,LT
strategy1,BUY,1197.9391999999998,1231.752,828,20190211,1415,1207.6,20190211.0,1445.0,1193.15,LSL
strategy1,BUY,1187.5728000000001,1221.093,835,20190212,1115,1197.15,20190213.0,945.0,1225.45,LT
strategy1,BUY,1250.1184,1285.404,793,20190213,1415,1260.2,20190215.0,1115.0,1246.55,LSL
strategy1,BUY,1258.8976,1294.431,787,20190218,945,1269.05,20190222.0,945.0,1295.6,LT
strategy1,BUY,1287.0208,1323.3480000000002,770,20190222,1315,1297.4,20190225.0,1015.0,1328.25,LT
strategy1,BUY,1306.464,1343.34,759,20190227,1045,1317.0,20190227.0,1215.0,1296.3,LSL
strategy1,BUY,1279.2831999999999,1315.3919999999998,775,20190301,1145,1289.6,20190301.0,1315.0,1277.55,LSL
strategy1,BUY,1275.5631999999998,1311.567,777,20190305,1015,1285.85,20190306.0,1015.0,1315.55,LT
strategy1,BUY,1320.0544,1357.314,751,20190306,1215,1330.7,20190312.0,945.0,1368.5,LT
strategy1,BUY,1355.1712,1393.4219999999998,732,20190312,1245,1366.1,20190313.0,1015.0,1350.5,LSL
strategy1,BUY,1354.6752,1392.9119999999998,732,20190314,1345,1365.6,20190318.0,1045.0,1352.95,LSL
strategy1,BUY,1339.1008000000002,1376.8980000000001,740,20190320,1115,1349.9,20190325.0,1345.0,1336.95,LSL
