strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,29.24416,30.0696,33921,20190102,1445,29.48,20190103.0,915.0,30.15,LT
strategy1,BUY,29.82944,30.671400000000002,33255,20190103,1115,30.07,20190103.0,1445.0,29.52,LSL
strategy1,BUY,30.23616,31.0896,32808,20190104,1445,30.48,20190108.0,1145.0,30.22,LSL
strategy1,BUY,30.12704,30.9774,32927,20190109,1245,30.37,20190114.0,1015.0,30.12,LSL
strategy1,BUY,26.7344,27.489,37105,20190129,945,26.95,20190130.0,915.0,27.58,LT
strategy1,BUY,27.5776,28.356,35971,20190130,945,27.8,20190131.0,915.0,28.57,LT
strategy1,BUY,28.1728,28.968,35211,20190201,1215,28.4,20190201.0,1415.0,28.08,LSL
strategy1,BUY,26.784,27.54,37037,20190206,1415,27.0,20190207.0,945.0,27.57,LT
strategy1,BUY,27.1312,27.897000000000002,36563,20190207,1445,27.35,20190208.0,915.0,27.05,LSL
strategy1,BUY,25.97056,26.703599999999998,38197,20190212,1015,26.18,20190212.0,1445.0,25.7,LSL
strategy1,BUY,25.0976,25.806,39525,20190218,945,25.3,20190218.0,1145.0,25.03,LSL
strategy1,BUY,25.07776,25.785600000000002,39556,20190219,1015,25.28,20190220.0,915.0,25.83,LT
strategy1,BUY,25.593600000000002,26.316000000000003,38759,20190220,1515,25.8,20190221.0,1015.0,25.52,LSL
strategy1,BUY,25.57376,26.2956,38789,20190221,1345,25.78,20190222.0,1115.0,26.32,LT
strategy1,BUY,26.04,26.775,38095,20190222,1245,26.25,20190225.0,945.0,25.98,LSL
strategy1,BUY,26.119359999999997,26.856599999999997,37979,20190225,1245,26.33,20190225.0,1515.0,26.93,LT
strategy1,BUY,26.51616,27.2646,37411,20190226,1245,26.73,20190226.0,1345.0,26.5,LSL
strategy1,BUY,26.70464,27.4584,37147,20190228,1245,26.92,20190228.0,1515.0,27.53,LT
strategy1,BUY,27.6768,28.458,35842,20190301,1315,27.9,20190305.0,915.0,28.48,LT
strategy1,BUY,29.92864,30.773400000000002,33145,20190305,1445,30.17,20190306.0,945.0,30.83,LT
strategy1,BUY,30.62304,31.4874,32393,20190306,1445,30.87,20190306.0,1515.0,30.62,LSL
strategy1,BUY,29.264,30.09,33898,20190311,1045,29.5,20190311.0,1445.0,30.53,LT
strategy1,BUY,30.62304,31.4874,32393,20190312,1445,30.87,20190312.0,1515.0,30.4,LSL
strategy1,BUY,30.42464,31.2834,32605,20190313,1345,30.67,20190314.0,915.0,31.48,LT
strategy1,BUY,30.87104,31.7424,32133,20190314,1445,31.12,20190315.0,1345.0,30.83,LSL
