strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,273.17696,280.8876,3631,20190102,1015,275.38,20190102.0,1345.0,272.54,LSL
strategy1,BUY,267.344,274.89,3710,20190108,945,269.5,20190121.0,1215.0,267.08,LSL
strategy1,BUY,267.096,274.635,3714,20190122,1515,269.25,20190123.0,1345.0,264.96,LSL
strategy1,BUY,266.31232,273.82919999999996,3724,20190124,1315,268.46,20190125.0,1145.0,265.83,LSL
strategy1,BUY,262.34432,269.7492,3781,20190130,1315,264.46,20190201.0,1315.0,273.13,LT
strategy1,BUY,269.15936,276.7566,3685,20190201,1515,271.33,20190204.0,915.0,265.0,LSL
strategy1,BUY,255.27136,262.47659999999996,3886,20190206,945,257.33,20190211.0,945.0,253.04,LSL
strategy1,BUY,252.88064,260.0184,3922,20190212,1515,254.92,20190213.0,1015.0,252.5,LSL
strategy1,BUY,251.472,258.57,3944,20190213,1415,253.5,20190213.0,1545.0,250.83,LSL
strategy1,BUY,239.98463999999998,246.7584,4133,20190220,1145,241.92,20190221.0,1145.0,247.38,LT
strategy1,BUY,245.10336,252.0216,4047,20190221,1315,247.08,20190221.0,1515.0,244.83,LSL
strategy1,BUY,244.56768,251.4708,4056,20190225,1515,246.54,20190226.0,915.0,243.83,LSL
strategy1,BUY,245.06368,251.9808,4047,20190226,1145,247.04,20190227.0,1045.0,252.71,LT
strategy1,BUY,249.94432,256.99920000000003,3968,20190228,1145,251.96,20190307.0,1545.0,249.29,LSL
strategy1,BUY,250.19232,257.2542,3964,20190308,1515,252.21,20190311.0,1415.0,257.75,LT
strategy1,BUY,257.59264,264.8634,3851,20190312,1045,259.67,20190312.0,1215.0,256.21,LSL
strategy1,BUY,257.05696,264.3126,3859,20190314,1115,259.13,20190314.0,1215.0,256.58,LSL
strategy1,BUY,254.98368000000002,262.18080000000003,3890,20190315,1315,257.04,20190322.0,945.0,262.29,LT
strategy1,BUY,259.656,266.985,3820,20190322,1115,261.75,20190325.0,945.0,258.96,LSL
strategy1,BUY,260.60832,267.9642,3806,20190326,945,262.71,20190326.0,1315.0,268.0,LT
strategy1,BUY,267.17536,274.71659999999997,3712,20190326,1445,269.33,20190327.0,1045.0,266.67,LSL
strategy1,BUY,268.66336,276.2466,3692,20190327,1245,270.83,20190328.0,915.0,267.5,LSL
strategy1,BUY,268.336,275.91,3696,20190328,945,270.5,20190401.0,1415.0,275.96,LT
strategy1,BUY,275.07168,282.8358,3606,20190402,1115,277.29,20190404.0,915.0,274.08,LSL
strategy1,BUY,274.04,281.775,3619,20190404,1345,276.25,20190408.0,1115.0,273.83,LSL
strategy1,BUY,271.19295999999997,278.8476,3657,20190409,1415,273.38,20190410.0,945.0,270.0,LSL
strategy1,BUY,268.66336,276.2466,3692,20190412,945,270.83,20190415.0,1415.0,276.67,LT
strategy1,BUY,274.95264000000003,282.71340000000004,3607,20190416,1045,277.17,20190418.0,1515.0,274.08,LSL
strategy1,BUY,266.06431999999995,273.57419999999996,3728,20190424,1045,268.21,20190426.0,1245.0,266.04,LSL
strategy1,BUY,264.32831999999996,271.7892,3752,20190502,1045,266.46,20190502.0,1315.0,263.92,LSL
strategy1,BUY,251.79936,258.9066,3939,20190509,1145,253.83,20190510.0,915.0,248.79,LSL
strategy1,BUY,249.24,256.275,3980,20190513,1045,251.25,20190514.0,945.0,247.54,LSL
strategy1,BUY,246.18464,253.1334,4029,20190515,1045,248.17,20190516.0,1045.0,245.96,LSL
strategy1,BUY,245.64896,252.58259999999999,4038,20190517,1045,247.63,20190520.0,915.0,254.21,LT
strategy1,BUY,253.91232,261.0792,3906,20190520,945,255.96,20190520.0,1515.0,261.46,LT
strategy1,BUY,259.86431999999996,267.19919999999996,3817,20190521,1245,261.96,20190521.0,1545.0,259.38,LSL
strategy1,BUY,261.22335999999996,268.59659999999997,3797,20190523,1045,263.33,20190523.0,1115.0,261.08,LSL
strategy1,BUY,259.61632,266.94419999999997,3821,20190527,945,261.71,20190527.0,1445.0,259.0,LSL
strategy1,BUY,270.89536,278.54159999999996,3661,20190531,1315,273.08,20190604.0,1345.0,270.0,LSL
strategy1,BUY,273.46464000000003,281.1834,3627,20190606,1045,275.67,20190606.0,1515.0,272.67,LSL
strategy1,BUY,270.94496,278.5926,3661,20190610,1115,273.13,20190617.0,945.0,269.92,LSL
strategy1,BUY,262.80064000000004,270.21840000000003,3774,20190624,945,264.92,20190624.0,1245.0,262.63,LSL
strategy1,BUY,263.376,270.81,3766,20190625,1215,265.5,20190626.0,1515.0,262.96,LSL
strategy1,BUY,262.384,269.79,3780,20190628,1015,264.5,20190628.0,1145.0,262.17,LSL
strategy1,BUY,261.64,269.025,3791,20190628,1345,263.75,20190705.0,1345.0,259.88,LSL
strategy1,BUY,254.61664000000002,261.8034,3896,20190710,945,256.67,20190711.0,1415.0,254.33,LSL
