strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,508.896,523.26,1949,20190101,1115,513.0,20190102.0,915.0,508.6,LSL
strategy1,BUY,470.2576,483.531,2109,20190109,1445,474.05,20190115.0,1415.0,486.5,LT
strategy1,BUY,484.7904,498.474,2046,20190116,945,488.7,20190118.0,1015.0,484.4,LSL
strategy1,BUY,476.408,489.855,2082,20190122,1345,480.25,20190123.0,1415.0,491.35,LT
strategy1,BUY,481.12,494.7,2061,20190125,1115,485.0,20190125.0,1515.0,480.6,LSL
strategy1,BUY,483.0048,496.638,2053,20190129,1515,486.9,20190130.0,945.0,482.0,LSL
strategy1,BUY,483.352,496.995,2052,20190131,1115,487.25,20190201.0,1315.0,500.7,LT
strategy1,BUY,488.2624,502.044,2031,20190205,945,492.2,20190206.0,915.0,482.0,LSL
strategy1,BUY,482.7568,496.383,2054,20190207,945,486.65,20190208.0,1115.0,482.35,LSL
strategy1,BUY,478.392,491.895,2073,20190212,945,482.25,20190213.0,1345.0,477.85,LSL
strategy1,BUY,478.2928,491.79299999999995,2074,20190214,1445,482.15,20190214.0,1545.0,476.6,LSL
strategy1,BUY,462.768,475.83,2143,20190220,1315,466.5,20190221.0,1145.0,475.95,LT
strategy1,BUY,474.5728,487.96799999999996,2090,20190221,1215,478.4,20190222.0,1145.0,488.2,LT
strategy1,BUY,484.592,498.27,2047,20190222,1315,488.5,20190226.0,1215.0,507.8,LT
strategy1,BUY,509.59040000000005,523.974,1946,20190227,945,513.7,20190227.0,1145.0,508.8,LSL
strategy1,BUY,509.392,523.77,1947,20190227,1345,513.5,20190305.0,1215.0,524.85,LT
strategy1,BUY,520.8496,535.5509999999999,1904,20190305,1445,525.05,20190306.0,915.0,518.9,LSL
strategy1,BUY,515.6912,530.2470000000001,1923,20190307,1045,519.85,20190307.0,1515.0,515.4,LSL
strategy1,BUY,515.0464000000001,529.5840000000001,1926,20190311,945,519.2,20190311.0,1145.0,531.2,LT
strategy1,BUY,530.72,545.7,1869,20190311,1415,535.0,20190312.0,1215.0,530.0,LSL
strategy1,BUY,531.1664000000001,546.159,1867,20190313,1115,535.45,20190314.0,1015.0,530.85,LSL
strategy1,BUY,539.4,554.625,1839,20190315,945,543.75,20190315.0,1015.0,537.25,LSL
strategy1,BUY,532.704,547.74,1862,20190315,1445,537.0,20190318.0,1015.0,528.2,LSL
strategy1,BUY,488.7584,502.554,2029,20190326,1015,492.7,20190326.0,1145.0,488.5,LSL
strategy1,BUY,487.568,501.33,2034,20190326,1515,491.5,20190329.0,945.0,505.0,LT
strategy1,BUY,509.888,524.28,1945,20190329,1245,514.0,20190401.0,1545.0,508.3,LSL
strategy1,BUY,516.3856,530.9609999999999,1921,20190403,945,520.55,20190403.0,1015.0,515.65,LSL
strategy1,BUY,511.872,526.32,1937,20190403,1115,516.0,20190403.0,1415.0,510.55,LSL
strategy1,BUY,505.424,519.69,1962,20190404,1515,509.5,20190408.0,1215.0,503.3,LSL
strategy1,BUY,501.5552,515.712,1977,20190409,1415,505.6,20190410.0,1345.0,499.05,LSL
strategy1,BUY,496.496,510.51,1998,20190415,1045,500.5,20190415.0,1515.0,512.75,LT
strategy1,BUY,483.6992,497.35200000000003,2050,20190423,1515,487.6,20190424.0,945.0,483.65,LSL
strategy1,BUY,481.8144,495.414,2058,20190425,1145,485.7,20190425.0,1515.0,480.2,LSL
strategy1,BUY,461.032,474.045,2151,20190509,1145,464.75,20190509.0,1515.0,460.85,LSL
strategy1,BUY,453.98879999999997,466.803,2185,20190514,1415,457.65,20190515.0,1545.0,453.5,LSL
strategy1,BUY,449.47520000000003,462.16200000000003,2207,20190517,945,453.1,20190520.0,915.0,466.9,LT
strategy1,BUY,474.7712,488.172,2089,20190520,1445,478.6,20190520.0,1545.0,491.0,LT
strategy1,BUY,466.9344,480.114,2124,20190523,1015,470.7,20190523.0,1215.0,466.1,LSL
strategy1,BUY,467.43039999999996,480.62399999999997,2122,20190524,1415,471.2,20190527.0,945.0,485.0,LT
strategy1,BUY,479.53279999999995,493.068,2068,20190527,1145,483.4,20190527.0,1445.0,478.85,LSL
strategy1,BUY,485.9808,499.698,2041,20190528,945,489.9,20190528.0,1215.0,501.65,LT
strategy1,BUY,494.264,508.215,2007,20190528,1415,498.25,20190528.0,1515.0,489.0,LSL
strategy1,BUY,458.0064,470.93399999999997,2165,20190607,1015,461.7,20190607.0,1345.0,456.5,LSL
strategy1,BUY,461.47839999999997,474.50399999999996,2149,20190610,1115,465.2,20190610.0,1315.0,460.8,LSL
strategy1,BUY,461.47839999999997,474.50399999999996,2149,20190611,1015,465.2,20190611.0,1515.0,474.55,LT
strategy1,BUY,437.6208,449.97299999999996,2266,20190620,1515,441.15,20190624.0,945.0,436.05,LSL
strategy1,BUY,440.49760000000003,452.93100000000004,2251,20190626,945,444.05,20190627.0,1245.0,454.45,LT
strategy1,BUY,450.7648,463.488,2200,20190627,1445,454.4,20190628.0,1015.0,465.15,LT
strategy1,BUY,453.69120000000004,466.497,2186,20190701,1345,457.35,20190702.0,945.0,451.65,LSL
strategy1,BUY,459.59360000000004,472.56600000000003,2158,20190703,1045,463.3,20190704.0,1315.0,475.4,LT
strategy1,BUY,456.816,469.71,2171,20190711,1215,460.5,20190717.0,945.0,470.8,LT
strategy1,BUY,432.512,444.72,2293,20190725,945,436.0,20190725.0,1045.0,431.2,LSL
strategy1,BUY,433.8512,446.09700000000004,2286,20190726,1315,437.35,20190729.0,945.0,428.25,LSL
strategy1,BUY,419.7648,431.613,2363,20190805,1215,423.15,20190805.0,1515.0,417.8,LSL
strategy1,BUY,420.4592,432.327,2359,20190807,1015,423.85,20190807.0,1045.0,418.65,LSL
strategy1,BUY,409.7456,421.31100000000004,2421,20190808,1445,413.05,20190809.0,945.0,421.75,LT
strategy1,BUY,422.4928,434.41799999999995,2347,20190809,1215,425.9,20190809.0,1345.0,421.65,LSL
strategy1,BUY,421.74879999999996,433.65299999999996,2352,20190809,1445,425.15,20190809.0,1545.0,435.0,LT
strategy1,BUY,396.8496,408.051,2499,20190816,1145,400.05,20190816.0,1345.0,396.65,LSL
strategy1,BUY,397.8416,409.071,2493,20190819,1145,401.05,20190819.0,1515.0,396.2,LSL
strategy1,BUY,391.344,402.39,2534,20190821,1245,394.5,20190821.0,1345.0,390.4,LSL
strategy1,BUY,382.0192,392.802,2596,20190823,1315,385.1,20190823.0,1445.0,393.5,LT
strategy1,BUY,388.864,399.84,2551,20190826,1345,392.0,20190826.0,1445.0,388.85,LSL
strategy1,BUY,390.8976,401.93100000000004,2537,20190827,1015,394.05,20190827.0,1245.0,402.15,LT
strategy1,BUY,396.45279999999997,407.643,2502,20190828,1115,399.65,20190828.0,1145.0,393.75,LSL
strategy1,BUY,381.87039999999996,392.649,2597,20190830,1515,384.95,20190903.0,915.0,380.5,LSL
strategy1,BUY,381.92,392.7,2597,20190903,1315,385.0,20190903.0,1545.0,380.15,LSL
strategy1,BUY,385.0944,395.964,2575,20190905,945,388.2,20190905.0,1045.0,397.0,LT
strategy1,BUY,391.98879999999997,403.053,2530,20190905,1315,395.15,20190911.0,915.0,403.3,LT
strategy1,BUY,400.96639999999996,412.284,2474,20190911,1015,404.2,20190911.0,1415.0,412.5,LT
strategy1,BUY,406.0752,417.53700000000003,2442,20190913,1245,409.35,20190917.0,945.0,405.95,LSL
strategy1,BUY,402.5536,413.916,2464,20190919,945,405.8,20190919.0,1015.0,401.05,LSL
strategy1,BUY,406.2736,417.741,2441,20190920,1115,409.55,20190920.0,1215.0,431.45,LT
strategy1,BUY,421.40160000000003,433.296,2354,20190920,1515,424.8,20190923.0,915.0,446.8,LT
strategy1,BUY,449.624,462.315,2206,20190923,1515,453.25,20190924.0,1445.0,463.8,LT
strategy1,BUY,453.5424,466.344,2187,20190926,1245,457.2,20190926.0,1445.0,450.0,LSL
strategy1,BUY,447.1936,459.81600000000003,2218,20190930,1315,450.8,20190930.0,1345.0,445.2,LSL
strategy1,BUY,449.376,462.06,2207,20191001,1115,453.0,20191001.0,1215.0,446.7,LSL
strategy1,BUY,428.1968,440.28299999999996,2316,20191009,1215,431.65,20191010.0,945.0,427.75,LSL
strategy1,BUY,423.584,435.54,2341,20191014,945,427.0,20191016.0,945.0,437.1,LT
strategy1,BUY,433.1568,445.383,2290,20191016,1145,436.65,20191017.0,1515.0,457.55,LT
strategy1,BUY,448.7312,461.39700000000005,2210,20191018,945,452.35,20191018.0,1015.0,448.2,LSL
strategy1,BUY,450.368,463.08,2202,20191022,1015,454.0,20191022.0,1315.0,447.2,LSL
strategy1,BUY,450.96320000000003,463.692,2199,20191023,1345,454.6,20191024.0,1015.0,466.9,LT
strategy1,BUY,468.2736,481.491,2118,20191029,945,472.05,20191029.0,1115.0,465.9,LSL
strategy1,BUY,462.4208,475.47299999999996,2145,20191029,1215,466.15,20191030.0,945.0,459.4,LSL
strategy1,BUY,452.55039999999997,465.324,2192,20191101,1315,456.2,20191105.0,915.0,474.2,LT
strategy1,BUY,461.9248,474.96299999999997,2147,20191106,1315,465.65,20191107.0,945.0,461.15,LSL
strategy1,BUY,466.488,479.655,2126,20191107,1215,470.25,20191107.0,1345.0,466.15,LSL
strategy1,BUY,464.2064,477.30899999999997,2136,20191107,1445,467.95,20191108.0,915.0,463.3,LSL
strategy1,BUY,433.9504,446.199,2285,20191114,1415,437.45,20191115.0,1115.0,431.3,LSL
strategy1,BUY,434.6944,446.964,2282,20191115,1345,438.2,20191118.0,915.0,447.75,LT
strategy1,BUY,446.00320000000005,458.59200000000004,2224,20191118,1045,449.6,20191118.0,1445.0,446.0,LSL
strategy1,BUY,446.9456,459.56100000000004,2219,20191119,1045,450.55,20191120.0,945.0,461.75,LT
strategy1,BUY,455.4272,468.28200000000004,2178,20191120,1215,459.1,20191121.0,945.0,454.8,LSL
strategy1,BUY,449.1776,461.856,2208,20191122,1045,452.8,20191125.0,945.0,447.0,LSL
strategy1,BUY,457.6592,470.577,2167,20191127,945,461.35,20191128.0,915.0,470.6,LT
strategy1,BUY,462.272,475.32,2145,20191129,1315,466.0,20191202.0,915.0,461.85,LSL
strategy1,BUY,462.0736,475.116,2146,20191202,1145,465.8,20191203.0,1045.0,456.75,LSL
strategy1,BUY,443.02720000000005,455.53200000000004,2239,20191206,945,446.6,20191206.0,1145.0,442.1,LSL
strategy1,BUY,444.912,457.47,2229,20191209,1115,448.5,20191210.0,1045.0,444.75,LSL
strategy1,BUY,438.96,451.35,2259,20191212,1045,442.5,20191213.0,915.0,453.2,LT
strategy1,BUY,460.7344,473.739,2153,20191213,1345,464.45,20191217.0,915.0,474.95,LT
strategy1,BUY,472.0432,485.367,2101,20191217,1015,475.85,20191217.0,1545.0,489.0,LT
