strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,287.37248,295.4838,3451,20190101,1215,289.69,20190101,1545,295.52,LT
strategy1,BUY,285.68608,293.7498,3472,20190103,1515,287.99,20190104,1315,296.16,LT
strategy1,BUY,297.52064,305.9184,3334,20190107,1015,299.92,20190107,1145,296.07,LSL
strategy1,BUY,295.70527999999996,304.05179999999996,3354,20190107,1315,298.09,20190109,915,304.42,LT
strategy1,BUY,300.66528,309.1518,3299,20190109,1145,303.09,20190110,1515,310.3,LT
strategy1,BUY,301.80608,310.3248,3286,20190115,1315,304.24,20190115,1515,311.13,LT
strategy1,BUY,310.31744,319.0764,3196,20190116,945,312.82,20190116,1345,310.25,LSL
strategy1,BUY,281.53952,289.4862,3523,20190125,1245,283.81,20190125,1415,279.45,LSL
strategy1,BUY,278.12704,285.9774,3566,20190128,1415,280.37,20190130,1015,286.47,LT
strategy1,BUY,281.99584,289.9554,3517,20190130,1215,284.27,20190130,1445,278.02,LSL
strategy1,BUY,287.7792,295.90200000000004,3447,20190201,945,290.1,20190201,1045,287.34,LSL
strategy1,BUY,278.39488,286.2528,3563,20190206,1345,280.64,20190207,1115,287.21,LT
strategy1,BUY,285.40832,293.4642,3475,20190207,1345,287.71,20190207,1545,284.64,LSL
strategy1,BUY,285.63648,293.6988,3472,20190208,1445,287.94,20190212,1445,285.19,LSL
strategy1,BUY,284.35679999999996,292.383,3488,20190213,1445,286.65,20190214,915,281.93,LSL
strategy1,BUY,277.58144,285.4164,3573,20190215,1415,279.82,20190218,945,275.96,LSL
strategy1,BUY,283.82112,291.8322,3495,20190219,945,286.11,20190219,1345,283.03,LSL
strategy1,BUY,282.40256,290.3736,3512,20190220,1515,284.68,20190221,915,279.13,LSL
strategy1,BUY,284.13856,292.1586,3491,20190222,945,286.43,20190226,1245,292.17,LT
strategy1,BUY,289.32672,297.4932,3428,20190226,1415,291.66,20190226,1515,289.23,LSL
strategy1,BUY,289.83264,298.0134,3422,20190227,1015,292.17,20190227,1215,289.04,LSL
strategy1,BUY,291.28096,299.5026,3405,20190227,1445,293.63,20190228,1515,291.2,LSL
strategy1,BUY,283.13664,291.1284,3503,20190306,945,285.42,20190307,945,283.08,LSL
strategy1,BUY,283.63264000000004,291.6384,3497,20190308,945,285.92,20190308,1115,283.63,LSL
strategy1,BUY,281.85696,289.8126,3519,20190308,1415,284.13,20190311,1145,293.82,LT
strategy1,BUY,303.72064,312.2934,3266,20190312,945,306.17,20190312,1045,315.17,LT
strategy1,BUY,318.8784,327.87899999999996,3110,20190312,1445,321.45,20190313,1015,314.98,LSL
strategy1,BUY,310.86304,319.6374,3191,20190314,1415,313.37,20190315,1015,309.33,LSL
strategy1,BUY,306.95456,315.6186,3231,20190319,1215,309.43,20190320,1015,306.31,LSL
strategy1,BUY,302.12352,310.6512,3283,20190327,945,304.56,20190327,1145,301.85,LSL
strategy1,BUY,300.07008,308.5398,3305,20190327,1215,302.49,20190327,1415,297.54,LSL
strategy1,BUY,298.06624000000005,306.47940000000006,3328,20190328,1445,300.47,20190329,1045,308.6,LT
strategy1,BUY,303.58176,312.1506,3267,20190329,1315,306.03,20190401,1015,313.47,LT
strategy1,BUY,309.36512,318.0972,3206,20190401,1145,311.86,20190402,1015,320.08,LT
strategy1,BUY,324.93952,334.1112,3052,20190402,1515,327.56,20190403,1215,324.35,LSL
strategy1,BUY,323.65984,332.7954,3064,20190404,1215,326.27,20190409,945,322.56,LSL
strategy1,BUY,321.88416,330.9696,3081,20190410,945,324.48,20190410,1245,321.73,LSL
strategy1,BUY,313.65056,322.5036,3162,20190415,1415,316.18,20190416,1315,313.1,LSL
strategy1,BUY,315.83296,324.7476,3140,20190416,1415,318.38,20190418,945,314.89,LSL
strategy1,BUY,313.4224,322.269,3165,20190418,1315,315.95,20190422,915,312.0,LSL
strategy1,BUY,317.06304,326.0124,3128,20190422,1315,319.62,20190423,1515,316.75,LSL
strategy1,BUY,316.89439999999996,325.839,3130,20190424,1015,319.45,20190425,1015,325.85,LT
strategy1,BUY,325.128,334.305,3051,20190425,1115,327.75,20190426,1115,323.65,LSL
