strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,72.86240000000001,74.919,13614,20190101,1115,73.45,20190102,1345,72.85,LSL
strategy1,BUY,70.72959999999999,72.726,14025,20190104,1515,71.3,20190107,1245,72.8,LT
strategy1,BUY,71.92,73.95,13793,20190107,1415,72.5,20190108,915,71.85,LSL
strategy1,BUY,68.2496,70.176,14534,20190115,945,68.8,20190115,1045,68.15,LSL
strategy1,BUY,67.704,69.615,14652,20190115,1515,68.25,20190117,1515,70.3,LT
strategy1,BUY,70.03519999999999,72.012,14164,20190118,1045,70.6,20190121,1315,72.15,LT
strategy1,BUY,70.77919999999999,72.777,14015,20190122,1515,71.35,20190123,1245,70.55,LSL
strategy1,BUY,64.232,66.045,15444,20190131,1445,64.75,20190201,1445,63.9,LSL
strategy1,BUY,64.38080000000001,66.19800000000001,15408,20190204,1445,64.9,20190205,945,63.95,LSL
strategy1,BUY,60.3632,62.067,16433,20190206,1515,60.85,20190207,1515,62.15,LT
strategy1,BUY,62.1984,63.954,15948,20190208,945,62.7,20190208,1015,62.1,LSL
strategy1,BUY,62.248,64.005,15936,20190208,1215,62.75,20190208,1545,62.1,LSL
strategy1,BUY,62.1488,63.903,15961,20190211,1145,62.65,20190212,1015,62.05,LSL
strategy1,BUY,60.9088,62.628,16286,20190214,1145,61.4,20190219,1315,62.7,LT
strategy1,BUY,62.1984,63.954,15948,20190220,945,62.7,20190220,1415,62.1,LSL
strategy1,BUY,62.1488,63.903,15961,20190220,1515,62.65,20190222,1145,63.95,LT
strategy1,BUY,63.2896,65.076,15673,20190222,1345,63.8,20190226,1015,62.95,LSL
strategy1,BUY,64.62880000000001,66.453,15349,20190226,1415,65.15,20190228,945,64.6,LSL
strategy1,BUY,65.0256,66.86099999999999,15255,20190301,945,65.55,20190305,1015,67.3,LT
strategy1,BUY,67.1088,69.003,14781,20190305,1445,67.65,20190306,1015,69.45,LT
strategy1,BUY,68.2496,70.176,14534,20190311,945,68.8,20190311,1515,70.25,LT
strategy1,BUY,68.2496,70.176,14534,20190318,945,68.8,20190318,1015,68.1,LSL
strategy1,BUY,67.60480000000001,69.513,14673,20190319,1215,68.15,20190320,945,71.4,LT
strategy1,BUY,70.72959999999999,72.726,14025,20190326,1245,71.3,20190329,945,72.8,LT
strategy1,BUY,74.49919999999999,76.60199999999999,13315,20190329,1345,75.1,20190401,1215,77.05,LT
strategy1,BUY,72.4656,74.511,13689,20190410,945,73.05,20190410,1415,72.3,LSL
strategy1,BUY,72.21759999999999,74.256,13736,20190411,1215,72.8,20190411,1515,74.55,LT
