strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,312.232,321.045,3177,20190102,1015,314.75,20190102.0,1215.0,312.08,LSL
strategy1,BUY,305.41696,314.0376,3248,20190104,1445,307.88,20190108.0,1145.0,314.35,LT
strategy1,BUY,312.1328,320.943,3178,20190108,1345,314.65,20190110.0,1015.0,311.25,LSL
strategy1,BUY,315.8032,324.71700000000004,3141,20190111,945,318.35,20190116.0,945.0,326.65,LT
strategy1,BUY,323.392,332.52,3067,20190116,1215,326.0,20190118.0,945.0,334.53,LT
strategy1,BUY,328.7984,338.079,3017,20190121,1345,331.45,20190123.0,945.0,338.23,LT
strategy1,BUY,332.59776,341.9856,2982,20190123,1515,335.28,20190125.0,945.0,329.1,LSL
strategy1,BUY,334.87935999999996,344.3316,2962,20190125,1245,337.58,20190125.0,1345.0,331.88,LSL
strategy1,BUY,322.97535999999997,332.09159999999997,3071,20190131,1345,325.58,20190201.0,1515.0,332.5,LT
strategy1,BUY,323.5408,332.673,3066,20190207,1245,326.15,20190211.0,1215.0,323.35,LSL
strategy1,BUY,318.16416000000004,327.1446,3117,20190214,1515,320.73,20190215.0,1015.0,312.23,LSL
strategy1,BUY,306.47839999999997,315.12899999999996,3236,20190219,1045,308.95,20190220.0,945.0,305.6,LSL
strategy1,BUY,306.3296,314.976,3238,20190220,1445,308.8,20190226.0,915.0,304.73,LSL
strategy1,BUY,307.84736,316.53659999999996,3222,20190226,1415,310.33,20190227.0,1445.0,306.38,LSL
strategy1,BUY,309.7024,318.44399999999996,3203,20190228,1245,312.2,20190307.0,915.0,307.13,LSL
strategy1,BUY,306.28,314.925,3238,20190308,1045,308.75,20190312.0,1045.0,316.83,LT
strategy1,BUY,314.712,323.595,3152,20190312,1245,317.25,20190313.0,1015.0,313.33,LSL
strategy1,BUY,308.16479999999996,316.863,3219,20190315,945,310.65,20190320.0,1045.0,317.23,LT
strategy1,BUY,304.31584,312.9054,3259,20190327,1015,306.77,20190327.0,1345.0,303.0,LSL
strategy1,BUY,303.38336,311.9466,3269,20190329,945,305.83,20190408.0,1515.0,303.08,LSL
strategy1,BUY,303.304,311.865,3270,20190409,1045,305.75,20190410.0,1045.0,313.2,LT
strategy1,BUY,313.4224,322.269,3165,20190410,1215,315.95,20190412.0,1145.0,312.9,LSL
strategy1,BUY,309.504,318.24,3205,20190416,1245,312.0,20190418.0,945.0,308.15,LSL
strategy1,BUY,304.06784,312.6504,3262,20190423,1345,306.52,20190430.0,945.0,302.08,LSL
strategy1,BUY,272.92896,280.63259999999997,3634,20190507,1015,275.13,20190508.0,1045.0,272.8,LSL
strategy1,BUY,267.82016000000004,275.37960000000004,3703,20190510,1015,269.98,20190513.0,915.0,267.13,LSL
strategy1,BUY,265.24096,272.7276,3739,20190514,1415,267.38,20190514.0,1515.0,264.95,LSL
strategy1,BUY,265.5584,273.054,3735,20190515,1015,267.7,20190515.0,1545.0,264.43,LSL
strategy1,BUY,263.128,270.555,3770,20190521,945,265.25,20190521.0,1045.0,262.23,LSL
strategy1,BUY,260.152,267.495,3813,20190521,1145,262.25,20190521.0,1515.0,259.65,LSL
strategy1,BUY,260.33056,267.6786,3810,20190523,1015,262.43,20190523.0,1145.0,258.75,LSL
strategy1,BUY,265.50879999999995,273.003,3736,20190524,1415,267.65,20190527.0,1015.0,273.55,LT
strategy1,BUY,273.81183999999996,281.5404,3622,20190527,1315,276.02,20190528.0,1115.0,273.68,LSL
strategy1,BUY,271.39135999999996,279.0516,3655,20190529,1345,273.58,20190529.0,1515.0,269.98,LSL
strategy1,BUY,269.7744,277.389,3677,20190603,1145,271.95,20190603.0,1415.0,279.2,LT
strategy1,BUY,272.28416000000004,279.9696,3643,20190606,1045,274.48,20190606.0,1245.0,272.15,LSL
strategy1,BUY,263.70336,271.1466,3761,20190610,1345,265.83,20190611.0,945.0,263.38,LSL
strategy1,BUY,263.1776,270.606,3769,20190611,1215,265.3,20190611.0,1445.0,270.9,LT
strategy1,BUY,245.0736,251.991,4047,20190618,1215,247.05,20190618.0,1345.0,244.65,LSL
strategy1,BUY,243.536,250.41,4073,20190619,945,245.5,20190619.0,1515.0,250.8,LT
strategy1,BUY,248.3472,255.357,3994,20190620,945,250.35,20190624.0,915.0,248.15,LSL
strategy1,BUY,248.0,255.0,4000,20190626,1015,250.0,20190627.0,1515.0,247.7,LSL
strategy1,BUY,249.2896,256.326,3979,20190628,1315,251.3,20190703.0,1245.0,249.25,LSL
strategy1,BUY,239.7168,246.483,4138,20190709,1115,241.65,20190710.0,1145.0,246.75,LT
strategy1,BUY,244.1312,251.022,4063,20190710,1345,246.1,20190711.0,1015.0,251.05,LT
strategy1,BUY,248.7936,255.816,3987,20190711,1145,250.8,20190716.0,1245.0,255.9,LT
strategy1,BUY,255.0432,262.242,3889,20190716,1315,257.1,20190717.0,1045.0,263.15,LT
strategy1,BUY,260.25120000000004,267.59700000000004,3811,20190717,1345,262.35,20190719.0,1015.0,257.25,LSL
strategy1,BUY,237.6832,244.392,4173,20190725,1445,239.6,20190726.0,915.0,247.6,LT
strategy1,BUY,242.5936,249.441,4089,20190726,1215,244.55,20190726.0,1315.0,242.35,LSL
strategy1,BUY,227.2176,233.631,4365,20190807,945,229.05,20190807.0,1315.0,226.65,LSL
strategy1,BUY,228.50719999999998,234.957,4341,20190808,1245,230.35,20190809.0,1415.0,228.45,LSL
strategy1,BUY,230.144,236.64,4310,20190813,1045,232.0,20190813.0,1115.0,227.85,LSL
strategy1,BUY,222.8032,229.09199999999998,4452,20190821,1145,224.6,20190821.0,1415.0,219.5,LSL
strategy1,BUY,221.81119999999999,228.072,4472,20190827,1015,223.6,20190827.0,1415.0,228.8,LT
strategy1,BUY,224.3408,230.673,4421,20190829,1245,226.15,20190830.0,1215.0,231.15,LT
strategy1,BUY,230.5904,237.099,4302,20190830,1315,232.45,20190903.0,915.0,229.5,LSL
strategy1,BUY,227.664,234.09,4357,20190904,1315,229.5,20190906.0,1115.0,234.4,LT
strategy1,BUY,233.616,240.21,4246,20190906,1345,235.5,20190909.0,1415.0,232.85,LSL
strategy1,BUY,233.2192,239.802,4253,20190911,1045,235.1,20190912.0,1515.0,232.85,LSL
