strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,19499.545599999998,20049.935999999998,50,20190103,945,19656.8,20190103.0,1045.0,19490.2,LSL
strategy1,BUY,19251.0496,19794.426,51,20190104,1515,19406.3,20190114.0,1445.0,19226.1,LSL
strategy1,BUY,19029.139199999998,19566.251999999997,52,20190117,1515,19182.6,20190124.0,1045.0,18980.1,LSL
strategy1,BUY,19046.995199999998,19584.611999999997,52,20190124,1515,19200.6,20190125.0,945.0,18964.7,LSL
strategy1,BUY,18233.5552,18748.212,54,20190130,1145,18380.6,20190131.0,1345.0,18763.9,LT
strategy1,BUY,18695.331199999997,19223.021999999997,53,20190131,1515,18846.1,20190201.0,1515.0,19329.7,LT
strategy1,BUY,19209.9808,19752.198,51,20190204,1015,19364.9,20190204.0,1145.0,19066.1,LSL
strategy1,BUY,18908.8096,19442.525999999998,52,20190205,1245,19061.3,20190208.0,1545.0,18882.5,LSL
strategy1,BUY,18545.44,19068.9,53,20190213,1245,18695.0,20190213.0,1315.0,17951.3,LSL
strategy1,BUY,17986.944,18494.64,55,20190215,1415,18132.0,20190218.0,945.0,17862.2,LSL
strategy1,BUY,17632.8,18130.5,56,20190219,1245,17775.0,20190220.0,1515.0,18190.0,LT
strategy1,BUY,17991.1104,18498.924,55,20190221,1315,18136.2,20190221.0,1445.0,17930.3,LSL
strategy1,BUY,18174.630400000002,18687.624,54,20190225,1345,18321.2,20190226.0,945.0,18169.9,LSL
strategy1,BUY,18266.4896,18782.076,54,20190226,1115,18413.8,20190226.0,1445.0,18794.7,LT
strategy1,BUY,18709.12,19237.2,53,20190227,945,18860.0,20190227.0,1445.0,18655.2,LSL
strategy1,BUY,18971.8016,19507.296,52,20190228,1015,19124.8,20190228.0,1545.0,18960.0,LSL
strategy1,BUY,18760.6048,19290.138000000003,52,20190305,1345,18911.9,20190307.0,945.0,18629.9,LSL
strategy1,BUY,18467.072,18988.32,53,20190311,945,18616.0,20190311.0,1215.0,19023.0,LT
strategy1,BUY,18884.704,19417.74,52,20190311,1445,19037.0,20190313.0,1015.0,18800.0,LSL
strategy1,BUY,18465.484800000002,18986.688000000002,53,20190315,1315,18614.4,20190315.0,1445.0,18445.1,LSL
strategy1,BUY,18350.2144,18868.164,54,20190318,1515,18498.2,20190322.0,1415.0,18314.9,LSL
strategy1,BUY,18074.1408,18584.298000000003,54,20190326,1515,18219.9,20190327.0,1315.0,18030.2,LSL
strategy1,BUY,17877.6256,18382.236,55,20190329,1145,18021.8,20190404.0,1045.0,17832.1,LSL
strategy1,BUY,17847.7664,18351.534,55,20190405,945,17991.7,20190409.0,945.0,17826.2,LSL
strategy1,BUY,17697.28,18196.8,56,20190411,945,17840.0,20190416.0,1245.0,18325.0,LT
strategy1,BUY,18108.96,18620.1,54,20190416,1445,18255.0,20190418.0,1045.0,18090.0,LSL
strategy1,BUY,18092.8896,18603.576,54,20190418,1415,18238.8,20190418.0,1545.0,18071.6,LSL
strategy1,BUY,17919.984,18425.79,55,20190424,1315,18064.5,20190425.0,1545.0,17916.6,LSL
strategy1,BUY,17882.5856,18387.336,55,20190426,1515,18026.8,20190502.0,945.0,17779.9,LSL
strategy1,BUY,17884.668800000003,18389.478000000003,55,20190503,1015,18028.9,20190507.0,1515.0,17678.1,LSL
strategy1,BUY,17140.5696,17624.376,57,20190510,1145,17278.8,20190514.0,915.0,17101.1,LSL
strategy1,BUY,16852.4928,17328.168,58,20190515,1015,16988.4,20190520.0,915.0,17510.6,LT
strategy1,BUY,17310.4,17799.0,57,20190520,1145,17450.0,20190522.0,945.0,17282.9,LSL
strategy1,BUY,16745.0592,17217.701999999997,59,20190524,1215,16880.1,20190530.0,1045.0,17218.1,LT
strategy1,BUY,17139.776,17623.56,57,20190530,1115,17278.0,20190531.0,1145.0,17649.8,LT
strategy1,BUY,17511.9744,18006.264,56,20190531,1245,17653.2,20190603.0,1145.0,17461.7,LSL
strategy1,BUY,17092.16,17574.6,58,20190610,945,17230.0,20190610.0,1445.0,17090.9,LSL
strategy1,BUY,16298.4608,16758.498000000003,60,20190620,1415,16429.9,20190704.0,1145.0,16793.2,LT
