strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,180.37536,185.4666,5499,20190101,945,181.83,20190102.0,945.0,180.13,LSL
strategy1,BUY,175.832,180.795,5641,20190104,945,177.25,20190107.0,1015.0,181.13,LT
strategy1,BUY,167.5984,172.32899999999998,5918,20190111,1315,168.95,20190114.0,945.0,167.48,LSL
strategy1,BUY,168.9376,173.70600000000002,5871,20190115,945,170.3,20190116.0,1415.0,174.28,LT
strategy1,BUY,173.352,178.245,5722,20190117,945,174.75,20190118.0,945.0,178.38,LT
strategy1,BUY,177.15136,182.1516,5599,20190122,945,178.58,20190122.0,1445.0,177.0,LSL
strategy1,BUY,176.90336000000002,181.8966,5607,20190123,1145,178.33,20190128.0,945.0,175.43,LSL
strategy1,BUY,170.7232,175.542,5810,20190131,1045,172.1,20190201.0,1115.0,170.55,LSL
strategy1,BUY,168.2928,173.043,5894,20190205,1345,169.65,20190211.0,915.0,166.93,LSL
strategy1,BUY,167.62815999999998,172.3596,5917,20190212,945,168.98,20190213.0,945.0,167.25,LSL
strategy1,BUY,162.2912,166.87199999999999,6112,20190215,1315,163.6,20190218.0,1145.0,162.25,LSL
strategy1,BUY,162.73760000000001,167.33100000000002,6095,20190218,1315,164.05,20190219.0,1215.0,167.93,LT
strategy1,BUY,169.41376,174.1956,5855,20190220,945,170.78,20190220.0,1415.0,168.93,LSL
strategy1,BUY,170.15776,174.9606,5829,20190220,1515,171.53,20190220.0,1545.0,170.0,LSL
strategy1,BUY,167.38016,172.10459999999998,5926,20190226,1515,168.73,20190227.0,1015.0,167.18,LSL
strategy1,BUY,165.04896,169.70759999999999,6010,20190228,1215,166.38,20190301.0,945.0,169.75,LT
strategy1,BUY,168.66976,173.4306,5881,20190301,1015,170.03,20190301.0,1515.0,173.6,LT
strategy1,BUY,177.32,182.325,5594,20190305,1345,178.75,20190306.0,945.0,183.05,LT
strategy1,BUY,182.30976,187.4556,5441,20190306,1145,183.78,20190307.0,945.0,187.58,LT
strategy1,BUY,185.18656000000001,190.4136,5356,20190307,1245,186.68,20190307.0,1515.0,184.8,LSL
strategy1,BUY,187.2896,192.57600000000002,5296,20190311,945,188.8,20190311.0,1345.0,193.63,LT
strategy1,BUY,191.952,197.37,5167,20190311,1515,193.5,20190313.0,1015.0,191.48,LSL
strategy1,BUY,194.432,199.92,5102,20190313,1215,196.0,20190313.0,1315.0,193.75,LSL
strategy1,BUY,194.01536000000002,199.4916,5112,20190313,1445,195.58,20190314.0,915.0,192.63,LSL
strategy1,BUY,193.04319999999998,198.492,5138,20190314,1145,194.6,20190318.0,915.0,201.48,LT
strategy1,BUY,200.56256000000002,206.2236,4946,20190318,1115,202.18,20190320.0,945.0,199.25,LSL
strategy1,BUY,190.29536000000002,195.66660000000002,5212,20190325,1515,191.83,20190326.0,1115.0,188.68,LSL
strategy1,BUY,190.216,195.585,5215,20190326,1415,191.75,20190327.0,1115.0,189.5,LSL
strategy1,BUY,190.3152,195.68699999999998,5212,20190328,1115,191.85,20190329.0,945.0,196.25,LT
strategy1,BUY,193.2416,198.696,5133,20190329,1215,194.8,20190329.0,1515.0,198.78,LT
strategy1,BUY,177.94496,182.9676,5574,20190405,1245,179.38,20190408.0,915.0,175.75,LSL
strategy1,BUY,175.6832,180.642,5646,20190409,1145,177.1,20190411.0,945.0,181.65,LT
strategy1,BUY,179.99839999999998,185.07899999999998,5511,20190411,1115,181.45,20190412.0,1415.0,179.25,LSL
strategy1,BUY,178.39136000000002,183.4266,5560,20190416,1415,179.83,20190418.0,945.0,178.28,LSL
strategy1,BUY,179.304,184.365,5532,20190418,1145,180.75,20190422.0,915.0,176.23,LSL
strategy1,BUY,170.9216,175.746,5803,20190424,1215,172.3,20190425.0,945.0,177.05,LT
strategy1,BUY,177.89536,182.91660000000002,5576,20190425,1315,179.33,20190425.0,1445.0,177.85,LSL
strategy1,BUY,177.6672,182.682,5583,20190425,1515,179.1,20190426.0,945.0,182.7,LT
strategy1,BUY,183.89696,189.0876,5394,20190426,1515,185.38,20190430.0,915.0,191.2,LT
strategy1,BUY,185.9504,191.19899999999998,5334,20190430,1045,187.45,20190503.0,915.0,191.55,LT
strategy1,BUY,190.712,196.095,5201,20190503,1015,192.25,20190503.0,1315.0,189.63,LSL
strategy1,BUY,191.6048,197.013,5177,20190506,945,193.15,20190507.0,945.0,188.25,LSL
strategy1,BUY,189.32319999999999,194.667,5239,20190508,1145,190.85,20190508.0,1545.0,188.2,LSL
strategy1,BUY,178.93696,183.9876,5543,20190514,1445,180.38,20190515.0,1545.0,178.8,LSL
strategy1,BUY,179.8992,184.977,5514,20190516,1245,181.35,20190516.0,1515.0,188.53,LT
strategy1,BUY,186.6448,191.913,5314,20190517,1345,188.15,20190517.0,1445.0,186.08,LSL
strategy1,BUY,194.432,199.92,5102,20190520,1415,196.0,20190521.0,915.0,193.18,LSL
strategy1,BUY,188.8768,194.208,5252,20190522,945,190.4,20190523.0,915.0,195.1,LT
strategy1,BUY,194.184,199.665,5108,20190523,945,195.75,20190523.0,1045.0,203.03,LT
strategy1,BUY,198.896,204.51,4987,20190523,1315,200.5,20190523.0,1345.0,197.78,LSL
strategy1,BUY,195.82080000000002,201.348,5065,20190524,1415,197.4,20190527.0,915.0,194.7,LSL
strategy1,BUY,196.59456,202.14360000000002,5045,20190527,1045,198.18,20190528.0,1045.0,202.28,LT
strategy1,BUY,201.1776,206.85600000000002,4930,20190528,1145,202.8,20190528.0,1515.0,200.45,LSL
strategy1,BUY,199.52096,205.1526,4971,20190530,945,201.13,20190531.0,915.0,208.8,LT
strategy1,BUY,205.8896,211.70100000000002,4818,20190603,1215,207.55,20190604.0,1245.0,205.58,LSL
strategy1,BUY,199.392,205.02,4975,20190607,1415,201.0,20190610.0,945.0,197.35,LSL
strategy1,BUY,192.72576,198.1656,5147,20190612,1015,194.28,20190612.0,1115.0,192.58,LSL
strategy1,BUY,192.52736000000002,197.9616,5152,20190613,1115,194.08,20190613.0,1245.0,192.43,LSL
strategy1,BUY,192.29919999999998,197.727,5158,20190613,1415,193.85,20190617.0,915.0,192.1,LSL
strategy1,BUY,190.81119999999999,196.197,5198,20190618,1245,192.35,20190619.0,1115.0,190.6,LSL
strategy1,BUY,190.96,196.35,5194,20190620,1115,192.5,20190621.0,915.0,189.7,LSL
strategy1,BUY,191.88256,197.2986,5169,20190621,1245,193.43,20190621.0,1415.0,191.35,LSL
strategy1,BUY,191.68416,197.09459999999999,5175,20190625,945,193.23,20190627.0,945.0,198.15,LT
strategy1,BUY,196.04896,201.58259999999999,5059,20190628,1015,197.63,20190628.0,1545.0,195.75,LSL
strategy1,BUY,189.5712,194.922,5232,20190703,1115,191.1,20190705.0,945.0,187.98,LSL
