strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
23900CE_23700PE,23900,23700,SELL,73.5,0,-150,20241219,1102,61.25,53.95,7.3,23943.3,43.29999999999927,10.65000000000073,0,7.3,20241219,1138,73.5,SSL,106.1,4.85,23996.6,96.59999999999854,9.50000000000145,0,4.85,-7994.999999999891,172.49999999989214,0,367.5,-1837.5
23900CE_23750PE,23900,23750,SELL,75.42,0,-150,20241219,1102,62.85,53.95,8.9,23943.3,43.29999999999927,10.65000000000073,0,8.9,20241219,1138,75.42,SSL,106.1,5.65,23996.6,96.59999999999854,9.50000000000145,0,5.65,-7994.999999999891,172.49999999989214,0,487.5,-1885.5
23900CE_23800PE,23900,23800,SELL,79.2,0,-75,20241219,1102,66.0,53.95,12.05,23943.3,43.29999999999927,10.65000000000073,0,12.05,20241219,1138,79.2,SSL,106.1,6.7,23996.6,96.59999999999854,9.50000000000145,0,6.7,-3997.4999999999454,86.24999999994607,0,401.25000000000006,-990.0000000000002
23900CE_23850PE,23900,23850,SELL,84.0,0,-75,20241219,1102,70.0,53.95,16.05,23943.3,43.29999999999927,10.65000000000073,0,16.05,20241219,1138,84.0,SSL,106.1,8.45,23996.6,96.59999999999854,9.50000000000145,0,8.45,-3997.4999999999454,86.24999999994607,0,570.0000000000001,-1050.0
23950CE_23500PE,23950,23500,SELL,67.8,0,-150,20241219,927,56.5,46.9,9.6,23906.15,0.0,46.9,0,9.6,20241219,928,67.8,SSL,55.8,12.4,23901.55,0.0,55.8,0,12.4,0.0,-1334.9999999999998,0,-420.0000000000001,-1694.9999999999995
23950CE_23500PE,23950,23500,SELL,67.98,0,-150,20241219,929,56.65,44.65,12.0,23885.7,0.0,44.65,0,12.0,20241219,943,67.98,SSL,61.15,6.9,23975.95,25.950000000000728,35.19999999999927,0,6.9,-3892.500000000109,1417.5000000001091,0,765.0,-1699.500000000001
23950CE_23550PE,23950,23550,SELL,69.96,0,-150,20241219,927,58.3,46.9,11.4,23906.15,0.0,46.9,0,11.4,20241219,928,69.96,SSL,55.8,15.35,23901.55,0.0,55.8,0,15.35,0.0,-1334.9999999999998,0,-592.4999999999999,-1748.9999999999995
23950CE_23550PE,23950,23550,SELL,70.8,0,-150,20241219,929,59.0,44.65,14.35,23885.7,0.0,44.65,0,14.35,20241219,944,70.8,SSL,69.4,7.55,23985.1,35.099999999998545,34.30000000000146,0,7.55,-5264.999999999782,1552.4999999997806,0,1020.0,-1769.9999999999995
23950CE_23600PE,23950,23600,SELL,73.08,0,-150,20241219,927,60.9,46.9,14.0,23906.15,0.0,46.9,0,14.0,20241219,928,73.08,SSL,55.8,19.15,23901.55,0.0,55.8,0,19.15,0.0,-1334.9999999999998,0,-772.4999999999998,-1827.0
23950CE_23600PE,23950,23600,SELL,75.11999999999999,0,-150,20241219,929,62.599999999999994,44.65,17.95,23885.7,0.0,44.65,0,17.95,20241219,944,75.11999999999999,SSL,69.4,8.5,23985.1,35.099999999998545,34.30000000000146,0,8.5,-5264.999999999782,1552.4999999997806,0,1417.5,-1877.9999999999993
23950CE_23650PE,23950,23650,SELL,76.56,0,-150,20241219,927,63.8,46.9,16.9,23906.15,0.0,46.9,0,16.9,20241219,928,76.56,SSL,55.8,23.8,23901.55,0.0,55.8,0,23.8,0.0,-1334.9999999999998,0,-1035.0000000000002,-1914.0000000000007
23950CE_23650PE,23950,23650,SELL,80.16,0,-75,20241219,929,66.8,44.65,22.15,23885.7,0.0,44.65,0,22.15,20241219,1138,70.4,Vwap_thershold,66.25,4.15,23996.6,46.599999999998545,19.650000000001455,0,4.15,-3494.999999999891,1874.9999999998909,0,1350.0,-270.0000000000006
23950CE_23700PE,23950,23700,SELL,80.88000000000001,0,-75,20241219,927,67.4,46.9,20.5,23906.15,0.0,46.9,0,20.5,20241219,928,80.88000000000001,SSL,55.8,28.95,23901.55,0.0,55.8,0,28.95,0.0,-667.4999999999999,0,-633.75,-1011.0000000000003
23950CE_23700PE,23950,23700,SELL,86.04,0,-75,20241219,929,71.7,44.65,27.05,23885.7,0.0,44.65,0,27.05,20241219,1138,71.1,Vwap_thershold,66.25,4.85,23996.6,46.599999999998545,19.650000000001455,0,4.85,-3494.999999999891,1874.9999999998909,0,1665.0000000000002,45.00000000000064
