strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,99.7456,102.56099999999999,9945,20190101,1215,100.55,20190101.0,1345.0,99.65,LSL
strategy1,BUY,99.1504,101.949,10005,20190103,1245,99.95,20190103.0,1415.0,98.85,LSL
strategy1,BUY,96.0752,98.78699999999999,10325,20190110,1515,96.85,20190114.0,945.0,95.95,LSL
strategy1,BUY,95.77759999999999,98.481,10357,20190115,1015,96.55,20190117.0,1415.0,95.55,LSL
strategy1,BUY,88.784,91.29,11173,20190124,1515,89.5,20190125.0,1115.0,88.65,LSL
strategy1,BUY,82.88159999999999,85.221,11968,20190130,945,83.55,20190130.0,1145.0,82.7,LSL
strategy1,BUY,83.824,86.19,11834,20190205,945,84.5,20190205.0,1015.0,83.8,LSL
strategy1,BUY,81.6416,83.946,12150,20190206,1515,82.3,20190208.0,1445.0,81.4,LSL
strategy1,BUY,79.3104,81.549,12507,20190212,1515,79.95,20190213.0,1045.0,79.25,LSL
strategy1,BUY,78.2192,80.42699999999999,12682,20190215,1145,78.85,20190215.0,1515.0,80.5,LT
strategy1,BUY,81.1952,83.487,12217,20190218,1145,81.85,20190219.0,1045.0,80.85,LSL
strategy1,BUY,81.4928,83.793,12172,20190220,1045,82.15,20190222.0,1145.0,83.9,LT
strategy1,BUY,83.62559999999999,85.98599999999999,11862,20190222,1345,84.3,20190222.0,1515.0,86.35,LT
strategy1,BUY,88.288,90.78,11235,20190225,1415,89.0,20190226.0,915.0,86.35,LSL
strategy1,BUY,90.3216,92.871,10982,20190227,1245,91.05,20190227.0,1445.0,90.3,LSL
strategy1,BUY,91.76,94.35,10810,20190228,945,92.5,20190228.0,1315.0,91.55,LSL
strategy1,BUY,92.9504,95.574,10672,20190301,1015,93.7,20190301.0,1445.0,95.65,LT
strategy1,BUY,99.2,102.0,10000,20190306,1215,100.0,20190307.0,1045.0,102.45,LT
strategy1,BUY,99.54719999999999,102.357,9965,20190311,1115,100.35,20190312.0,1515.0,98.8,LSL
strategy1,BUY,96.6208,99.348,10266,20190315,945,97.4,20190315.0,1015.0,96.6,LSL
strategy1,BUY,97.7616,100.521,10147,20190315,1415,98.55,20190318.0,1515.0,100.7,LT
strategy1,BUY,104.8048,107.763,9465,20190319,1315,105.65,20190319.0,1415.0,104.45,LSL
strategy1,BUY,105.4,108.375,9411,20190320,1215,106.25,20190320.0,1315.0,105.35,LSL
strategy1,BUY,101.58080000000001,104.44800000000001,9765,20190326,1445,102.4,20190326.0,1545.0,101.5,LSL
strategy1,BUY,101.58080000000001,104.44800000000001,9765,20190327,1015,102.4,20190327.0,1115.0,100.9,LSL
strategy1,BUY,100.09280000000001,102.918,9910,20190328,1345,100.9,20190328.0,1515.0,98.6,LSL
strategy1,BUY,99.1504,101.949,10005,20190405,1015,99.95,20190405.0,1115.0,99.05,LSL
strategy1,BUY,98.80319999999999,101.592,10040,20190405,1415,99.6,20190408.0,1115.0,98.3,LSL
strategy1,BUY,97.0672,99.80699999999999,10219,20190410,945,97.85,20190410.0,1515.0,96.8,LSL
strategy1,BUY,97.7616,100.521,10147,20190412,1045,98.55,20190415.0,1015.0,102.35,LT
strategy1,BUY,102.0768,104.95800000000001,9718,20190415,1415,102.9,20190416.0,1145.0,101.4,LSL
strategy1,BUY,98.75359999999999,101.541,10045,20190423,945,99.55,20190423.0,1445.0,98.55,LSL
strategy1,BUY,98.60480000000001,101.388,10060,20190425,1215,99.4,20190425.0,1515.0,98.35,LSL
strategy1,BUY,97.31519999999999,100.062,10193,20190502,1045,98.1,20190502.0,1245.0,100.1,LT
strategy1,BUY,99.34880000000001,102.153,9985,20190502,1415,100.15,20190506.0,915.0,103.1,LT
strategy1,BUY,101.8784,104.754,9737,20190506,1045,102.7,20190506.0,1315.0,101.7,LSL
strategy1,BUY,96.9184,99.654,10235,20190510,1145,97.7,20190513.0,1115.0,96.9,LSL
strategy1,BUY,94.63680000000001,97.308,10482,20190515,945,95.4,20190515.0,1215.0,93.9,LSL
strategy1,BUY,94.984,97.665,10443,20190520,1315,95.75,20190521.0,1315.0,94.9,LSL
strategy1,BUY,94.4384,97.104,10504,20190522,1315,95.2,20190523.0,1015.0,98.0,LT
strategy1,BUY,96.6704,99.399,10261,20190524,1115,97.45,20190527.0,945.0,101.6,LT
strategy1,BUY,102.2752,105.16199999999999,9699,20190527,1415,103.1,20190528.0,915.0,102.1,LSL
strategy1,BUY,99.2,102.0,10000,20190531,945,100.0,20190531.0,1215.0,99.1,LSL
strategy1,BUY,99.7456,102.56099999999999,9945,20190603,1215,100.55,20190603.0,1515.0,102.65,LT
strategy1,BUY,104.3584,107.304,9505,20190604,1315,105.2,20190604.0,1415.0,104.25,LSL
strategy1,BUY,96.86880000000001,99.60300000000001,10240,20190611,1415,97.65,20190611.0,1545.0,96.8,LSL
strategy1,BUY,96.72,99.45,10256,20190612,1315,97.5,20190612.0,1345.0,96.6,LSL
strategy1,BUY,90.0736,92.616,11013,20190620,1215,90.8,20190621.0,1015.0,93.2,LT
strategy1,BUY,92.3056,94.911,10746,20190621,1245,93.05,20190621.0,1445.0,92.3,LSL
strategy1,BUY,92.6528,95.268,10706,20190621,1515,93.4,20190624.0,945.0,92.35,LSL
strategy1,BUY,92.6032,95.217,10712,20190626,945,93.35,20190628.0,1315.0,92.5,LSL
strategy1,BUY,91.264,93.84,10869,20190703,1145,92.0,20190704.0,1115.0,93.85,LT
strategy1,BUY,93.248,95.88,10638,20190704,1215,94.0,20190705.0,945.0,93.2,LSL
