strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,198.5984,204.20399999999998,4995,20190104,1045,200.2,20190104,1515,198.25,LSL
strategy1,BUY,206.13760000000002,211.95600000000002,4812,20190107,1515,207.8,20190108,1145,205.3,LSL
strategy1,BUY,208.072,213.945,4767,20190109,1115,209.75,20190111,1515,207.05,LSL
strategy1,BUY,216.1072,222.207,4590,20190114,1515,217.85,20190114,1545,214.35,LSL
strategy1,BUY,213.9248,219.963,4637,20190115,1045,215.65,20190115,1245,213.45,LSL
strategy1,BUY,202.616,208.335,4895,20190121,945,204.25,20190121,1445,202.35,LSL
strategy1,BUY,204.352,210.12,4854,20190123,1415,206.0,20190123,1515,201.8,LSL
strategy1,BUY,202.3184,208.029,4903,20190125,945,203.95,20190125,1515,199.75,LSL
strategy1,BUY,202.9136,208.64100000000002,4888,20190129,945,204.55,20190129,1015,202.7,LSL
strategy1,BUY,201.4752,207.162,4923,20190129,1345,203.1,20190130,1015,208.05,LT
strategy1,BUY,207.1296,212.976,4789,20190130,1245,208.8,20190201,1315,213.9,LT
strategy1,BUY,211.048,217.005,4700,20190205,1315,212.75,20190206,1515,209.35,LSL
strategy1,BUY,209.312,215.22,4739,20190211,1215,211.0,20190215,1015,216.6,LT
strategy1,BUY,222.0592,228.327,4467,20190218,1245,223.85,20190218,1415,221.4,LSL
strategy1,BUY,213.032,219.045,4656,20190220,1445,214.75,20190220,1545,219.45,LT
strategy1,BUY,216.6032,222.71699999999998,4579,20190221,1045,218.35,20190225,1515,228.65,LT
strategy1,BUY,220.27360000000002,226.491,4503,20190226,945,222.05,20190226,1515,220.0,LSL
strategy1,BUY,222.456,228.735,4459,20190305,1015,224.25,20190305,1145,222.2,LSL
strategy1,BUY,223.0512,229.34699999999998,4447,20190305,1345,224.85,20190306,945,222.0,LSL
strategy1,BUY,221.16639999999998,227.409,4485,20190307,1015,222.95,20190312,945,233.9,LT
