strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,622.728,640.305,1592,20190101,1115,627.75,20190102.0,915.0,621.4,LSL
strategy1,BUY,614.4448,631.788,1614,20190104,1145,619.4,20190107.0,945.0,631.95,LT
strategy1,BUY,633.64,651.525,1565,20190107,1245,638.75,20190108.0,945.0,632.1,LSL
strategy1,BUY,636.0704000000001,654.024,1559,20190108,1345,641.2,20190109.0,915.0,656.9,LT
strategy1,BUY,657.7456,676.3109999999999,1508,20190109,1145,663.05,20190110.0,1315.0,657.7,LSL
strategy1,BUY,657.6464000000001,676.2090000000001,1508,20190111,1215,662.95,20190114.0,945.0,655.5,LSL
strategy1,BUY,656.9024000000001,675.4440000000001,1510,20190114,1345,662.2,20190115.0,1215.0,656.5,LSL
strategy1,BUY,663.152,681.87,1495,20190116,945,668.5,20190116.0,1545.0,662.75,LSL
strategy1,BUY,664.0944000000001,682.839,1493,20190117,1245,669.45,20190118.0,1515.0,662.8,LSL
strategy1,BUY,657.4975999999999,676.0559999999999,1508,20190123,945,662.8,20190124.0,1345.0,657.15,LSL
strategy1,BUY,660.0767999999999,678.708,1502,20190124,1515,665.4,20190128.0,1015.0,656.2,LSL
strategy1,BUY,683.2896,702.5759999999999,1451,20190130,1215,688.8,20190131.0,1115.0,704.7,LT
strategy1,BUY,701.8896,721.7009999999999,1413,20190131,1315,707.55,20190131.0,1515.0,723.3,LT
strategy1,BUY,712.7024,732.8190000000001,1391,20190204,1415,718.45,20190206.0,945.0,733.35,LT
strategy1,BUY,725.4,745.875,1367,20190207,1045,731.25,20190207.0,1245.0,724.45,LSL
strategy1,BUY,725.5984000000001,746.0790000000001,1367,20190207,1315,731.45,20190208.0,1115.0,724.4,LSL
strategy1,BUY,706.2544,726.1890000000001,1404,20190212,1215,711.95,20190212.0,1445.0,705.1,LSL
strategy1,BUY,685.6704000000001,705.024,1446,20190218,1245,691.2,20190226.0,1345.0,711.5,LT
strategy1,BUY,716.3728,736.593,1384,20190227,945,722.15,20190227.0,1315.0,716.2,LSL
strategy1,BUY,707.7424000000001,727.719,1401,20190305,1145,713.45,20190305.0,1445.0,729.4,LT
strategy1,BUY,719.0512,739.347,1379,20190307,1145,724.85,20190311.0,945.0,741.3,LT
strategy1,BUY,740.528,761.43,1339,20190312,1015,746.5,20190313.0,1245.0,740.0,LSL
strategy1,BUY,740.4784000000001,761.379,1339,20190315,1015,746.45,20190315.0,1515.0,734.7,LSL
strategy1,BUY,746.232,767.295,1329,20190318,945,752.25,20190318.0,1045.0,745.25,LSL
strategy1,BUY,744.6448,765.663,1332,20190318,1345,750.65,20190325.0,1215.0,744.4,LSL
strategy1,BUY,744.3472,765.357,1332,20190326,1445,750.35,20190327.0,1045.0,768.0,LT
strategy1,BUY,762.4512,783.972,1301,20190327,1315,768.6,20190327.0,1415.0,761.95,LSL
strategy1,BUY,761.6576,783.156,1302,20190328,1345,767.8,20190328.0,1515.0,785.4,LT
strategy1,BUY,773.3632,795.192,1282,20190329,945,779.6,20190329.0,1015.0,773.2,LSL
strategy1,BUY,767.1632000000001,788.817,1293,20190329,1415,773.35,20190401.0,1515.0,764.2,LSL
