strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,2029.0268800000001,2086.2978000000003,488,20190110,945,2045.39,20190114.0,1015.0,2028.0,LSL
strategy1,BUY,2043.52,2101.2,485,20190115,1015,2060.0,20190117.0,1315.0,2039.01,LSL
strategy1,BUY,2005.1692799999998,2061.7668,494,20190122,1345,2021.34,20190122.0,1445.0,2004.42,LSL
strategy1,BUY,1995.98336,2052.3215999999998,496,20190123,945,2012.08,20190128.0,1545.0,1990.0,LSL
strategy1,BUY,1888.98624,1942.3044,525,20190131,1145,1904.22,20190201.0,1045.0,1966.79,LT
strategy1,BUY,1992.8288,2049.078,497,20190204,1015,2008.9,20190205.0,1315.0,2053.8,LT
strategy1,BUY,2047.6863999999998,2105.484,484,20190206,1015,2064.2,20190206.0,1415.0,2108.02,LT
strategy1,BUY,2095.31232,2154.4542,473,20190206,1515,2112.21,20190207.0,1345.0,2164.3,LT
strategy1,BUY,2099.74656,2159.0135999999998,472,20190212,1515,2116.68,20190213.0,945.0,2096.0,LSL
strategy1,BUY,2007.6096,2064.276,494,20190215,1515,2023.8,20190222.0,1545.0,2066.0,LT
strategy1,BUY,2044.9088000000002,2102.628,485,20190225,1145,2061.4,20190227.0,1215.0,2038.99,LSL
strategy1,BUY,1994.664,2050.965,497,20190305,1045,2010.75,20190305.0,1215.0,2058.46,LT
strategy1,BUY,2141.232,2201.67,463,20190307,1445,2158.5,20190311.0,915.0,2212.73,LT
strategy1,BUY,2216.81248,2279.3838,447,20190311,1215,2234.69,20190311.0,1515.0,2301.48,LT
strategy1,BUY,2284.1792,2348.652,434,20190312,1045,2302.6,20190312.0,1445.0,2269.47,LSL
strategy1,BUY,2259.9545599999997,2323.7436,438,20190313,1515,2278.18,20190314.0,1045.0,2258.34,LSL
strategy1,BUY,2141.2617600000003,2201.7006,463,20190322,1145,2158.53,20190322.0,1545.0,2139.9,LSL
strategy1,BUY,2114.944,2174.64,469,20190326,1445,2132.0,20190327.0,1015.0,2112.5,LSL
strategy1,BUY,2045.504,2103.24,484,20190402,1445,2062.0,20190403.0,915.0,2035.21,LSL
strategy1,BUY,2041.5459200000003,2099.1702,485,20190404,1515,2058.01,20190408.0,915.0,2101.01,LT
strategy1,BUY,2065.344,2123.64,480,20190409,1415,2082.0,20190412.0,1415.0,2127.8,LT
strategy1,BUY,2131.9072,2192.082,465,20190415,1215,2149.1,20190416.0,945.0,2127.65,LSL
strategy1,BUY,2034.5820799999997,2092.0098,487,20190424,1415,2050.99,20190425.0,1515.0,2034.5,LSL
strategy1,BUY,2018.71008,2075.6898,491,20190430,945,2034.99,20190502.0,915.0,1991.47,LSL
strategy1,BUY,2041.04,2098.65,486,20190502,1345,2057.5,20190503.0,1445.0,2035.31,LSL
strategy1,BUY,2026.68576,2083.8906,489,20190507,1215,2043.03,20190513.0,915.0,1991.89,LSL
strategy1,BUY,1972.4928,2028.1680000000001,502,20190515,1345,1988.4,20190516.0,945.0,1954.2,LSL
strategy1,BUY,1997.392,2053.77,496,20190516,1145,2013.5,20190517.0,1045.0,2054.0,LT
strategy1,BUY,2046.45632,2104.2192,484,20190517,1215,2062.96,20190520.0,915.0,2149.4,LT
