strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,476.16,489.6,2083,20190101,1315,480.0,20190102,1245,474.3,LSL
strategy1,BUY,469.69216,482.94960000000003,2112,20190107,945,473.48,20190108,945,468.03,LSL
strategy1,BUY,468.224,481.44,2118,20190108,1445,472.0,20190109,1245,468.05,LSL
strategy1,BUY,465.82336,478.97159999999997,2129,20190111,1445,469.58,20190114,1345,465.38,LSL
strategy1,BUY,465.744,478.89,2129,20190115,1015,469.5,20190118,1045,479.15,LT
strategy1,BUY,477.3504,490.824,2078,20190118,1115,481.2,20190122,1045,475.98,LSL
strategy1,BUY,469.64256,482.8986,2112,20190123,1415,473.43,20190125,945,482.95,LT
strategy1,BUY,479.03679999999997,492.558,2070,20190125,1315,482.9,20190129,1515,494.13,LT
strategy1,BUY,501.1584,515.304,1979,20190130,1045,505.2,20190131,1145,497.9,LSL
strategy1,BUY,509.04479999999995,523.413,1948,20190201,1215,513.15,20190204,945,525.0,LT
strategy1,BUY,519.7881600000001,534.4596,1908,20190205,1245,523.98,20190207,945,534.92,LT
strategy1,BUY,529.50976,544.4556,1873,20190207,1115,533.78,20190212,1345,529.15,LSL
strategy1,BUY,527.3472,542.232,1881,20190213,1415,531.6,20190215,1015,527.3,LSL
strategy1,BUY,520.68096,535.3776,1905,20190219,1215,524.88,20190219,1515,518.73,LSL
strategy1,BUY,524.8176,539.631,1890,20190220,1515,529.05,20190221,1015,522.78,LSL
strategy1,BUY,523.26016,538.0296000000001,1895,20190221,1315,527.48,20190225,1345,539.7,LT
strategy1,BUY,537.33664,552.5033999999999,1846,20190225,1515,541.67,20190226,1015,536.48,LSL
strategy1,BUY,526.1568,541.0079999999999,1885,20190228,1115,530.4,20190228,1545,525.42,LSL
strategy1,BUY,502.2,516.375,1975,20190312,1215,506.25,20190313,945,519.23,LT
strategy1,BUY,511.2768,525.708,1940,20190313,1145,515.4,20190314,1015,508.35,LSL
strategy1,BUY,505.30496,519.5676,1963,20190315,1045,509.38,20190318,915,519.88,LT
strategy1,BUY,507.16,521.475,1955,20190319,1245,511.25,20190320,945,524.73,LT
strategy1,BUY,519.9567999999999,534.6329999999999,1907,20190320,1115,524.15,20190320,1445,517.73,LSL
strategy1,BUY,506.0192,520.302,1960,20190326,1015,510.1,20190327,1245,523.1,LT
strategy1,BUY,522.288,537.03,1899,20190327,1315,526.5,20190327,1515,520.53,LSL
strategy1,BUY,533.61664,548.6784,1859,20190328,1445,537.92,20190401,945,551.78,LT
strategy1,BUY,549.0224000000001,564.519,1806,20190401,1215,553.45,20190402,1045,546.58,LSL
strategy1,BUY,549.568,565.08,1805,20190403,945,554.0,20190404,945,543.58,LSL
strategy1,BUY,544.608,559.98,1821,20190405,1045,549.0,20190405,1315,543.85,LSL
strategy1,BUY,544.09216,559.4496,1823,20190408,1515,548.48,20190409,1015,562.45,LT
strategy1,BUY,556.3136,572.016,1783,20190409,1345,560.8,20190410,945,552.63,LSL
strategy1,BUY,546.0464000000001,561.4590000000001,1816,20190415,1315,550.45,20190424,1045,562.75,LT
