strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,55.383359999999996,56.9466,17911,20190102,1115,55.83,20190102.0,1315.0,55.1,LSL
strategy1,BUY,53.2704,54.774,18621,20190108,1215,53.7,20190108.0,1445.0,54.93,LT
strategy1,BUY,54.49056,56.0286,18204,20190109,1115,54.93,20190110.0,915.0,54.33,LSL
strategy1,BUY,53.548159999999996,55.059599999999996,18525,20190111,1515,53.98,20190115.0,1145.0,55.2,LT
strategy1,BUY,54.58976,56.1306,18171,20190115,1245,55.03,20190116.0,1515.0,54.43,LSL
strategy1,BUY,54.38144,55.9164,18241,20190117,1515,54.82,20190118.0,915.0,54.33,LSL
strategy1,BUY,53.1712,54.672000000000004,18656,20190124,1045,53.6,20190125.0,915.0,52.87,LSL
strategy1,BUY,53.33984,54.845400000000005,18597,20190125,945,53.77,20190128.0,915.0,53.03,LSL
strategy1,BUY,53.04224,54.5394,18702,20190129,1145,53.47,20190129.0,1245.0,52.97,LSL
strategy1,BUY,52.59584,54.080400000000004,18860,20190130,945,53.02,20190204.0,1515.0,54.17,LT
strategy1,BUY,53.816,55.335,18433,20190205,945,54.25,20190205.0,1545.0,53.72,LSL
strategy1,BUY,54.03424,55.5594,18358,20190206,1115,54.47,20190207.0,915.0,54.0,LSL
strategy1,BUY,54.6592,56.202,18148,20190207,1045,55.1,20190212.0,915.0,54.57,LSL
strategy1,BUY,55.52224,57.0894,17866,20190213,1015,55.97,20190213.0,1245.0,55.0,LSL
strategy1,BUY,54.23264,55.763400000000004,18291,20190219,1245,54.67,20190220.0,1545.0,54.0,LSL
strategy1,BUY,51.4848,52.937999999999995,19267,20190228,1215,51.9,20190228.0,1515.0,51.08,LSL
strategy1,BUY,52.000640000000004,53.4684,19076,20190301,945,52.42,20190307.0,1115.0,53.53,LT
strategy1,BUY,53.05215999999999,54.5496,18698,20190307,1315,53.48,20190308.0,945.0,52.92,LSL
strategy1,BUY,52.6256,54.111,18850,20190311,1215,53.05,20190312.0,1245.0,54.2,LT
strategy1,BUY,53.74656,55.2636,18456,20190312,1345,54.18,20190312.0,1515.0,53.67,LSL
strategy1,BUY,54.92704,56.477399999999996,18060,20190313,945,55.37,20190313.0,1015.0,54.53,LSL
strategy1,BUY,54.24256,55.7736,18288,20190313,1145,54.68,20190318.0,915.0,53.7,LSL
strategy1,BUY,53.568,55.08,18518,20190319,1315,54.0,20190320.0,915.0,53.53,LSL
strategy1,BUY,54.19296,55.7226,18304,20190320,1045,54.63,20190320.0,1215.0,54.1,LSL
strategy1,BUY,53.19104,54.6924,18649,20190327,1445,53.62,20190327.0,1515.0,53.0,LSL
strategy1,BUY,54.2128,55.742999999999995,18298,20190328,1515,54.65,20190329.0,945.0,53.57,LSL
strategy1,BUY,53.73664,55.2534,18460,20190329,1415,54.17,20190329.0,1545.0,55.3,LT
strategy1,BUY,54.579840000000004,56.120400000000004,18175,20190402,945,55.02,20190402.0,1015.0,54.17,LSL
strategy1,BUY,54.72864,56.2734,18125,20190404,1045,55.17,20190404.0,1115.0,54.53,LSL
strategy1,BUY,53.93504,55.4574,18392,20190404,1315,54.37,20190408.0,1445.0,53.9,LSL
strategy1,BUY,51.50464,52.958400000000005,19260,20190415,1515,51.92,20190418.0,1015.0,52.97,LT
strategy1,BUY,52.744640000000004,54.2334,18807,20190418,1115,53.17,20190422.0,1215.0,52.68,LSL
strategy1,BUY,52.70496,54.192600000000006,18821,20190423,1245,53.13,20190425.0,1545.0,52.68,LSL
strategy1,BUY,52.70496,54.192600000000006,18821,20190426,1345,53.13,20190506.0,1545.0,52.7,LSL
strategy1,BUY,51.236799999999995,52.683,19361,20190510,1045,51.65,20190517.0,1345.0,51.18,LSL
strategy1,BUY,48.28064,49.6434,20546,20190523,1315,48.67,20190524.0,945.0,49.75,LT
strategy1,BUY,50.06624,51.4794,19813,20190527,945,50.47,20190528.0,915.0,51.65,LT
strategy1,BUY,50.9888,52.428,19455,20190528,1015,51.4,20190528.0,1515.0,53.32,LT
strategy1,BUY,51.10784,52.5504,19409,20190530,1245,51.52,20190604.0,1015.0,51.0,LSL
strategy1,BUY,51.256640000000004,52.7034,19353,20190604,1515,51.67,20190606.0,915.0,51.22,LSL
strategy1,BUY,50.5424,51.969,19627,20190607,1045,50.95,20190607.0,1315.0,50.47,LSL
strategy1,BUY,49.38176,50.775600000000004,20088,20190612,1215,49.78,20190613.0,915.0,49.37,LSL
strategy1,BUY,49.43136,50.8266,20068,20190613,945,49.83,20190613.0,1045.0,49.2,LSL
strategy1,BUY,49.38176,50.775600000000004,20088,20190614,1245,49.78,20190617.0,915.0,49.38,LSL
strategy1,BUY,47.64576,48.9906,20820,20190621,1145,48.03,20190621.0,1515.0,46.83,LSL
strategy1,BUY,47.89376,49.2456,20712,20190625,1045,48.28,20190626.0,1015.0,47.8,LSL
strategy1,BUY,47.864,49.215,20725,20190627,1145,48.25,20190627.0,1515.0,47.85,LSL
strategy1,BUY,47.7648,49.113,20768,20190628,1445,48.15,20190701.0,1215.0,47.43,LSL
strategy1,BUY,47.58624,48.9294,20846,20190702,1215,47.97,20190702.0,1415.0,47.1,LSL
strategy1,BUY,46.94144,48.2664,21132,20190704,1315,47.32,20190704.0,1345.0,46.78,LSL
strategy1,BUY,46.5248,47.838,21321,20190705,1345,46.9,20190711.0,1015.0,48.0,LT
strategy1,BUY,47.68544,49.0314,20802,20190711,1315,48.07,20190712.0,915.0,47.35,LSL
strategy1,BUY,47.7152,49.062000000000005,20790,20190712,945,48.1,20190719.0,1515.0,47.65,LSL
strategy1,BUY,47.2192,48.552,21008,20190723,1315,47.6,20190729.0,1215.0,47.1,LSL
strategy1,BUY,47.04064,48.3684,21088,20190731,1345,47.42,20190731.0,1515.0,47.02,LSL
strategy1,BUY,47.29856,48.6336,20973,20190802,1015,47.68,20190805.0,915.0,46.73,LSL
strategy1,BUY,47.63584,48.9804,20824,20190805,1115,48.02,20190805.0,1545.0,47.38,LSL
strategy1,BUY,47.94336,49.2966,20691,20190807,1015,48.33,20190809.0,1315.0,49.45,LT
strategy1,BUY,49.58016,50.9796,20008,20190809,1515,49.98,20190809.0,1545.0,49.38,LSL
strategy1,BUY,47.992960000000004,49.3476,20669,20190819,1515,48.38,20190820.0,915.0,47.77,LSL
strategy1,BUY,48.14176,49.5006,20605,20190820,1045,48.53,20190820.0,1115.0,48.12,LSL
strategy1,BUY,44.65984,45.9204,22212,20190827,1315,45.02,20190828.0,945.0,44.55,LSL
strategy1,BUY,44.511039999999994,45.767399999999995,22286,20190830,1515,44.87,20190903.0,915.0,44.0,LSL
strategy1,BUY,44.32256,45.5736,22381,20190903,945,44.68,20190904.0,945.0,44.0,LSL
strategy1,BUY,44.64,45.9,22222,20190905,945,45.0,20190905.0,1115.0,44.63,LSL
strategy1,BUY,44.61024,45.8694,22237,20190905,1145,44.97,20190906.0,1115.0,44.37,LSL
strategy1,BUY,44.47136,45.7266,22306,20190909,1115,44.83,20190911.0,1415.0,43.47,LSL
strategy1,BUY,40.54304,41.6874,24467,20190917,945,40.87,20190917.0,1015.0,40.45,LSL
strategy1,BUY,39.85856,40.9836,24888,20190918,1345,40.18,20190920.0,1115.0,41.38,LT
strategy1,BUY,41.84256,43.0236,23707,20190920,1215,42.18,20190923.0,915.0,43.12,LT
strategy1,BUY,39.908159999999995,41.0346,24857,20191001,1245,40.23,20191003.0,1145.0,41.28,LT
strategy1,BUY,40.92,42.075,24242,20191003,1515,41.25,20191004.0,1145.0,40.9,LSL
strategy1,BUY,40.54304,41.6874,24467,20191009,1215,40.87,20191011.0,1315.0,41.7,LT
strategy1,BUY,41.99136,43.1766,23623,20191011,1415,42.33,20191011.0,1445.0,41.67,LSL
strategy1,BUY,41.832640000000005,43.013400000000004,23713,20191014,945,42.17,20191014.0,1015.0,41.83,LSL
strategy1,BUY,41.683840000000004,42.860400000000006,23798,20191014,1045,42.02,20191014.0,1115.0,41.65,LSL
strategy1,BUY,40.9696,42.126,24213,20191016,1015,41.3,20191016.0,1045.0,40.77,LSL
strategy1,BUY,41.09856,42.2586,24137,20191016,1115,41.43,20191016.0,1215.0,40.95,LSL
strategy1,BUY,42.28896,43.482600000000005,23457,20191017,1415,42.63,20191017.0,1445.0,42.0,LSL
strategy1,BUY,47.2192,48.552,21008,20191018,1415,47.6,20191018.0,1515.0,49.17,LT
strategy1,BUY,49.1536,50.541,20181,20191022,1145,49.55,20191022.0,1215.0,48.65,LSL
strategy1,BUY,47.5664,48.909000000000006,20855,20191029,1345,47.95,20191029.0,1415.0,47.4,LSL
strategy1,BUY,47.248960000000004,48.5826,20995,20191030,945,47.63,20191101.0,915.0,49.3,LT
strategy1,BUY,47.9632,49.317,20682,20191104,1245,48.35,20191104.0,1545.0,46.93,LSL
strategy1,BUY,47.844159999999995,49.194599999999994,20733,20191107,1245,48.23,20191108.0,1515.0,47.72,LSL
